t_s,tenant,latency_ms,service_ms,qdepth,warmup
0.106,t0_mnv2,62.059,58.916,3,1
0.153,t0_mnv2,74.615,46.788,5,1
0.205,t0_mnv2,105.548,51.320,4,1
0.255,t0_mnv2,155.303,50.411,5,1
0.306,t0_mnv2,182.152,50.656,5,1
0.356,t0_mnv2,225.461,50.387,5,1
0.404,t0_mnv2,259.514,47.940,6,1
0.458,t0_mnv2,249.318,53.820,6,1
0.508,t0_mnv2,255.160,49.561,6,1
0.554,t0_mnv2,279.388,46.151,6,1
0.605,t0_mnv2,260.622,50.749,5,1
0.656,t0_mnv2,295.973,51.030,5,1
0.699,t0_mnv2,315.439,43.116,8,1
0.740,t0_mnv2,286.173,41.071,7,1
0.780,t0_mnv2,276.512,39.976,6,1
0.821,t0_mnv2,285.020,41.336,6,1
0.862,t0_mnv2,232.445,40.740,5,1
0.902,t0_mnv2,245.725,40.031,6,1
0.941,t0_mnv2,264.919,39.226,7,1
0.982,t0_mnv2,298.045,40.966,8,1
1.022,t0_mnv2,325.514,39.777,8,1
1.062,t0_mnv2,244.864,39.863,11,1
1.103,t0_mnv2,236.483,41.301,11,1
1.144,t0_mnv2,265.918,40.232,12,1
1.184,t0_mnv2,260.826,40.572,13,1
1.232,t0_mnv2,307.438,47.287,12,1
1.279,t0_mnv2,310.144,47.352,12,1
1.327,t0_mnv2,353.976,48.419,11,1
1.381,t0_mnv2,377.709,53.556,11,1
1.430,t0_mnv2,384.207,48.798,13,1
1.478,t0_mnv2,431.030,47.890,12,1
1.527,t0_mnv2,475.146,49.572,13,1
1.580,t0_mnv2,523.846,52.308,14,1
1.638,t0_mnv2,568.178,58.415,15,1
1.704,t0_mnv2,588.179,65.915,16,1
1.780,t0_mnv2,644.628,76.147,20,1
1.844,t0_mnv2,676.645,63.483,19,1
1.907,t0_mnv2,723.954,63.134,19,1
1.960,t0_mnv2,684.399,52.436,21,1
2.009,t0_mnv2,631.104,49.412,24,1
2.062,t0_mnv2,661.291,52.979,23,1
2.109,t0_mnv2,693.730,46.953,24,1
2.159,t0_mnv2,737.641,50.086,25,1
2.208,t0_mnv2,722.253,49.001,24,1
2.260,t0_mnv2,748.690,52.081,24,1
2.309,t0_mnv2,753.826,48.290,23,1
2.358,t0_mnv2,792.164,49.476,24,1
2.409,t0_mnv2,824.375,51.128,24,1
2.460,t0_mnv2,824.948,50.573,25,1
2.506,t0_mnv2,823.311,46.061,25,1
2.556,t0_mnv2,864.802,50.174,25,1
2.605,t0_mnv2,899.649,49.106,24,1
2.658,t0_mnv2,940.721,52.644,23,1
2.705,t0_mnv2,984.252,47.275,23,1
2.753,t0_mnv2,1008.043,47.604,23,1
2.806,t0_mnv2,1045.325,53.001,23,1
2.856,t0_mnv2,962.425,50.109,22,1
2.904,t0_mnv2,994.004,47.552,22,1
2.956,t0_mnv2,1026.433,52.038,22,1
3.007,t0_mnv2,1074.065,50.760,24,1
3.058,t0_mnv2,1089.737,51.307,24,1
3.105,t0_mnv2,1122.103,46.874,23,1
3.152,t0_mnv2,1161.639,47.295,22,1
3.206,t0_mnv2,1208.655,53.902,22,1
3.255,t0_mnv2,1186.194,48.864,21,1
3.303,t0_mnv2,1213.869,47.828,22,1
3.352,t0_mnv2,1242.765,49.521,22,1
3.404,t0_mnv2,1267.188,51.215,22,1
3.455,t0_mnv2,1222.598,51.211,21,1
3.503,t0_mnv2,1169.631,48.291,22,1
3.553,t0_mnv2,1216.695,49.609,22,1
3.605,t0_mnv2,1225.956,51.937,22,1
3.653,t0_mnv2,1207.604,48.518,26,1
3.701,t0_mnv2,1249.815,47.731,25,1
3.751,t0_mnv2,1278.692,49.631,25,1
3.803,t0_mnv2,1262.051,51.866,27,1
3.845,t0_mnv2,1158.066,42.387,26,1
3.885,t0_mnv2,1160.463,39.786,26,1
3.925,t0_mnv2,1155.616,40.360,26,1
3.969,t0_mnv2,1089.355,43.080,26,1
4.008,t0_mnv2,1101.430,39.460,26,1
4.047,t0_mnv2,1085.588,39.241,26,1
4.089,t0_mnv2,1115.556,41.230,26,1
4.134,t0_mnv2,1128.240,45.197,26,1
4.181,t0_mnv2,1123.101,46.714,26,1
4.232,t0_mnv2,1046.844,51.724,25,1
4.283,t0_mnv2,1021.671,51.068,25,1
4.334,t0_mnv2,1056.255,50.519,25,1
4.383,t0_mnv2,1079.344,48.716,25,1
4.433,t0_mnv2,1075.613,49.948,25,1
4.486,t0_mnv2,1008.986,53.762,26,1
4.534,t0_mnv2,1037.870,47.653,27,1
4.583,t0_mnv2,1058.388,48.792,29,1
4.633,t0_mnv2,1043.216,49.505,29,1
4.685,t0_mnv2,1078.974,52.244,31,1
4.734,t0_mnv2,1103.766,49.663,32,1
4.782,t0_mnv2,1150.705,47.610,31,1
4.831,t0_mnv2,1199.900,49.286,31,1
4.886,t0_mnv2,1250.387,54.705,30,1
4.936,t0_mnv2,1228.485,49.453,30,1
4.985,t0_mnv2,1230.076,49.081,30,1
5.035,t0_mnv2,1279.860,50.427,30,1
5.087,t0_mnv2,1295.319,51.449,32,1
5.136,t0_mnv2,1290.016,49.623,33,1
5.184,t0_mnv2,1289.166,47.461,33,1
5.236,t0_mnv2,1271.378,52.365,34,1
5.288,t0_mnv2,1296.126,51.726,35,1
