t_s,tenant,latency_ms,service_ms,qdepth,warmup
0.723,t1_resnet18,194.379,193.018,1,1
0.914,t1_resnet18,310.571,190.880,2,1
1.176,t1_resnet18,448.797,261.717,3,1
1.395,t1_resnet18,535.070,219.555,3,1
1.588,t1_resnet18,642.591,193.111,3,1
1.782,t1_resnet18,783.874,193.301,2,1
1.978,t1_resnet18,628.841,196.356,2,1
2.172,t1_resnet18,742.301,193.959,4,1
2.366,t1_resnet18,411.818,194.323,3,1
2.559,t1_resnet18,497.454,192.741,2,1
2.754,t1_resnet18,638.520,194.345,1,1
2.947,t1_resnet18,826.177,193.403,1,1
3.140,t1_resnet18,218.572,192.904,0,1
3.628,t1_resnet18,193.142,192.667,2,1
3.825,t1_resnet18,357.054,196.826,2,1
4.017,t1_resnet18,399.164,192.458,1,1
4.213,t1_resnet18,394.741,195.381,2,1
4.407,t1_resnet18,388.044,193.820,4,1
4.604,t1_resnet18,431.128,197.474,3,1
4.795,t1_resnet18,539.665,190.938,2,1
4.990,t1_resnet18,728.065,195.276,3,1
5.182,t1_resnet18,876.564,191.499,3,1
5.377,t1_resnet18,523.602,194.835,3,1
5.568,t1_resnet18,609.191,191.555,3,1
5.764,t1_resnet18,645.646,195.906,4,1
5.956,t1_resnet18,645.231,191.617,4,1
6.153,t1_resnet18,594.978,197.099,4,1
6.346,t1_resnet18,679.160,193.019,5,1
6.542,t1_resnet18,849.226,195.812,5,1
6.733,t1_resnet18,846.780,190.463,5,1
6.928,t1_resnet18,943.264,195.238,7,1
7.120,t1_resnet18,845.733,192.208,9,1
7.317,t1_resnet18,1011.749,196.748,12,1
7.510,t1_resnet18,1087.942,192.801,13,1
7.705,t1_resnet18,1154.408,194.847,13,1
7.897,t1_resnet18,1124.550,191.954,14,1
8.090,t1_resnet18,1223.642,193.567,14,1
8.282,t1_resnet18,1355.067,191.851,13,1
8.477,t1_resnet18,1498.605,195.116,15,1
8.670,t1_resnet18,1648.081,192.471,16,1
8.864,t1_resnet18,1817.762,194.580,15,1
9.057,t1_resnet18,1915.392,192.894,16,1
9.250,t1_resnet18,2061.602,192.867,19,1
9.441,t1_resnet18,2233.128,190.954,19,1
9.635,t1_resnet18,2383.167,193.959,19,1
9.829,t1_resnet18,2502.738,193.707,18,1
10.023,t1_resnet18,2685.400,194.212,18,1
10.215,t1_resnet18,2647.284,191.953,17,1
10.408,t1_resnet18,2591.703,192.574,19,1
10.601,t1_resnet18,2713.078,192.636,19,1
10.791,t1_resnet18,2741.021,190.866,18,1
10.984,t1_resnet18,2614.830,192.791,18,1
11.178,t1_resnet18,2798.230,193.825,19,1
11.371,t1_resnet18,2918.107,193.173,19,1
11.564,t1_resnet18,2928.111,192.356,19,1
11.757,t1_resnet18,3102.500,192.664,19,1
11.948,t1_resnet18,3082.113,191.225,18,1
12.140,t1_resnet18,3257.984,191.966,18,1
12.332,t1_resnet18,3231.689,192.495,19,1
12.527,t1_resnet18,3415.341,194.836,20,1
12.720,t1_resnet18,3603.178,192.420,22,1
12.914,t1_resnet18,3779.218,193.945,22,1
13.106,t1_resnet18,3846.320,192.504,23,1
13.302,t1_resnet18,3786.907,195.443,23,1
13.494,t1_resnet18,3656.314,191.886,22,1
13.689,t1_resnet18,3466.979,194.830,23,1
13.880,t1_resnet18,3607.938,191.342,22,1
14.075,t1_resnet18,3691.984,195.312,22,1
14.269,t1_resnet18,3826.191,193.320,22,1
14.462,t1_resnet18,3608.814,193.659,24,1
14.653,t1_resnet18,3541.697,190.942,24,1
14.850,t1_resnet18,3703.474,196.327,25,1
15.041,t1_resnet18,3727.762,191.272,27,1
15.236,t1_resnet18,3844.489,194.890,30,1
15.427,t1_resnet18,3853.755,191.366,29,1
15.624,t1_resnet18,3604.118,196.369,30,1
15.818,t1_resnet18,3624.633,194.246,31,1
