t_s,tenant,latency_ms,service_ms,qdepth,warmup
0.074,t2_squeezenet,63.775,62.638,1,1
0.117,t2_squeezenet,46.107,43.150,2,1
0.160,t2_squeezenet,61.156,42.203,3,1
0.208,t2_squeezenet,94.825,47.994,3,1
0.253,t2_squeezenet,111.733,44.990,3,1
0.299,t2_squeezenet,143.802,46.413,2,1
0.343,t2_squeezenet,154.073,43.848,1,1
0.388,t2_squeezenet,179.059,45.434,3,1
0.438,t2_squeezenet,74.996,49.413,3,1
0.485,t2_squeezenet,120.380,47.153,3,1
0.527,t2_squeezenet,154.024,42.295,3,1
0.574,t2_squeezenet,147.779,46.653,4,1
0.620,t2_squeezenet,154.919,46.243,4,1
0.666,t2_squeezenet,141.302,45.276,3,1
0.702,t2_squeezenet,172.805,36.076,2,1
0.738,t2_squeezenet,204.477,35.783,5,1
0.774,t2_squeezenet,173.575,35.771,6,1
0.809,t2_squeezenet,102.773,35.297,7,1
0.848,t2_squeezenet,132.753,38.655,7,1
0.884,t2_squeezenet,155.150,36.283,7,1
0.920,t2_squeezenet,189.121,35.984,7,1
0.957,t2_squeezenet,214.433,37.416,7,1
0.993,t2_squeezenet,220.665,35.983,7,1
1.029,t2_squeezenet,249.195,35.339,8,1
1.064,t2_squeezenet,281.229,35.040,8,1
1.100,t2_squeezenet,254.916,35.870,7,1
1.136,t2_squeezenet,254.291,35.915,7,1
1.172,t2_squeezenet,257.513,35.822,8,1
1.214,t2_squeezenet,264.620,42.343,7,1
1.257,t2_squeezenet,274.176,43.097,6,1
1.301,t2_squeezenet,294.530,43.898,6,1
1.349,t2_squeezenet,340.566,48.293,9,1
1.397,t2_squeezenet,346.441,47.664,10,1
1.439,t2_squeezenet,324.444,42.082,10,1
1.484,t2_squeezenet,342.282,44.971,9,1
1.531,t2_squeezenet,377.426,46.322,8,1
1.576,t2_squeezenet,288.103,45.657,9,1
1.631,t2_squeezenet,308.928,54.935,10,1
1.692,t2_squeezenet,363.738,60.383,11,1
1.764,t2_squeezenet,428.589,72.528,11,1
1.821,t2_squeezenet,480.174,57.029,10,1
1.882,t2_squeezenet,520.903,60.178,10,1
1.934,t2_squeezenet,556.255,52.485,10,1
1.979,t2_squeezenet,568.592,44.489,11,1
2.028,t2_squeezenet,494.898,49.566,13,1
2.074,t2_squeezenet,516.525,45.720,15,1
2.117,t2_squeezenet,523.545,43.290,17,1
2.163,t2_squeezenet,537.636,45.873,17,1
2.207,t2_squeezenet,568.522,43.988,18,1
2.257,t2_squeezenet,575.307,49.404,18,1
2.300,t2_squeezenet,580.453,43.378,17,1
2.344,t2_squeezenet,490.592,43.619,16,1
2.391,t2_squeezenet,484.659,47.374,15,1
2.440,t2_squeezenet,504.372,49.052,16,1
2.483,t2_squeezenet,505.133,42.785,16,1
2.530,t2_squeezenet,541.602,46.262,15,1
2.575,t2_squeezenet,582.192,45.436,15,1
2.623,t2_squeezenet,628.330,47.587,18,1
2.670,t2_squeezenet,636.342,47.166,17,1
2.712,t2_squeezenet,663.355,42.150,20,1
2.757,t2_squeezenet,697.579,44.798,19,1
2.805,t2_squeezenet,710.955,48.222,21,1
2.851,t2_squeezenet,751.903,45.899,21,1
2.895,t2_squeezenet,784.090,44.229,24,1
2.942,t2_squeezenet,779.659,46.669,25,1
2.989,t2_squeezenet,823.681,47.166,25,1
3.038,t2_squeezenet,871.634,48.507,24,1
3.081,t2_squeezenet,851.542,43.254,23,1
3.125,t2_squeezenet,725.771,43.750,22,1
3.173,t2_squeezenet,739.017,48.081,22,1
3.221,t2_squeezenet,767.067,47.960,22,1
3.264,t2_squeezenet,705.046,42.308,21,1
3.309,t2_squeezenet,732.715,45.407,22,1
3.355,t2_squeezenet,775.354,45.668,23,1
3.400,t2_squeezenet,811.791,45.262,23,1
3.447,t2_squeezenet,842.650,46.875,22,1
3.490,t2_squeezenet,811.755,43.213,25,1
3.535,t2_squeezenet,841.368,44.289,26,1
3.585,t2_squeezenet,888.361,50.757,28,1
3.630,t2_squeezenet,926.306,44.919,28,1
3.675,t2_squeezenet,912.776,44.192,27,1
3.720,t2_squeezenet,955.910,45.479,27,1
3.766,t2_squeezenet,966.647,45.993,27,1
3.811,t2_squeezenet,1004.852,44.774,30,1
3.847,t2_squeezenet,985.221,35.864,30,1
3.881,t2_squeezenet,1004.321,33.952,30,1
3.917,t2_squeezenet,1034.553,36.178,29,1
3.956,t2_squeezenet,1062.715,38.768,31,1
3.992,t2_squeezenet,1095.980,36.375,32,1
4.029,t2_squeezenet,1111.516,36.254,32,1
4.065,t2_squeezenet,1107.380,36.748,31,1
4.104,t2_squeezenet,959.502,38.944,33,1
4.147,t2_squeezenet,935.146,42.131,32,1
4.192,t2_squeezenet,926.939,45.433,32,1
4.238,t2_squeezenet,959.545,45.508,32,1
4.286,t2_squeezenet,958.385,48.449,33,1
4.329,t2_squeezenet,988.303,43.260,36,1
4.374,t2_squeezenet,1015.094,44.872,39,1
4.420,t2_squeezenet,970.171,45.283,39,1
4.470,t2_squeezenet,1000.806,50.440,40,1
4.515,t2_squeezenet,1042.603,44.441,39,1
4.558,t2_squeezenet,1083.333,43.020,45,1
4.605,t2_squeezenet,1099.075,47.118,48,1
4.652,t2_squeezenet,1129.668,46.593,47,1
4.698,t2_squeezenet,1156.772,46.190,47,1
4.741,t2_squeezenet,1199.251,43.137,48,1
4.785,t2_squeezenet,1213.799,44.223,49,1
4.831,t2_squeezenet,1210.319,45.317,49,1
4.879,t2_squeezenet,1195.856,48.380,49,1
4.922,t2_squeezenet,1190.759,43.028,48,1
4.969,t2_squeezenet,1193.282,46.371,48,1
5.015,t2_squeezenet,1234.496,46.848,47,1
5.063,t2_squeezenet,1269.221,47.607,50,1
5.109,t2_squeezenet,1310.656,45.789,51,1
