step,t_s,T_c,T_pred_c,freq_mhz,util_pct,solver_ms,mode,agg_duty,duty0,duty1,duty2
0,0.00,55.10,54.00,2400,0.0,2519.79,convex,1.8013,0.5974,0.6028,0.6012
1,2.52,56.20,53.50,2400,97.1,28.20,convex,1.6913,0.5607,0.5661,0.5645
2,3.52,54.00,53.50,2400,37.4,28.56,convex,1.6913,0.5607,0.5661,0.5645
3,4.52,54.00,53.50,2400,47.4,37.29,convex,1.6913,0.5607,0.5661,0.5645
4,5.52,54.00,53.50,2400,48.3,38.00,convex,1.6913,0.5607,0.5661,0.5645
5,6.52,54.00,53.50,2400,48.3,43.91,convex,1.6913,0.5607,0.5661,0.5645
6,7.52,54.00,53.50,2400,48.6,41.55,convex,1.6913,0.5607,0.5661,0.5645
7,8.52,54.00,53.50,2400,48.5,38.14,convex,1.6913,0.5607,0.5661,0.5645
8,9.52,54.00,53.50,2400,48.9,40.70,convex,1.6913,0.5607,0.5661,0.5645
9,10.52,54.55,53.37,2400,48.3,41.47,convex,1.6638,0.5515,0.5569,0.5553
10,11.52,54.00,53.37,2400,48.2,35.13,convex,1.6638,0.5515,0.5569,0.5553
11,12.52,54.00,53.37,2400,48.1,77.64,convex,1.6638,0.5515,0.5569,0.5553
12,13.52,54.55,53.24,2400,45.7,39.81,convex,1.6363,0.5424,0.5477,0.5462
13,14.52,54.00,53.24,2400,47.2,37.60,convex,1.6363,0.5424,0.5477,0.5462
14,15.52,54.00,53.24,2400,46.7,40.77,convex,1.6363,0.5424,0.5477,0.5462
15,16.52,54.55,53.12,2400,47.4,34.44,convex,1.6088,0.5332,0.5386,0.5371
16,17.52,54.00,53.12,2400,46.7,34.39,convex,1.6088,0.5332,0.5386,0.5371
17,18.52,54.55,52.99,2400,46.3,37.12,convex,1.5813,0.5240,0.5294,0.5279
18,19.52,54.00,52.99,2400,45.8,37.27,convex,1.5813,0.5240,0.5294,0.5279
19,20.52,54.55,52.87,2400,45.8,38.48,convex,1.5538,0.5149,0.5203,0.5187
20,21.52,54.00,52.87,2400,46.6,44.76,convex,1.5538,0.5149,0.5203,0.5187
21,22.52,54.00,52.87,2400,46.2,37.27,convex,1.5538,0.5149,0.5203,0.5187
22,23.52,54.00,52.87,2400,45.6,32.52,convex,1.5538,0.5149,0.5203,0.5187
23,24.52,53.45,52.99,2400,45.3,34.51,convex,1.5813,0.5240,0.5294,0.5279
24,25.52,54.00,52.99,2400,45.7,38.59,convex,1.5813,0.5240,0.5294,0.5279
25,26.52,54.55,52.87,2400,45.6,33.44,convex,1.5538,0.5149,0.5203,0.5187
26,27.52,54.00,52.87,2400,44.7,33.55,convex,1.5538,0.5149,0.5203,0.5187
27,28.53,54.00,52.87,2400,45.1,32.43,convex,1.5538,0.5149,0.5203,0.5187
28,29.53,54.55,52.74,2400,45.6,33.28,convex,1.5263,0.5057,0.5111,0.5095
29,30.53,54.00,52.74,2400,44.4,33.84,convex,1.5263,0.5057,0.5111,0.5095
30,31.53,54.55,52.61,2400,44.3,31.70,convex,1.4988,0.4988,0.5008,0.4992
31,32.53,52.90,52.87,2400,43.6,30.74,convex,1.5538,0.5149,0.5203,0.5187
32,33.53,54.55,52.74,2400,45.3,34.59,convex,1.5263,0.5057,0.5111,0.5095
33,34.53,54.00,52.74,2400,44.6,34.74,convex,1.5263,0.5057,0.5111,0.5095
34,35.53,54.00,52.74,2400,44.6,35.26,convex,1.5263,0.5057,0.5111,0.5095
35,36.53,54.55,52.61,2400,44.1,30.71,convex,1.4988,0.4988,0.5008,0.4993
