t_s,tenant,latency_ms,service_ms,qdepth,warmup
0.111,t0_mnv2,48.519,44.132,0,1
0.163,t0_mnv2,51.914,47.083,2,1
0.210,t0_mnv2,69.894,47.099,4,1
0.259,t0_mnv2,117.894,49.019,3,1
0.311,t0_mnv2,135.393,51.389,3,1
0.362,t0_mnv2,177.098,51.834,3,1
0.413,t0_mnv2,207.493,50.231,3,1
0.458,t0_mnv2,161.462,45.335,2,1
0.497,t0_mnv2,138.028,39.007,2,1
0.535,t0_mnv2,144.933,38.248,2,1
0.571,t0_mnv2,81.760,36.073,2,1
0.611,t0_mnv2,98.989,39.533,1,1
0.653,t0_mnv2,107.230,41.783,1,1
0.693,t0_mnv2,47.216,40.292,0,1
0.756,t0_mnv2,38.855,37.128,0,1
0.803,t0_mnv2,39.076,36.863,0,1
0.938,t0_mnv2,41.459,39.361,1,1
0.972,t0_mnv2,37.753,34.341,1,1
1.007,t0_mnv2,43.988,34.710,2,1
1.042,t0_mnv2,68.024,35.083,1,1
1.083,t0_mnv2,91.056,40.569,0,1
1.209,t0_mnv2,44.914,39.922,0,1
1.283,t0_mnv2,47.763,43.411,1,1
1.331,t0_mnv2,79.824,48.004,2,1
1.379,t0_mnv2,62.374,47.819,1,1
1.432,t0_mnv2,114.838,53.443,3,1
1.483,t0_mnv2,101.227,50.613,2,1
1.533,t0_mnv2,144.650,49.971,6,1
1.597,t0_mnv2,166.543,64.518,6,1
1.677,t0_mnv2,185.321,79.270,7,1
1.748,t0_mnv2,254.640,70.977,7,1
1.808,t0_mnv2,307.240,60.492,6,1
1.871,t0_mnv2,364.398,62.387,6,1
1.935,t0_mnv2,407.988,64.861,5,1
1.999,t0_mnv2,403.572,63.274,5,1
2.058,t0_mnv2,434.526,59.178,7,1
2.119,t0_mnv2,450.613,61.120,6,1
2.186,t0_mnv2,495.150,67.137,7,1
2.249,t0_mnv2,426.487,62.796,8,1
2.310,t0_mnv2,340.983,61.131,8,1
2.373,t0_mnv2,371.123,62.599,8,1
2.443,t0_mnv2,420.001,70.178,10,1
2.496,t0_mnv2,463.864,52.654,12,1
2.556,t0_mnv2,431.824,59.837,12,1
2.622,t0_mnv2,461.517,66.219,11,1
2.682,t0_mnv2,458.737,59.774,10,1
2.739,t0_mnv2,500.128,57.421,11,1
2.808,t0_mnv2,542.115,69.086,12,1
2.873,t0_mnv2,533.924,64.620,15,1
2.936,t0_mnv2,528.389,62.568,14,1
2.996,t0_mnv2,576.290,60.198,15,1
3.055,t0_mnv2,618.108,59.004,16,1
3.118,t0_mnv2,663.197,63.223,15,1
3.172,t0_mnv2,711.256,53.411,14,1
3.219,t0_mnv2,723.393,46.691,14,1
3.265,t0_mnv2,746.934,46.013,13,1
3.313,t0_mnv2,601.421,47.945,12,1
3.370,t0_mnv2,639.745,56.986,13,1
3.431,t0_mnv2,673.107,61.291,13,1
3.494,t0_mnv2,731.508,62.842,13,1
3.558,t0_mnv2,744.518,63.739,14,1
3.612,t0_mnv2,777.828,53.898,13,1
3.670,t0_mnv2,825.669,58.887,13,1
3.732,t0_mnv2,877.344,61.030,12,1
3.792,t0_mnv2,835.582,60.122,11,1
3.853,t0_mnv2,867.765,60.969,11,1
3.913,t0_mnv2,903.916,60.313,11,1
3.977,t0_mnv2,929.379,63.726,11,1
4.035,t0_mnv2,850.703,58.093,10,1
4.093,t0_mnv2,762.030,58.092,9,1
4.155,t0_mnv2,819.935,61.596,10,1
4.221,t0_mnv2,824.786,65.830,9,1
4.276,t0_mnv2,784.250,55.024,10,1
4.324,t0_mnv2,824.556,48.107,10,1
4.373,t0_mnv2,843.665,48.612,10,1
4.417,t0_mnv2,790.270,44.413,9,1
4.458,t0_mnv2,618.692,40.723,8,1
4.499,t0_mnv2,606.346,40.960,7,1
4.577,t0_mnv2,619.680,77.945,7,1
4.619,t0_mnv2,505.558,41.940,6,1
4.708,t0_mnv2,556.084,89.515,7,1
4.804,t0_mnv2,574.274,95.363,7,1
4.893,t0_mnv2,648.020,89.672,7,1
