t_s,tenant,latency_ms,service_ms,qdepth,warmup
0.947,t1_resnet18,194.136,191.370,1,1
1.200,t1_resnet18,340.293,252.728,1,1
1.441,t1_resnet18,405.242,241.116,3,1
1.678,t1_resnet18,451.748,236.770,2,1
1.898,t1_resnet18,553.442,219.650,1,1
2.143,t1_resnet18,728.262,245.128,2,1
2.387,t1_resnet18,467.891,244.087,1,1
2.624,t1_resnet18,589.427,236.536,0,1
3.024,t1_resnet18,240.374,236.954,3,1
3.258,t1_resnet18,320.740,233.330,2,1
3.497,t1_resnet18,484.051,239.393,1,1
3.734,t1_resnet18,710.914,236.985,0,1
4.452,t1_resnet18,284.783,283.989,0,1
5.177,t1_resnet18,276.553,273.446,2,1
5.491,t1_resnet18,543.285,313.915,2,1
5.797,t1_resnet18,635.052,306.524,2,1
6.074,t1_resnet18,626.902,277.191,3,1
6.378,t1_resnet18,644.000,303.384,4,1
6.690,t1_resnet18,735.722,312.321,3,1
6.972,t1_resnet18,899.580,281.527,3,1
7.289,t1_resnet18,1206.911,317.114,3,1
7.601,t1_resnet18,1457.296,311.728,4,1
7.928,t1_resnet18,1002.081,327.462,3,1
8.195,t1_resnet18,1117.251,266.481,5,1
8.553,t1_resnet18,1247.409,357.833,6,1
8.864,t1_resnet18,1285.007,311.917,5,1
9.102,t1_resnet18,1168.691,237.073,6,1
9.460,t1_resnet18,1371.670,358.395,7,1
9.768,t1_resnet18,1642.449,307.461,7,1
10.055,t1_resnet18,1655.461,287.414,10,1
10.375,t1_resnet18,1834.280,319.500,14,1
10.691,t1_resnet18,1738.682,316.402,15,1
10.966,t1_resnet18,1970.186,275.360,15,1
11.278,t1_resnet18,2114.998,311.176,16,1
11.596,t1_resnet18,2250.062,318.265,16,1
11.918,t1_resnet18,2255.781,322.521,15,1
12.187,t1_resnet18,2389.276,268.373,17,1
12.505,t1_resnet18,2617.203,317.587,18,1
12.865,t1_resnet18,2904.257,360.765,19,1
13.103,t1_resnet18,3081.535,237.952,22,1
13.457,t1_resnet18,3399.764,353.358,22,1
13.774,t1_resnet18,3580.482,316.789,22,1
14.097,t1_resnet18,3837.695,323.800,22,1
14.407,t1_resnet18,4119.634,309.596,21,1
14.772,t1_resnet18,4421.487,320.748,22,1
15.005,t1_resnet18,4548.561,233.001,23,1
15.363,t1_resnet18,4890.663,358.679,22,1
15.681,t1_resnet18,4880.514,317.996,22,1
15.960,t1_resnet18,4804.209,278.201,23,1
16.270,t1_resnet18,5012.444,310.085,24,1
16.590,t1_resnet18,5099.658,319.818,24,1
16.923,t1_resnet18,4977.004,332.888,23,1
17.194,t1_resnet18,5232.987,270.866,23,1
