t_s,tenant,latency_ms,service_ms,qdepth,warmup
0.055,t2_squeezenet,41.024,39.189,0,1
0.147,t2_squeezenet,46.793,46.558,1,1
0.188,t2_squeezenet,49.023,41.127,1,1
0.237,t2_squeezenet,76.890,48.284,2,1
0.281,t2_squeezenet,78.968,44.360,2,1
0.328,t2_squeezenet,105.079,46.561,2,1
0.373,t2_squeezenet,102.574,45.441,1,1
0.418,t2_squeezenet,117.821,44.456,0,1
0.554,t2_squeezenet,34.898,34.875,2,1
0.589,t2_squeezenet,67.451,34.947,1,1
0.628,t2_squeezenet,93.785,38.420,1,1
0.661,t2_squeezenet,52.947,33.145,0,1
0.698,t2_squeezenet,34.773,32.453,0,1
0.781,t2_squeezenet,33.327,31.682,2,1
0.810,t2_squeezenet,56.016,29.080,1,1
0.839,t2_squeezenet,79.327,29.103,0,1
0.895,t2_squeezenet,39.991,35.618,0,1
1.043,t2_squeezenet,36.830,36.292,3,1
1.073,t2_squeezenet,54.433,29.852,3,1
1.103,t2_squeezenet,64.399,29.775,3,1
1.132,t2_squeezenet,91.110,29.574,4,1
1.168,t2_squeezenet,109.532,35.686,3,1
1.198,t2_squeezenet,96.947,29.861,2,1
1.234,t2_squeezenet,122.772,35.472,2,1
1.277,t2_squeezenet,162.141,43.625,2,1
1.320,t2_squeezenet,115.688,42.362,2,1
1.366,t2_squeezenet,109.888,46.425,2,1
1.413,t2_squeezenet,110.046,46.813,2,1
1.459,t2_squeezenet,105.298,45.707,3,1
1.504,t2_squeezenet,102.342,44.891,3,1
1.561,t2_squeezenet,125.749,57.014,2,1
1.627,t2_squeezenet,188.697,66.167,2,1
1.692,t2_squeezenet,193.794,65.034,3,1
1.746,t2_squeezenet,156.263,53.966,2,1
1.804,t2_squeezenet,175.791,58.518,1,1
1.861,t2_squeezenet,216.541,56.717,1,1
1.923,t2_squeezenet,82.707,62.110,4,1
1.979,t2_squeezenet,89.525,55.506,5,1
2.032,t2_squeezenet,130.663,52.614,5,1
2.087,t2_squeezenet,175.486,55.821,4,1
2.147,t2_squeezenet,227.554,59.855,3,1
2.206,t2_squeezenet,256.964,58.144,3,1
2.263,t2_squeezenet,289.765,57.213,3,1
2.321,t2_squeezenet,299.876,57.608,3,1
2.384,t2_squeezenet,187.060,63.137,4,1
2.441,t2_squeezenet,209.353,57.380,4,1
2.495,t2_squeezenet,212.673,54.310,4,1
2.551,t2_squeezenet,223.247,55.912,3,1
2.612,t2_squeezenet,265.640,60.954,2,1
2.664,t2_squeezenet,256.600,51.325,2,1
2.719,t2_squeezenet,257.386,55.505,2,1
2.780,t2_squeezenet,141.444,61.095,2,1
2.839,t2_squeezenet,124.108,58.736,4,1
2.895,t2_squeezenet,137.877,55.584,4,1
2.950,t2_squeezenet,132.558,54.714,6,1
3.007,t2_squeezenet,175.731,57.187,7,1
3.064,t2_squeezenet,225.481,56.690,7,1
3.120,t2_squeezenet,279.954,56.616,9,1
3.163,t2_squeezenet,267.005,43.059,8,1
3.204,t2_squeezenet,285.806,40.393,8,1
3.247,t2_squeezenet,313.835,43.056,7,1
3.294,t2_squeezenet,308.791,46.481,6,1
3.343,t2_squeezenet,351.294,49.714,5,1
3.399,t2_squeezenet,389.578,55.533,4,1
3.454,t2_squeezenet,371.609,55.105,4,1
3.513,t2_squeezenet,426.050,59.255,5,1
3.565,t2_squeezenet,477.028,51.867,4,1
3.617,t2_squeezenet,436.373,51.746,3,1
3.674,t2_squeezenet,249.707,57.288,3,1
3.731,t2_squeezenet,256.903,57.043,6,1
3.787,t2_squeezenet,284.154,55.658,5,1
3.841,t2_squeezenet,189.342,54.063,5,1
3.896,t2_squeezenet,218.563,54.475,7,1
3.953,t2_squeezenet,271.788,57.544,8,1
4.005,t2_squeezenet,311.244,51.966,8,1
4.058,t2_squeezenet,337.049,52.208,8,1
4.113,t2_squeezenet,286.829,55.502,9,1
4.173,t2_squeezenet,325.794,59.933,12,1
4.228,t2_squeezenet,375.063,54.661,11,1
4.271,t2_squeezenet,408.077,42.909,11,1
4.316,t2_squeezenet,370.514,44.841,10,1
4.358,t2_squeezenet,409.096,41.810,9,1
4.395,t2_squeezenet,396.564,37.707,8,1
4.432,t2_squeezenet,423.563,36.447,7,1
4.467,t2_squeezenet,379.139,34.838,6,1
4.543,t2_squeezenet,434.506,76.481,6,1
4.627,t2_squeezenet,509.832,83.836,6,1
4.665,t2_squeezenet,531.997,37.522,5,1
4.748,t2_squeezenet,607.203,83.149,6,1
4.836,t2_squeezenet,665.556,87.981,8,1
4.882,t2_squeezenet,653.332,46.078,7,1
4.961,t2_squeezenet,434.637,78.675,7,1
5.041,t2_squeezenet,419.902,80.266,10,1
5.078,t2_squeezenet,380.012,36.649,10,1
5.153,t2_squeezenet,437.010,75.332,12,1
5.235,t2_squeezenet,447.585,81.397,12,1
5.269,t2_squeezenet,463.311,34.820,11,1
5.346,t2_squeezenet,514.583,76.974,11,1
5.385,t2_squeezenet,424.818,38.908,11,1
5.427,t2_squeezenet,438.516,41.836,11,1
5.472,t2_squeezenet,479.114,44.321,13,1
5.553,t2_squeezenet,557.041,81.074,13,1
5.644,t2_squeezenet,603.267,90.940,14,1
5.730,t2_squeezenet,666.199,86.117,17,1
5.772,t2_squeezenet,683.541,41.662,17,1
5.860,t2_squeezenet,770.685,87.974,17,1
5.945,t2_squeezenet,813.567,85.119,18,1
6.035,t2_squeezenet,834.128,90.144,18,1
6.077,t2_squeezenet,786.489,42.055,18,1
6.158,t2_squeezenet,798.616,80.809,18,1
6.247,t2_squeezenet,822.555,89.378,22,1
6.338,t2_squeezenet,905.375,90.745,25,1
6.391,t2_squeezenet,940.317,53.276,25,1
6.437,t2_squeezenet,980.593,45.771,25,1
6.485,t2_squeezenet,968.458,47.884,25,1
6.568,t2_squeezenet,1000.217,82.657,29,1
6.656,t2_squeezenet,1019.997,88.013,34,1
6.741,t2_squeezenet,1096.983,85.561,34,1
6.828,t2_squeezenet,1148.946,86.321,33,1
6.869,t2_squeezenet,1185.308,41.563,35,1
6.957,t2_squeezenet,1245.153,87.360,36,1
7.040,t2_squeezenet,1271.588,83.305,36,1
7.131,t2_squeezenet,1274.871,90.561,35,1
7.177,t2_squeezenet,1304.993,46.174,35,1
7.260,t2_squeezenet,1368.923,82.801,35,1
7.346,t2_squeezenet,1377.407,86.279,37,1
7.403,t2_squeezenet,1343.422,56.521,38,1
7.452,t2_squeezenet,1338.470,48.847,39,1
7.530,t2_squeezenet,1369.520,78.518,41,1
7.573,t2_squeezenet,1393.076,42.377,41,1
7.662,t2_squeezenet,1436.173,89.579,43,1
7.748,t2_squeezenet,1507.272,85.599,45,1
7.837,t2_squeezenet,1595.339,88.831,47,1
7.880,t2_squeezenet,1614.549,42.957,46,1
7.964,t2_squeezenet,1689.200,83.754,48,1
8.054,t2_squeezenet,1771.693,90.479,47,1
8.138,t2_squeezenet,1845.144,83.673,48,1
8.180,t2_squeezenet,1840.377,42.277,48,1
8.269,t2_squeezenet,1834.106,88.311,48,1
8.360,t2_squeezenet,1912.853,91.162,47,1
8.421,t2_squeezenet,1906.001,61.065,46,1
8.463,t2_squeezenet,1940.407,42.502,49,1
8.546,t2_squeezenet,2017.505,82.329,49,1
8.634,t2_squeezenet,2092.916,87.763,50,1
8.727,t2_squeezenet,2171.546,93.472,54,1
8.767,t2_squeezenet,2197.527,40.200,54,1
8.850,t2_squeezenet,2276.700,82.157,57,1
8.941,t2_squeezenet,2351.293,90.911,56,1
