t_s,tenant,latency_ms,service_ms,qdepth,warmup
0.108,t0_mnv2,44.854,44.823,0,1
0.150,t0_mnv2,38.790,37.604,2,1
0.198,t0_mnv2,57.083,47.323,3,1
0.248,t0_mnv2,106.465,50.239,3,1
0.296,t0_mnv2,120.321,47.781,2,1
0.348,t0_mnv2,162.093,51.855,2,1
0.397,t0_mnv2,191.915,49.588,3,1
0.449,t0_mnv2,152.336,51.835,2,1
0.493,t0_mnv2,133.082,43.295,2,1
0.530,t0_mnv2,139.110,37.318,2,1
0.570,t0_mnv2,79.809,39.896,2,1
0.610,t0_mnv2,97.502,39.977,1,1
0.651,t0_mnv2,105.387,41.435,1,1
0.693,t0_mnv2,46.592,41.527,0,1
0.758,t0_mnv2,40.524,39.431,0,1
0.803,t0_mnv2,38.958,35.086,0,1
0.937,t0_mnv2,40.365,38.178,1,1
0.975,t0_mnv2,39.650,37.331,2,1
1.009,t0_mnv2,45.595,34.437,2,1
1.044,t0_mnv2,68.895,34.374,1,1
1.081,t0_mnv2,88.666,37.328,0,1
1.209,t0_mnv2,44.198,41.692,0,1
1.279,t0_mnv2,44.158,40.490,1,1
1.321,t0_mnv2,70.078,41.283,2,1
1.368,t0_mnv2,52.301,47.435,1,1
1.415,t0_mnv2,98.379,47.022,2,1
1.466,t0_mnv2,85.890,51.222,2,1
1.518,t0_mnv2,131.172,51.549,5,1
1.566,t0_mnv2,136.741,48.141,5,1
1.622,t0_mnv2,132.287,55.974,6,1
1.685,t0_mnv2,192.892,62.200,6,1
1.771,t0_mnv2,271.251,86.192,6,1
1.829,t0_mnv2,323.816,57.816,6,1
1.893,t0_mnv2,367.792,64.032,5,1
1.948,t0_mnv2,356.640,54.780,4,1
2.004,t0_mnv2,385.282,56.878,5,1
2.050,t0_mnv2,385.815,45.585,6,1
2.098,t0_mnv2,410.792,47.549,5,1
2.151,t0_mnv2,332.736,53.386,5,1
2.201,t0_mnv2,236.083,49.996,5,1
2.250,t0_mnv2,252.552,48.844,6,1
2.300,t0_mnv2,282.404,50.442,6,1
2.352,t0_mnv2,324.665,51.009,6,1
2.406,t0_mnv2,287.444,54.599,6,1
2.453,t0_mnv2,297.651,46.714,9,1
2.504,t0_mnv2,287.463,51.338,9,1
2.556,t0_mnv2,323.219,51.468,9,1
2.599,t0_mnv2,339.580,43.428,8,1
2.638,t0_mnv2,306.449,38.419,7,1
2.677,t0_mnv2,277.602,39.264,6,1
2.723,t0_mnv2,311.396,46.134,7,1
2.768,t0_mnv2,339.225,45.057,8,1
2.819,t0_mnv2,373.214,50.441,8,1
2.866,t0_mnv2,415.226,47.236,10,1
2.915,t0_mnv2,429.755,48.429,9,1
2.956,t0_mnv2,448.554,41.274,9,1
2.995,t0_mnv2,298.227,39.313,10,1
3.037,t0_mnv2,321.624,42.086,10,1
3.077,t0_mnv2,333.018,39.223,9,1
3.116,t0_mnv2,368.053,39.351,8,1
3.159,t0_mnv2,360.070,42.694,7,1
3.199,t0_mnv2,379.742,40.180,7,1
3.240,t0_mnv2,409.912,41.172,6,1
3.281,t0_mnv2,440.909,40.467,5,1
3.321,t0_mnv2,379.940,40.814,6,1
3.360,t0_mnv2,389.854,38.637,5,1
3.403,t0_mnv2,408.465,42.733,5,1
3.440,t0_mnv2,407.459,37.236,4,1
3.480,t0_mnv2,310.218,39.569,4,1
3.533,t0_mnv2,218.823,53.169,5,1
3.582,t0_mnv2,264.469,49.150,4,1
3.625,t0_mnv2,246.645,43.157,4,1
3.664,t0_mnv2,190.206,39.132,3,1
3.706,t0_mnv2,223.690,41.342,2,1
3.752,t0_mnv2,240.585,46.414,1,1
3.801,t0_mnv2,191.840,49.043,0,1
