t_s,tenant,latency_ms,service_ms,qdepth,warmup
0.946,t1_resnet18,192.122,189.039,1,1
1.190,t1_resnet18,328.393,243.821,1,1
1.416,t1_resnet18,377.315,226.070,2,1
1.606,t1_resnet18,374.576,190.494,2,1
1.798,t1_resnet18,448.484,191.886,1,1
1.987,t1_resnet18,567.035,188.843,1,1
2.142,t1_resnet18,219.895,154.711,1,1
2.324,t1_resnet18,287.555,182.567,0,1
2.954,t1_resnet18,167.903,163.113,1,1
3.119,t1_resnet18,179.088,164.289,2,1
3.297,t1_resnet18,280.821,177.852,1,1
3.463,t1_resnet18,438.466,165.992,0,1
4.319,t1_resnet18,151.063,150.529,0,1
5.078,t1_resnet18,177.377,176.191,1,1
5.263,t1_resnet18,315.535,185.221,1,1
5.429,t1_resnet18,266.438,165.677,0,1
5.624,t1_resnet18,175.534,174.191,0,1
5.929,t1_resnet18,194.609,192.576,0,1
6.151,t1_resnet18,196.357,191.758,3,1
6.342,t1_resnet18,269.501,190.764,2,1
6.533,t1_resnet18,450.961,191.228,1,1
6.726,t1_resnet18,581.241,192.139,0,1
7.115,t1_resnet18,187.687,185.983,1,1
7.289,t1_resnet18,209.809,173.981,0,1
7.492,t1_resnet18,185.734,182.886,0,1
7.766,t1_resnet18,185.220,182.346,0,1
8.132,t1_resnet18,198.094,193.349,2,1
8.322,t1_resnet18,230.884,189.205,1,1
8.515,t1_resnet18,387.256,193.105,1,1
8.706,t1_resnet18,304.241,191.521,1,1
8.900,t1_resnet18,357.242,193.781,0,1
9.149,t1_resnet18,194.334,193.159,1,1
9.341,t1_resnet18,341.438,191.487,1,1
9.534,t1_resnet18,368.674,193.673,1,1
9.724,t1_resnet18,372.946,189.734,1,1
9.914,t1_resnet18,246.228,190.086,2,1
10.097,t1_resnet18,293.726,182.334,4,1
10.264,t1_resnet18,374.248,166.780,5,1
10.431,t1_resnet18,468.101,167.507,6,1
10.584,t1_resnet18,560.303,153.023,7,1
10.765,t1_resnet18,705.501,180.348,6,1
10.947,t1_resnet18,752.181,182.779,6,1
11.142,t1_resnet18,879.805,194.224,5,1
11.333,t1_resnet18,1043.591,191.392,6,1
11.527,t1_resnet18,1174.908,193.904,6,1
11.715,t1_resnet18,1256.838,187.654,5,1
11.909,t1_resnet18,1434.375,193.934,4,1
12.101,t1_resnet18,1298.113,191.863,6,1
12.294,t1_resnet18,1136.670,193.027,5,1
12.484,t1_resnet18,1225.457,190.589,6,1
12.679,t1_resnet18,1187.326,194.606,7,1
12.866,t1_resnet18,919.120,187.394,6,1
13.060,t1_resnet18,1097.385,193.077,9,1
13.253,t1_resnet18,1186.957,193.575,9,1
13.447,t1_resnet18,1120.204,193.776,8,1
13.640,t1_resnet18,1286.878,192.764,8,1
13.829,t1_resnet18,1175.081,189.042,7,1
14.021,t1_resnet18,1342.458,191.764,6,1
14.211,t1_resnet18,1221.337,190.567,6,1
14.407,t1_resnet18,1400.544,195.096,5,1
14.597,t1_resnet18,1584.600,190.511,5,1
14.790,t1_resnet18,1751.726,192.672,5,1
14.982,t1_resnet18,1764.418,191.779,6,1
15.175,t1_resnet18,1593.868,193.665,5,1
15.364,t1_resnet18,1321.772,188.573,4,1
15.555,t1_resnet18,967.010,190.687,4,1
15.747,t1_resnet18,1087.494,192.541,3,1
15.941,t1_resnet18,1122.007,193.540,4,1
16.132,t1_resnet18,1228.311,190.763,3,1
16.324,t1_resnet18,833.863,192.621,4,1
16.514,t1_resnet18,655.500,190.142,3,1
