t_s,tenant,latency_ms,service_ms,qdepth,warmup
0.054,t2_squeezenet,40.431,38.568,0,1
0.152,t2_squeezenet,51.818,47.322,1,1
0.195,t2_squeezenet,55.699,42.600,1,1
0.239,t2_squeezenet,78.999,43.729,2,1
0.284,t2_squeezenet,84.350,45.454,2,1
0.330,t2_squeezenet,109.988,46.060,2,1
0.379,t2_squeezenet,110.653,48.633,1,1
0.421,t2_squeezenet,123.715,42.307,0,1
0.553,t2_squeezenet,35.866,34.974,2,1
0.588,t2_squeezenet,68.766,35.292,1,1
0.626,t2_squeezenet,94.242,37.635,1,1
0.657,t2_squeezenet,50.962,30.749,0,1
0.697,t2_squeezenet,35.746,35.448,0,1
0.778,t2_squeezenet,32.494,30.122,2,1
0.807,t2_squeezenet,55.156,29.037,1,1
0.836,t2_squeezenet,78.365,28.979,0,1
0.893,t2_squeezenet,39.827,36.389,0,1
1.036,t2_squeezenet,32.063,31.841,1,1
1.065,t2_squeezenet,48.807,29.048,3,1
1.095,t2_squeezenet,57.982,29.015,2,1
1.130,t2_squeezenet,90.169,35.064,4,1
1.162,t2_squeezenet,105.075,32.156,3,1
1.194,t2_squeezenet,94.700,32.064,2,1
1.229,t2_squeezenet,120.520,35.371,2,1
1.264,t2_squeezenet,150.979,34.714,2,1
1.307,t2_squeezenet,104.541,42.476,2,1
1.349,t2_squeezenet,95.103,42.773,1,1
1.396,t2_squeezenet,94.683,46.108,1,1
1.443,t2_squeezenet,91.322,47.015,3,1
1.488,t2_squeezenet,88.298,44.861,2,1
1.531,t2_squeezenet,98.109,43.447,2,1
1.589,t2_squeezenet,153.165,58.300,1,1
1.657,t2_squeezenet,160.852,67.526,3,1
1.728,t2_squeezenet,137.795,70.878,2,1
1.778,t2_squeezenet,147.523,49.737,1,1
1.835,t2_squeezenet,188.701,57.559,0,1
1.889,t2_squeezenet,49.849,48.800,1,1
1.937,t2_squeezenet,49.030,47.921,3,1
1.982,t2_squeezenet,85.315,44.286,4,1
2.024,t2_squeezenet,116.955,42.633,4,1
2.071,t2_squeezenet,155.488,46.369,3,1
2.117,t2_squeezenet,173.822,46.201,2,1
2.160,t2_squeezenet,192.536,43.152,1,1
2.205,t2_squeezenet,191.133,44.488,1,1
2.247,t2_squeezenet,57.392,42.130,1,1
2.293,t2_squeezenet,69.486,46.331,1,1
2.340,t2_squeezenet,65.579,47.067,2,1
2.383,t2_squeezenet,62.786,42.606,1,1
2.427,t2_squeezenet,88.030,43.857,1,1
2.476,t2_squeezenet,76.708,49.087,1,1
2.521,t2_squeezenet,66.820,45.113,0,1
2.677,t2_squeezenet,45.834,44.553,0,1
2.753,t2_squeezenet,45.848,45.403,1,1
2.799,t2_squeezenet,49.593,45.519,0,1
2.857,t2_squeezenet,47.168,42.292,3,1
2.893,t2_squeezenet,69.226,36.072,3,1
2.929,t2_squeezenet,98.244,35.887,4,1
2.965,t2_squeezenet,132.739,36.581,3,1
3.002,t2_squeezenet,113.317,36.467,5,1
3.036,t2_squeezenet,126.461,34.682,4,1
3.071,t2_squeezenet,145.633,34.199,3,1
3.107,t2_squeezenet,132.253,36.296,5,1
3.142,t2_squeezenet,159.932,34.671,4,1
3.177,t2_squeezenet,177.841,35.046,4,1
3.214,t2_squeezenet,141.692,36.758,3,1
3.250,t2_squeezenet,173.304,36.071,2,1
3.285,t2_squeezenet,207.870,35.376,1,1
3.323,t2_squeezenet,155.658,38.209,0,1
3.463,t2_squeezenet,52.705,47.778,1,1
3.508,t2_squeezenet,48.151,45.293,1,1
