step,t_s,T_c,T_pred_c,freq_mhz,util_pct,solver_ms,mode,agg_duty,duty0,duty1,duty2
0,0.00,48.50,54.00,2400,0.0,0.00,admission,1.8013,0.6004,0.6004,0.6004
1,1.00,50.15,54.88,2400,23.4,0.09,admission,1.9938,0.6646,0.6646,0.6646
2,2.00,49.05,56.02,2400,29.1,0.06,admission,2.2413,0.7471,0.7471,0.7471
3,3.00,49.05,57.15,2400,20.6,0.05,admission,2.4888,0.8296,0.8296,0.8296
4,4.00,49.05,58.28,2400,24.3,0.06,admission,2.7363,0.9121,0.9121,0.9121
5,5.00,49.05,59.42,2400,18.3,0.08,admission,2.9838,0.9946,0.9946,0.9946
6,6.00,51.80,59.49,2400,29.2,0.06,admission,3.0000,1.0000,1.0000,1.0000
7,7.00,49.05,59.49,2400,13.8,0.05,admission,3.0000,1.0000,1.0000,1.0000
8,8.00,49.60,59.49,2400,15.1,0.09,admission,3.0000,1.0000,1.0000,1.0000
9,9.00,49.60,59.49,2400,12.5,0.05,admission,3.0000,1.0000,1.0000,1.0000
10,10.00,49.60,59.49,2400,14.8,0.06,admission,3.0000,1.0000,1.0000,1.0000
11,11.00,50.15,59.49,2400,31.7,0.05,admission,3.0000,1.0000,1.0000,1.0000
12,12.00,49.60,59.49,2400,19.1,0.05,admission,3.0000,1.0000,1.0000,1.0000
13,13.00,49.60,59.49,2400,25.3,0.05,admission,3.0000,1.0000,1.0000,1.0000
14,14.00,50.15,59.49,2400,34.9,0.05,admission,3.0000,1.0000,1.0000,1.0000
15,15.00,49.05,59.49,2400,12.0,0.06,admission,3.0000,1.0000,1.0000,1.0000
16,16.00,49.60,59.49,2400,32.7,0.05,admission,3.0000,1.0000,1.0000,1.0000
17,17.00,48.50,59.49,2400,17.5,0.05,admission,3.0000,1.0000,1.0000,1.0000
18,18.00,50.15,59.49,2400,31.0,0.12,admission,3.0000,1.0000,1.0000,1.0000
19,19.00,49.05,59.49,2400,33.0,0.07,admission,3.0000,1.0000,1.0000,1.0000
20,20.00,50.15,59.49,2400,21.8,0.05,admission,3.0000,1.0000,1.0000,1.0000
21,21.00,48.50,59.49,2400,17.1,0.19,admission,3.0000,1.0000,1.0000,1.0000
22,22.00,50.15,59.49,2400,26.6,0.05,admission,3.0000,1.0000,1.0000,1.0000
23,23.00,50.15,59.49,2400,35.2,0.05,admission,3.0000,1.0000,1.0000,1.0000
24,24.00,49.05,59.49,2400,24.1,0.05,admission,3.0000,1.0000,1.0000,1.0000
25,25.00,50.15,59.49,2400,20.4,0.05,admission,3.0000,1.0000,1.0000,1.0000
26,26.00,49.05,59.49,2400,29.7,0.06,admission,3.0000,1.0000,1.0000,1.0000
27,27.00,50.15,59.49,2400,23.8,0.07,admission,3.0000,1.0000,1.0000,1.0000
28,28.00,49.60,59.49,2400,28.4,0.17,admission,3.0000,1.0000,1.0000,1.0000
29,29.00,50.15,59.49,2400,28.5,0.05,admission,3.0000,1.0000,1.0000,1.0000
30,30.01,49.60,59.49,2400,41.1,0.05,admission,3.0000,1.0000,1.0000,1.0000
31,31.01,49.05,59.49,2400,22.2,0.05,admission,3.0000,1.0000,1.0000,1.0000
32,32.01,50.15,59.49,2400,30.3,0.05,admission,3.0000,1.0000,1.0000,1.0000
33,33.01,50.70,59.49,2400,20.8,0.16,admission,3.0000,1.0000,1.0000,1.0000
34,34.01,50.15,59.49,2400,32.9,0.05,admission,3.0000,1.0000,1.0000,1.0000
35,35.01,48.50,59.49,2400,13.3,0.05,admission,3.0000,1.0000,1.0000,1.0000
36,36.01,49.60,59.49,2400,21.4,0.05,admission,3.0000,1.0000,1.0000,1.0000
37,37.01,49.60,59.49,2400,28.1,0.20,admission,3.0000,1.0000,1.0000,1.0000
38,38.01,48.50,59.49,2400,16.8,0.05,admission,3.0000,1.0000,1.0000,1.0000
39,39.01,49.05,59.49,2400,19.0,0.06,admission,3.0000,1.0000,1.0000,1.0000
40,40.01,49.60,59.49,2400,29.5,0.05,admission,3.0000,1.0000,1.0000,1.0000
41,41.01,49.60,59.49,2400,36.3,0.05,admission,3.0000,1.0000,1.0000,1.0000
42,42.01,49.60,59.49,2400,24.9,0.07,admission,3.0000,1.0000,1.0000,1.0000
43,43.01,50.15,59.49,2400,25.7,0.06,admission,3.0000,1.0000,1.0000,1.0000
44,44.01,49.60,59.49,2400,22.5,0.05,admission,3.0000,1.0000,1.0000,1.0000
45,45.01,48.50,59.49,2400,17.2,0.05,admission,3.0000,1.0000,1.0000,1.0000
46,46.01,50.15,59.49,2400,29.6,0.05,admission,3.0000,1.0000,1.0000,1.0000
47,47.01,50.15,59.49,2400,29.1,0.05,admission,3.0000,1.0000,1.0000,1.0000
48,48.01,49.05,59.49,2400,20.2,0.07,admission,3.0000,1.0000,1.0000,1.0000
49,49.01,49.60,59.49,2400,26.5,0.05,admission,3.0000,1.0000,1.0000,1.0000
50,50.01,50.15,59.49,2400,28.4,0.06,admission,3.0000,1.0000,1.0000,1.0000
51,51.01,50.70,59.49,2400,28.5,0.07,admission,3.0000,1.0000,1.0000,1.0000
52,52.01,50.15,59.49,2400,18.3,0.07,admission,3.0000,1.0000,1.0000,1.0000
53,53.01,49.60,59.49,2400,27.5,0.05,admission,3.0000,1.0000,1.0000,1.0000
54,54.01,49.05,59.49,2400,27.1,0.11,admission,3.0000,1.0000,1.0000,1.0000
55,55.01,49.05,59.49,2400,21.3,0.05,admission,3.0000,1.0000,1.0000,1.0000
56,56.01,48.50,59.49,2400,13.5,0.05,admission,3.0000,1.0000,1.0000,1.0000
57,57.01,49.05,59.49,2400,25.3,0.08,admission,3.0000,1.0000,1.0000,1.0000
58,58.01,49.05,59.49,2400,28.5,0.05,admission,3.0000,1.0000,1.0000,1.0000
59,59.01,49.60,59.49,2400,39.0,0.05,admission,3.0000,1.0000,1.0000,1.0000
60,60.01,49.60,59.49,2400,34.4,0.07,admission,3.0000,1.0000,1.0000,1.0000
61,61.01,49.60,59.49,2400,21.2,0.23,admission,3.0000,1.0000,1.0000,1.0000
62,62.01,48.50,59.49,2400,10.8,0.06,admission,3.0000,1.0000,1.0000,1.0000
63,63.01,49.60,59.49,2400,20.4,0.06,admission,3.0000,1.0000,1.0000,1.0000
64,64.01,50.15,59.49,2400,31.9,0.06,admission,3.0000,1.0000,1.0000,1.0000
65,65.01,50.15,59.49,2400,30.5,0.06,admission,3.0000,1.0000,1.0000,1.0000
66,66.02,50.15,59.49,2400,18.5,0.05,admission,3.0000,1.0000,1.0000,1.0000
67,67.02,49.05,59.49,2400,20.2,0.06,admission,3.0000,1.0000,1.0000,1.0000
68,68.02,50.15,59.49,2400,26.3,0.05,admission,3.0000,1.0000,1.0000,1.0000
69,69.02,50.70,59.49,2400,26.8,0.06,admission,3.0000,1.0000,1.0000,1.0000
