t_s,tenant,latency_ms,service_ms,qdepth,warmup
1.940,t1_resnet18,182.719,178.832,0,1
2.224,t1_resnet18,218.110,217.984,0,1
2.621,t1_resnet18,204.167,199.681,0,1
3.044,t1_resnet18,183.316,180.076,0,1
3.285,t1_resnet18,149.301,144.796,0,1
3.474,t1_resnet18,175.236,174.464,0,1
4.619,t1_resnet18,148.978,145.802,0,1
4.893,t1_resnet18,155.104,152.636,0,1
6.650,t1_resnet18,163.463,162.182,0,1
6.978,t1_resnet18,134.462,130.134,0,1
7.154,t1_resnet18,133.202,130.215,1,1
7.284,t1_resnet18,241.045,129.880,0,1
9.848,t1_resnet18,137.999,133.278,0,1
11.562,t1_resnet18,141.461,139.553,1,1
11.712,t1_resnet18,181.060,149.305,0,1
12.190,t1_resnet18,158.419,154.537,0,1
12.857,t1_resnet18,154.988,151.026,0,1
13.504,t1_resnet18,133.810,130.698,0,1
14.043,t1_resnet18,158.448,154.422,0,1
14.297,t1_resnet18,137.524,137.079,1,1
14.440,t1_resnet18,257.783,142.866,1,1
14.589,t1_resnet18,264.080,149.290,0,1
16.300,t1_resnet18,149.300,146.289,0,1
16.658,t1_resnet18,154.627,149.841,0,1
17.191,t1_resnet18,152.563,148.397,0,1
17.828,t1_resnet18,149.380,145.623,0,1
18.637,t1_resnet18,135.187,131.891,0,1
18.996,t1_resnet18,131.705,131.042,1,1
19.180,t1_resnet18,230.525,184.150,0,1
19.740,t1_resnet18,149.525,148.337,0,1
20.082,t1_resnet18,164.031,160.574,0,0
21.017,t1_resnet18,137.868,135.529,1,0
21.161,t1_resnet18,179.719,143.821,0,0
21.508,t1_resnet18,139.168,134.989,0,0
21.932,t1_resnet18,135.338,135.308,0,0
22.672,t1_resnet18,136.663,131.851,0,0
22.988,t1_resnet18,137.607,133.466,0,0
23.207,t1_resnet18,155.318,151.663,0,0
23.357,t1_resnet18,131.591,130.491,0,0
23.523,t1_resnet18,155.823,155.709,1,0
23.663,t1_resnet18,214.104,140.094,0,0
23.901,t1_resnet18,134.885,131.814,0,0
24.054,t1_resnet18,132.437,132.347,1,0
24.192,t1_resnet18,206.839,138.512,1,0
24.332,t1_resnet18,200.051,139.034,0,0
24.518,t1_resnet18,139.540,135.524,1,0
24.670,t1_resnet18,254.108,152.835,0,0
25.319,t1_resnet18,137.004,132.623,0,0
26.150,t1_resnet18,140.798,137.697,0,0
26.391,t1_resnet18,144.107,139.883,0,0
26.941,t1_resnet18,151.717,147.941,0,0
27.987,t1_resnet18,135.038,130.363,1,0
28.123,t1_resnet18,237.120,136.460,0,0
28.276,t1_resnet18,148.252,143.320,0,0
28.881,t1_resnet18,145.563,142.649,1,0
29.015,t1_resnet18,218.328,133.319,0,0
29.637,t1_resnet18,139.512,136.522,1,0
29.793,t1_resnet18,241.388,155.406,0,0
30.425,t1_resnet18,146.605,146.031,3,0
30.560,t1_resnet18,244.511,134.767,2,0
30.717,t1_resnet18,386.436,156.853,1,0
30.857,t1_resnet18,466.077,139.958,1,0
30.999,t1_resnet18,190.511,141.958,0,0
31.793,t1_resnet18,135.278,134.324,0,0
32.875,t1_resnet18,143.059,139.012,0,0
34.147,t1_resnet18,142.912,138.216,0,0
34.351,t1_resnet18,178.852,178.391,0,0
34.677,t1_resnet18,134.565,133.493,0,0
34.874,t1_resnet18,134.778,131.161,0,0
36.249,t1_resnet18,139.837,135.279,0,0
37.110,t1_resnet18,141.596,138.052,1,0
37.272,t1_resnet18,185.750,162.357,0,0
37.787,t1_resnet18,144.167,140.056,0,0
38.052,t1_resnet18,149.182,148.610,0,0
38.634,t1_resnet18,133.965,130.627,0,0
40.124,t1_resnet18,137.291,133.514,0,0
40.708,t1_resnet18,143.089,139.032,0,0
41.108,t1_resnet18,171.388,166.758,0,0
41.305,t1_resnet18,140.066,136.564,1,0
41.462,t1_resnet18,167.940,157.292,0,0
42.006,t1_resnet18,156.664,153.964,1,0
42.139,t1_resnet18,134.654,132.625,1,0
42.273,t1_resnet18,230.115,134.626,0,0
43.084,t1_resnet18,136.597,132.505,1,0
43.235,t1_resnet18,262.417,151.328,0,0
43.517,t1_resnet18,136.666,134.871,0,0
44.265,t1_resnet18,164.220,160.671,0,0
45.250,t1_resnet18,139.172,134.732,1,0
45.384,t1_resnet18,243.902,133.538,0,0
46.605,t1_resnet18,144.573,140.786,0,0
47.282,t1_resnet18,159.478,155.181,0,0
47.833,t1_resnet18,138.404,136.112,1,0
47.979,t1_resnet18,167.128,145.704,1,0
48.110,t1_resnet18,195.408,131.606,0,0
48.666,t1_resnet18,137.016,134.897,0,0
49.166,t1_resnet18,133.756,130.443,0,0
49.455,t1_resnet18,136.900,131.980,0,0
49.608,t1_resnet18,135.523,133.480,0,0
49.746,t1_resnet18,133.837,132.735,0,0
50.044,t1_resnet18,147.918,146.435,0,0
50.393,t1_resnet18,135.752,130.850,1,0
50.536,t1_resnet18,225.729,143.226,1,0
50.669,t1_resnet18,179.049,132.882,1,0
50.808,t1_resnet18,230.098,138.655,0,0
51.703,t1_resnet18,168.562,166.198,1,0
51.839,t1_resnet18,203.151,136.270,0,0
52.279,t1_resnet18,156.475,156.148,0,0
52.578,t1_resnet18,141.976,137.221,0,0
53.268,t1_resnet18,133.940,133.281,2,0
53.416,t1_resnet18,202.052,147.689,1,0
53.568,t1_resnet18,316.943,151.694,0,0
54.862,t1_resnet18,153.937,150.266,1,0
55.007,t1_resnet18,220.570,145.247,1,0
55.141,t1_resnet18,260.778,133.935,0,0
57.558,t1_resnet18,147.126,144.878,0,0
57.976,t1_resnet18,143.156,139.577,0,0
58.292,t1_resnet18,152.415,149.384,0,0
58.459,t1_resnet18,136.682,136.255,0,0
58.832,t1_resnet18,136.009,134.855,0,0
58.993,t1_resnet18,143.456,141.115,0,0
59.528,t1_resnet18,165.166,164.337,1,0
59.663,t1_resnet18,217.990,134.822,1,0
59.798,t1_resnet18,159.787,135.722,0,0
60.670,t1_resnet18,132.537,132.185,0,0
60.976,t1_resnet18,149.790,149.203,1,0
61.125,t1_resnet18,290.243,148.932,0,0
62.120,t1_resnet18,141.327,138.320,0,0
62.926,t1_resnet18,135.867,131.603,0,0
63.867,t1_resnet18,132.168,130.547,0,0
64.140,t1_resnet18,131.681,131.382,0,0
64.428,t1_resnet18,142.031,141.168,0,0
64.871,t1_resnet18,156.304,154.664,0,0
65.311,t1_resnet18,158.696,156.749,0,0
65.703,t1_resnet18,150.737,148.695,0,0
65.925,t1_resnet18,164.558,161.287,0,0
66.344,t1_resnet18,135.829,135.069,0,0
66.957,t1_resnet18,140.262,137.121,0,0
67.235,t1_resnet18,133.039,132.258,0,0
67.666,t1_resnet18,135.067,131.717,0,0
67.839,t1_resnet18,137.775,137.742,0,0
68.676,t1_resnet18,138.006,133.805,0,0
69.152,t1_resnet18,181.070,177.310,0,0
69.883,t1_resnet18,132.939,129.936,1,0
70.025,t1_resnet18,162.364,141.428,0,0
70.216,t1_resnet18,157.804,155.194,0,0
70.690,t1_resnet18,147.542,145.161,0,0
71.293,t1_resnet18,140.732,137.709,0,0
71.667,t1_resnet18,152.126,149.046,1,0
71.843,t1_resnet18,258.339,176.438,0,0
71.988,t1_resnet18,137.425,134.645,0,0
73.184,t1_resnet18,137.246,132.867,0,0
73.893,t1_resnet18,138.168,136.862,0,0
74.053,t1_resnet18,138.870,135.381,1,0
74.191,t1_resnet18,248.470,137.318,0,0
74.658,t1_resnet18,134.416,133.753,0,0
75.201,t1_resnet18,137.156,133.529,0,0
75.842,t1_resnet18,135.697,134.748,0,0
76.770,t1_resnet18,168.942,163.917,0,0
76.974,t1_resnet18,147.527,142.614,0,0
77.252,t1_resnet18,139.167,136.337,1,0
77.388,t1_resnet18,212.398,135.832,0,0
78.699,t1_resnet18,144.672,141.262,0,0
78.912,t1_resnet18,141.036,137.698,0,0
80.372,t1_resnet18,156.023,155.192,0,0
80.549,t1_resnet18,136.279,135.822,1,0
80.703,t1_resnet18,203.623,154.106,1,0
