t_s,tenant,latency_ms,service_ms,qdepth,warmup
0.145,t0_mnv2,43.245,38.541,0,1
0.306,t0_mnv2,43.998,39.198,0,1
0.370,t0_mnv2,46.109,43.823,1,1
0.412,t0_mnv2,65.032,42.259,0,1
0.462,t0_mnv2,34.925,34.524,0,1
0.535,t0_mnv2,42.385,37.350,1,1
0.572,t0_mnv2,41.032,36.840,0,1
0.682,t0_mnv2,37.147,34.555,0,1
0.801,t0_mnv2,39.840,37.223,0,1
0.941,t0_mnv2,44.104,39.064,0,1
0.988,t0_mnv2,39.301,37.199,0,1
1.114,t0_mnv2,46.352,45.448,0,1
1.322,t0_mnv2,39.082,35.910,0,1
1.425,t0_mnv2,41.338,36.910,0,1
1.471,t0_mnv2,38.763,35.486,0,1
1.532,t0_mnv2,42.315,40.845,0,1
1.722,t0_mnv2,42.043,39.655,2,1
1.770,t0_mnv2,70.994,47.692,1,1
1.808,t0_mnv2,108.694,38.496,1,1
1.888,t0_mnv2,101.573,79.505,0,1
2.083,t0_mnv2,44.271,43.049,0,1
2.231,t0_mnv2,39.635,36.639,0,1
2.317,t0_mnv2,43.210,40.277,1,1
2.367,t0_mnv2,66.995,49.988,1,1
2.407,t0_mnv2,58.537,39.891,0,1
2.482,t0_mnv2,65.790,64.701,1,1
2.557,t0_mnv2,97.373,75.078,0,1
2.794,t0_mnv2,37.056,34.906,0,1
2.995,t0_mnv2,34.498,34.461,0,1
3.121,t0_mnv2,34.709,34.466,0,1
3.161,t0_mnv2,36.188,35.695,0,1
3.533,t0_mnv2,44.005,43.463,1,1
3.571,t0_mnv2,73.125,37.498,0,1
3.919,t0_mnv2,37.073,34.652,0,1
3.991,t0_mnv2,51.109,46.591,2,1
4.060,t0_mnv2,117.347,68.692,1,1
4.103,t0_mnv2,141.833,43.913,1,1
4.166,t0_mnv2,67.549,62.601,4,1
4.204,t0_mnv2,72.124,37.845,3,1
4.263,t0_mnv2,108.140,58.899,2,1
4.301,t0_mnv2,142.519,37.947,1,1
4.362,t0_mnv2,203.630,61.371,0,1
4.864,t0_mnv2,38.772,36.113,2,1
4.905,t0_mnv2,65.683,40.778,1,1
4.963,t0_mnv2,123.301,58.157,0,1
5.196,t0_mnv2,40.744,36.039,0,1
5.517,t0_mnv2,51.403,47.169,0,1
5.679,t0_mnv2,42.812,41.249,1,1
5.719,t0_mnv2,39.889,39.546,0,1
5.901,t0_mnv2,43.486,40.811,2,1
5.936,t0_mnv2,77.854,34.672,2,1
5.971,t0_mnv2,102.958,34.355,1,1
6.006,t0_mnv2,75.932,35.706,1,1
6.043,t0_mnv2,47.227,36.604,1,1
6.086,t0_mnv2,65.053,43.116,1,1
6.125,t0_mnv2,45.516,38.859,1,1
6.172,t0_mnv2,68.024,46.927,0,1
6.262,t0_mnv2,42.636,39.644,2,1
6.297,t0_mnv2,71.672,34.856,2,1
6.336,t0_mnv2,90.637,38.662,1,1
6.377,t0_mnv2,107.176,41.187,0,1
6.482,t0_mnv2,34.747,34.442,1,1
6.517,t0_mnv2,42.347,34.685,1,1
6.559,t0_mnv2,72.419,42.168,0,1
6.601,t0_mnv2,41.907,37.251,0,1
6.698,t0_mnv2,39.558,36.208,1,1
6.736,t0_mnv2,64.600,37.350,1,1
6.770,t0_mnv2,46.180,34.763,0,1
6.895,t0_mnv2,40.215,38.967,0,1
7.039,t0_mnv2,42.378,37.429,1,1
7.078,t0_mnv2,52.883,38.871,1,1
7.125,t0_mnv2,72.715,47.009,0,1
7.255,t0_mnv2,39.274,34.440,1,1
7.296,t0_mnv2,66.965,40.480,1,1
7.334,t0_mnv2,55.033,37.933,0,1
7.430,t0_mnv2,49.923,45.303,1,1
7.473,t0_mnv2,60.280,43.516,2,1
7.516,t0_mnv2,85.631,42.913,1,1
7.558,t0_mnv2,119.662,41.474,0,1
7.786,t0_mnv2,35.593,35.112,0,1
7.837,t0_mnv2,40.714,36.326,0,1
7.931,t0_mnv2,43.210,38.366,2,1
7.968,t0_mnv2,56.106,37.060,2,1
8.016,t0_mnv2,102.278,47.902,1,1
8.064,t0_mnv2,101.262,48.203,1,1
8.110,t0_mnv2,87.478,45.671,0,1
8.394,t0_mnv2,36.349,36.247,1,1
8.434,t0_mnv2,65.750,39.165,2,1
8.486,t0_mnv2,78.078,52.423,1,1
8.531,t0_mnv2,118.098,44.530,0,1
8.832,t0_mnv2,44.188,43.916,1,1
8.876,t0_mnv2,70.060,43.701,0,1
9.021,t0_mnv2,38.953,38.568,1,1
9.062,t0_mnv2,41.087,40.546,0,1
9.104,t0_mnv2,41.626,36.830,0,1
9.176,t0_mnv2,41.586,37.034,0,1
9.566,t0_mnv2,41.320,40.815,0,1
9.975,t0_mnv2,38.657,35.245,1,1
10.010,t0_mnv2,60.355,34.383,0,1
10.070,t0_mnv2,43.846,39.899,0,1
10.246,t0_mnv2,39.622,34.648,2,1
10.280,t0_mnv2,70.703,34.475,1,1
10.315,t0_mnv2,100.971,34.662,0,1
10.445,t0_mnv2,41.687,38.867,0,1
10.557,t0_mnv2,43.282,40.685,0,1
10.799,t0_mnv2,37.886,34.485,1,1
10.835,t0_mnv2,50.619,36.246,1,1
10.876,t0_mnv2,54.711,41.068,0,1
10.962,t0_mnv2,41.967,40.390,0,1
11.007,t0_mnv2,41.464,39.527,0,1
11.178,t0_mnv2,41.924,39.683,1,1
11.215,t0_mnv2,58.396,36.956,1,1
11.250,t0_mnv2,39.577,34.913,0,1
11.416,t0_mnv2,37.210,34.538,0,1
11.669,t0_mnv2,41.180,40.547,0,1
11.784,t0_mnv2,39.153,34.534,0,1
11.879,t0_mnv2,42.913,38.877,0,1
11.954,t0_mnv2,39.183,34.774,0,1
12.054,t0_mnv2,37.115,34.356,2,1
12.089,t0_mnv2,51.410,34.833,2,1
12.124,t0_mnv2,82.381,34.702,2,1
12.158,t0_mnv2,90.366,34.410,1,1
12.192,t0_mnv2,94.386,34.271,1,1
12.228,t0_mnv2,44.645,35.205,0,1
12.301,t0_mnv2,42.311,37.733,0,1
12.351,t0_mnv2,38.629,35.402,0,1
12.494,t0_mnv2,44.240,41.774,1,1
12.536,t0_mnv2,62.336,41.488,2,1
12.574,t0_mnv2,68.831,38.382,2,1
12.610,t0_mnv2,84.981,35.730,1,1
12.644,t0_mnv2,82.090,34.436,1,1
12.679,t0_mnv2,63.096,34.301,0,1
12.861,t0_mnv2,37.797,35.218,0,1
12.936,t0_mnv2,43.692,39.726,0,1
13.026,t0_mnv2,35.717,34.572,0,1
13.091,t0_mnv2,37.547,34.851,1,1
13.126,t0_mnv2,66.919,34.813,0,1
13.288,t0_mnv2,37.640,35.640,1,1
13.328,t0_mnv2,76.826,39.645,0,1
13.449,t0_mnv2,37.968,35.466,0,1
13.495,t0_mnv2,44.516,40.542,0,1
13.569,t0_mnv2,41.109,38.922,1,1
13.607,t0_mnv2,59.199,37.588,0,1
13.662,t0_mnv2,39.422,34.392,0,1
13.932,t0_mnv2,48.252,47.350,0,1
14.127,t0_mnv2,52.231,47.945,0,1
14.235,t0_mnv2,40.348,37.439,0,1
14.359,t0_mnv2,48.229,48.183,0,1
14.501,t0_mnv2,36.030,35.649,0,1
14.541,t0_mnv2,38.313,34.358,0,1
15.090,t0_mnv2,38.863,38.040,0,1
15.409,t0_mnv2,42.179,40.960,0,1
15.452,t0_mnv2,39.204,37.438,1,1
15.486,t0_mnv2,40.753,34.675,1,1
15.522,t0_mnv2,39.400,35.137,0,1
15.649,t0_mnv2,36.133,35.918,0,1
15.789,t0_mnv2,35.219,34.600,0,1
16.179,t0_mnv2,39.761,35.304,0,1
16.239,t0_mnv2,36.796,35.532,1,1
16.274,t0_mnv2,64.790,34.979,0,1
16.319,t0_mnv2,38.228,34.250,0,1
16.424,t0_mnv2,36.906,34.527,1,1
16.459,t0_mnv2,37.930,34.360,0,1
16.524,t0_mnv2,38.317,35.300,1,1
16.559,t0_mnv2,66.382,34.389,0,1
16.723,t0_mnv2,41.357,37.483,0,1
16.909,t0_mnv2,48.550,44.276,1,1
16.957,t0_mnv2,57.701,48.116,0,1
17.014,t0_mnv2,51.421,51.326,0,1
17.115,t0_mnv2,55.094,50.639,0,1
17.394,t0_mnv2,47.807,45.695,1,1
17.431,t0_mnv2,79.800,36.951,0,1
17.558,t0_mnv2,38.677,35.485,0,1
17.679,t0_mnv2,45.257,40.310,0,1
17.723,t0_mnv2,37.968,34.285,0,1
17.931,t0_mnv2,46.047,41.019,1,1
17.971,t0_mnv2,79.671,39.790,0,1
18.038,t0_mnv2,44.883,41.189,1,1
18.077,t0_mnv2,71.050,39.658,0,1
18.314,t0_mnv2,34.727,34.457,0,1
18.601,t0_mnv2,37.686,34.473,0,1
18.858,t0_mnv2,35.796,34.403,0,1
19.197,t0_mnv2,40.137,35.789,1,1
19.235,t0_mnv2,61.034,37.458,0,1
19.345,t0_mnv2,36.338,34.540,3,1
19.385,t0_mnv2,63.190,39.984,2,1
19.421,t0_mnv2,93.105,35.723,1,1
19.457,t0_mnv2,118.670,35.399,0,1
19.630,t0_mnv2,37.894,37.291,0,1
19.762,t0_mnv2,40.414,36.023,1,1
19.799,t0_mnv2,53.253,36.229,0,1
19.872,t0_mnv2,40.476,37.908,2,1
19.912,t0_mnv2,72.399,39.872,1,1
19.948,t0_mnv2,92.144,35.659,0,1
20.159,t0_mnv2,41.254,39.598,0,0
20.204,t0_mnv2,43.194,40.013,0,0
20.346,t0_mnv2,49.921,45.428,0,0
20.607,t0_mnv2,41.434,38.256,0,0
20.660,t0_mnv2,49.940,47.487,1,0
20.698,t0_mnv2,73.944,38.613,0,0
20.886,t0_mnv2,46.538,45.789,1,0
20.930,t0_mnv2,66.225,44.765,2,0
20.969,t0_mnv2,63.292,38.946,2,0
21.008,t0_mnv2,77.767,38.175,1,0
21.054,t0_mnv2,112.893,45.893,1,0
21.102,t0_mnv2,76.201,48.231,0,0
21.404,t0_mnv2,40.700,39.424,0,0
21.599,t0_mnv2,39.902,37.599,0,0
21.850,t0_mnv2,44.785,43.592,0,0
21.916,t0_mnv2,36.214,35.114,1,0
21.956,t0_mnv2,54.278,40.482,0,0
22.041,t0_mnv2,41.646,39.559,1,0
22.078,t0_mnv2,48.793,36.241,0,0
22.138,t0_mnv2,39.963,39.812,0,0
22.322,t0_mnv2,39.984,37.324,0,0
22.418,t0_mnv2,54.169,51.057,0,0
22.491,t0_mnv2,38.869,37.270,0,0
22.598,t0_mnv2,47.636,45.605,2,0
22.637,t0_mnv2,68.427,39.506,2,0
22.675,t0_mnv2,85.036,38.250,2,0
22.715,t0_mnv2,115.420,39.954,1,0
22.755,t0_mnv2,85.193,39.923,0,0
23.119,t0_mnv2,41.414,40.018,0,0
23.159,t0_mnv2,39.067,35.166,1,0
23.197,t0_mnv2,40.509,37.971,0,0
23.568,t0_mnv2,39.757,37.242,0,0
23.649,t0_mnv2,37.786,34.912,0,0
23.700,t0_mnv2,38.183,35.958,0,0
23.755,t0_mnv2,42.721,39.892,0,0
23.905,t0_mnv2,41.453,38.289,0,0
23.989,t0_mnv2,39.158,38.578,0,0
24.135,t0_mnv2,37.108,34.674,1,0
24.169,t0_mnv2,49.043,34.427,0,0
24.373,t0_mnv2,51.614,46.562,0,0
24.438,t0_mnv2,44.766,40.071,0,0
24.609,t0_mnv2,39.447,34.763,0,0
24.900,t0_mnv2,42.911,42.467,0,0
25.142,t0_mnv2,44.337,40.170,0,0
25.739,t0_mnv2,55.235,50.377,2,0
25.787,t0_mnv2,63.354,48.313,2,0
25.825,t0_mnv2,88.010,38.253,1,0
25.861,t0_mnv2,100.721,35.457,0,0
26.078,t0_mnv2,37.738,35.089,0,0
26.119,t0_mnv2,39.232,35.855,0,0
26.575,t0_mnv2,43.457,41.849,2,0
26.611,t0_mnv2,69.026,35.411,1,0
26.645,t0_mnv2,83.213,34.478,1,0
26.680,t0_mnv2,58.252,34.340,0,0
27.079,t0_mnv2,36.077,35.073,0,0
27.200,t0_mnv2,38.738,34.878,0,0
27.385,t0_mnv2,40.742,38.024,1,0
27.420,t0_mnv2,42.442,35.223,0,0
27.469,t0_mnv2,40.624,38.285,0,0
27.819,t0_mnv2,39.217,36.400,0,0
27.971,t0_mnv2,54.548,51.329,0,0
28.062,t0_mnv2,44.313,39.397,1,0
28.101,t0_mnv2,72.266,39.654,0,0
28.154,t0_mnv2,46.260,42.987,1,0
28.190,t0_mnv2,77.366,36.005,0,0
28.384,t0_mnv2,38.495,36.449,0,0
28.448,t0_mnv2,37.613,34.350,0,0
28.717,t0_mnv2,44.931,40.782,2,0
28.758,t0_mnv2,77.889,41.252,2,0
28.798,t0_mnv2,115.749,40.341,2,0
28.839,t0_mnv2,104.833,40.556,1,0
28.878,t0_mnv2,118.753,39.088,2,0
28.912,t0_mnv2,38.236,34.400,1,0
28.947,t0_mnv2,69.619,34.406,0,0
29.262,t0_mnv2,40.268,37.102,0,0
29.307,t0_mnv2,39.376,34.358,0,0
29.379,t0_mnv2,41.042,37.250,0,0
29.617,t0_mnv2,40.520,35.974,1,0
