t_s,tenant,latency_ms,service_ms,qdepth,warmup
0.189,t2_squeezenet,33.672,31.595,0,1
0.238,t2_squeezenet,37.075,33.693,1,1
0.274,t2_squeezenet,48.244,36.040,0,1
0.342,t2_squeezenet,40.556,37.965,0,1
0.422,t2_squeezenet,36.039,32.941,0,1
0.612,t2_squeezenet,34.440,33.196,0,1
0.901,t2_squeezenet,30.943,30.416,0,1
0.943,t2_squeezenet,33.924,32.688,0,1
1.106,t2_squeezenet,42.296,41.260,0,1
1.247,t2_squeezenet,31.445,29.912,0,1
1.288,t2_squeezenet,35.204,30.869,0,1
1.397,t2_squeezenet,34.444,32.399,0,1
1.496,t2_squeezenet,33.787,33.731,0,1
1.618,t2_squeezenet,40.210,36.700,0,1
1.698,t2_squeezenet,33.831,33.575,1,1
1.752,t2_squeezenet,57.072,54.653,1,1
1.788,t2_squeezenet,57.884,36.109,0,1
1.859,t2_squeezenet,59.804,55.038,0,1
1.896,t2_squeezenet,34.389,32.644,0,1
1.961,t2_squeezenet,55.276,54.683,1,1
1.991,t2_squeezenet,56.215,29.426,2,1
2.070,t2_squeezenet,84.969,78.876,2,1
2.104,t2_squeezenet,116.707,34.276,2,1
2.174,t2_squeezenet,156.542,70.172,3,1
2.249,t2_squeezenet,155.576,74.680,2,1
2.281,t2_squeezenet,131.967,32.271,1,1
2.356,t2_squeezenet,200.603,74.543,1,1
2.393,t2_squeezenet,52.713,37.056,0,1
2.530,t2_squeezenet,32.244,31.343,0,1
2.636,t2_squeezenet,32.182,29.884,0,1
2.837,t2_squeezenet,30.866,29.104,0,1
3.181,t2_squeezenet,31.691,30.020,1,1
3.210,t2_squeezenet,42.810,29.055,0,1
3.542,t2_squeezenet,39.112,39.013,0,1
3.977,t2_squeezenet,43.784,40.045,1,1
4.022,t2_squeezenet,87.329,45.517,1,1
4.085,t2_squeezenet,79.337,62.756,0,1
4.641,t2_squeezenet,38.856,34.931,1,1
4.674,t2_squeezenet,64.711,32.865,2,1
4.705,t2_squeezenet,48.542,30.202,1,1
4.749,t2_squeezenet,78.834,44.424,1,1
4.782,t2_squeezenet,35.531,32.554,0,1
4.933,t2_squeezenet,48.108,44.677,1,1
4.967,t2_squeezenet,50.599,34.445,0,1
5.134,t2_squeezenet,31.224,30.186,0,1
5.206,t2_squeezenet,33.182,31.029,0,1
5.301,t2_squeezenet,32.803,29.265,1,1
5.330,t2_squeezenet,60.547,29.069,1,1
5.359,t2_squeezenet,42.387,29.051,0,1
5.488,t2_squeezenet,42.005,38.741,0,1
5.534,t2_squeezenet,37.570,35.597,1,1
5.565,t2_squeezenet,36.345,30.314,0,1
5.649,t2_squeezenet,37.016,33.830,1,1
5.684,t2_squeezenet,38.423,35.169,1,1
5.717,t2_squeezenet,42.805,32.617,1,1
5.752,t2_squeezenet,60.310,34.645,0,1
5.796,t2_squeezenet,32.685,29.464,0,1
5.899,t2_squeezenet,40.066,36.877,0,1
6.259,t2_squeezenet,40.481,36.170,0,1
6.333,t2_squeezenet,38.400,33.737,0,1
6.575,t2_squeezenet,36.590,34.102,0,1
6.711,t2_squeezenet,36.465,34.640,0,1
6.897,t2_squeezenet,35.583,34.038,0,1
6.961,t2_squeezenet,34.062,29.214,1,1
6.991,t2_squeezenet,36.219,29.422,0,1
7.112,t2_squeezenet,47.293,44.541,0,1
7.294,t2_squeezenet,38.353,35.598,0,1
7.356,t2_squeezenet,34.727,31.936,0,1
7.402,t2_squeezenet,44.454,40.369,0,1
7.497,t2_squeezenet,44.505,44.139,0,1
7.574,t2_squeezenet,35.345,35.258,0,1
7.649,t2_squeezenet,34.636,30.010,1,1
7.679,t2_squeezenet,31.163,29.428,0,1
7.733,t2_squeezenet,31.042,29.062,0,1
7.845,t2_squeezenet,33.629,31.265,0,1
8.007,t2_squeezenet,45.691,44.236,0,1
8.070,t2_squeezenet,46.257,42.901,1,1
8.110,t2_squeezenet,40.983,39.599,0,1
8.199,t2_squeezenet,34.993,33.626,1,1
8.230,t2_squeezenet,63.273,30.949,1,1
8.259,t2_squeezenet,34.986,29.064,0,1
8.309,t2_squeezenet,30.242,29.665,0,1
8.473,t2_squeezenet,50.086,47.178,1,1
8.518,t2_squeezenet,49.420,44.177,0,1
8.638,t2_squeezenet,30.011,29.280,2,1
8.668,t2_squeezenet,58.047,29.673,1,1
8.697,t2_squeezenet,77.174,29.473,0,1
8.769,t2_squeezenet,32.324,31.398,0,1
8.850,t2_squeezenet,49.606,44.730,0,1
8.907,t2_squeezenet,33.490,30.850,0,1
9.022,t2_squeezenet,35.285,34.628,1,1
9.058,t2_squeezenet,65.812,36.263,0,1
9.115,t2_squeezenet,35.128,31.260,1,1
9.147,t2_squeezenet,51.481,31.631,0,1
9.222,t2_squeezenet,29.911,29.741,1,1
9.251,t2_squeezenet,44.824,29.039,0,1
9.590,t2_squeezenet,37.534,35.351,0,1
9.634,t2_squeezenet,32.895,29.299,0,1
9.674,t2_squeezenet,32.470,29.083,0,1
9.753,t2_squeezenet,32.515,29.248,1,1
9.783,t2_squeezenet,51.476,29.103,0,1
9.827,t2_squeezenet,34.160,29.581,0,1
9.872,t2_squeezenet,33.180,29.207,0,1
10.059,t2_squeezenet,38.953,35.994,0,1
10.105,t2_squeezenet,31.770,29.855,0,1
10.447,t2_squeezenet,39.218,34.432,0,1
10.534,t2_squeezenet,40.759,35.715,0,1
10.586,t2_squeezenet,37.201,32.475,2,1
10.618,t2_squeezenet,58.055,31.678,1,1
10.651,t2_squeezenet,84.223,32.770,0,1
10.696,t2_squeezenet,31.334,29.741,0,1
10.745,t2_squeezenet,29.428,29.224,0,1
10.887,t2_squeezenet,35.928,34.904,0,1
11.007,t2_squeezenet,38.221,33.483,0,1
11.046,t2_squeezenet,31.256,29.040,0,1
11.081,t2_squeezenet,31.900,30.020,2,1
11.111,t2_squeezenet,50.242,29.754,1,1
11.143,t2_squeezenet,81.483,31.805,0,1
11.183,t2_squeezenet,37.846,34.887,0,1
11.692,t2_squeezenet,37.971,33.586,0,1
11.877,t2_squeezenet,35.927,33.103,1,1
11.906,t2_squeezenet,37.174,29.083,0,1
12.266,t2_squeezenet,34.822,31.571,0,1
12.308,t2_squeezenet,35.238,31.444,0,1
12.457,t2_squeezenet,33.450,32.416,1,1
12.492,t2_squeezenet,49.067,34.798,1,1
12.527,t2_squeezenet,60.471,35.344,1,1
12.563,t2_squeezenet,70.122,36.198,0,1
