step,t_s,T_c,T_pred_c,freq_mhz,util_pct,solver_ms,mode,agg_duty,duty0,duty1,duty2
0,0.00,52.90,54.00,2400,0.0,1067.47,convex,1.8013,0.5974,0.6028,0.6012
1,1.07,53.45,54.13,2400,54.2,14.97,convex,1.8288,0.6065,0.6119,0.6103
2,2.07,53.45,54.25,2400,32.8,33.21,convex,1.8563,0.6157,0.6211,0.6195
3,3.07,52.90,54.50,2400,23.9,15.36,convex,1.9113,0.6341,0.6394,0.6378
4,4.07,52.90,54.76,2400,23.4,24.18,convex,1.9663,0.6524,0.6578,0.6562
5,5.07,52.90,55.01,2400,17.1,17.04,convex,2.0213,0.6707,0.6761,0.6745
6,6.07,54.00,55.01,2400,29.0,20.29,convex,2.0213,0.6707,0.6761,0.6745
7,7.07,51.80,55.51,2400,13.1,15.09,convex,2.1313,0.7074,0.7128,0.7112
8,8.07,51.80,56.02,2400,16.8,17.46,convex,2.2413,0.7440,0.7494,0.7479
9,9.07,51.25,56.64,2400,10.8,16.66,convex,2.3788,0.7951,0.7927,0.7910
10,10.07,51.80,57.15,2400,15.7,18.48,convex,2.4888,0.8317,0.8294,0.8277
11,11.07,52.90,57.40,2400,32.1,59.44,convex,2.5438,0.8500,0.8478,0.8460
12,12.07,52.35,57.78,2400,21.6,15.16,convex,2.6263,0.8750,0.8765,0.8748
13,13.07,52.90,58.03,2400,27.3,22.09,convex,2.6813,0.8878,0.8976,0.8959
14,14.07,51.80,58.53,2400,34.8,16.62,convex,2.7913,0.9246,0.9341,0.9325
15,15.07,52.90,58.79,2400,17.7,34.42,convex,2.8463,0.9428,0.9526,0.9510
16,16.07,51.80,59.29,2400,29.2,15.02,convex,2.9563,0.9795,0.9892,0.9876
17,17.07,51.80,59.49,2400,17.9,15.80,convex,3.0000,1.0000,1.0000,1.0000
18,18.07,52.90,59.49,2400,34.6,15.97,convex,3.0000,1.0000,1.0000,1.0000
19,19.07,51.80,59.49,2400,28.0,17.19,convex,3.0000,1.0000,1.0000,1.0000
20,20.07,51.80,59.49,2400,20.7,15.88,convex,3.0000,1.0000,1.0000,1.0000
21,21.07,52.90,59.49,2400,20.5,17.64,convex,3.0000,1.0000,1.0000,1.0000
22,22.07,52.35,59.49,2400,28.0,17.73,convex,3.0000,1.0000,1.0000,1.0000
23,23.07,52.35,59.49,2400,36.3,18.10,convex,3.0000,1.0000,1.0000,1.0000
24,24.07,52.90,59.49,2400,23.2,19.03,convex,3.0000,1.0000,1.0000,1.0000
25,25.07,53.45,59.49,2400,23.9,54.33,convex,3.0000,1.0000,1.0000,1.0000
26,26.07,52.35,59.49,2400,30.5,17.80,convex,3.0000,1.0000,1.0000,1.0000
27,27.07,52.90,59.49,2400,27.0,17.25,convex,3.0000,1.0000,1.0000,1.0000
28,28.07,52.90,59.49,2400,30.5,15.26,convex,3.0000,1.0000,1.0000,1.0000
29,29.07,52.35,59.49,2400,27.2,17.32,convex,3.0000,1.0000,1.0000,1.0000
30,30.07,53.45,59.49,2400,40.2,18.52,convex,3.0000,1.0000,1.0000,1.0000
31,31.07,51.80,59.49,2400,20.4,33.49,convex,3.0000,1.0000,1.0000,1.0000
32,32.07,52.35,59.49,2400,34.6,15.63,convex,3.0000,1.0000,1.0000,1.0000
33,33.07,54.00,59.49,2400,29.2,26.73,convex,3.0000,1.0000,1.0000,1.0000
34,34.07,51.80,59.49,2400,27.8,19.16,convex,3.0000,1.0000,1.0000,1.0000
35,35.07,50.70,59.49,2400,11.3,17.17,convex,3.0000,1.0000,1.0000,1.0000
36,36.07,52.35,59.49,2400,24.6,16.48,convex,3.0000,1.0000,1.0000,1.0000
37,37.07,51.80,59.49,2400,26.6,18.47,convex,3.0000,1.0000,1.0000,1.0000
38,38.07,51.80,59.49,2400,19.9,14.89,convex,3.0000,1.0000,1.0000,1.0000
39,39.07,51.25,59.49,2400,18.1,16.62,convex,3.0000,1.0000,1.0000,1.0000
40,40.07,52.90,59.49,2400,33.3,34.15,convex,3.0000,1.0000,1.0000,1.0000
41,41.07,53.45,59.49,2400,34.4,17.13,convex,3.0000,1.0000,1.0000,1.0000
42,42.08,51.80,59.49,2400,26.2,15.91,convex,3.0000,1.0000,1.0000,1.0000
43,43.08,51.80,59.49,2400,23.1,16.92,convex,3.0000,1.0000,1.0000,1.0000
44,44.08,52.35,59.49,2400,24.7,16.75,convex,3.0000,1.0000,1.0000,1.0000
45,45.08,51.80,59.49,2400,18.2,17.03,convex,3.0000,1.0000,1.0000,1.0000
46,46.08,52.90,59.49,2400,30.1,15.57,convex,3.0000,1.0000,1.0000,1.0000
47,47.08,52.90,59.49,2400,30.0,15.23,convex,3.0000,1.0000,1.0000,1.0000
48,48.08,51.25,59.49,2400,18.1,20.79,convex,3.0000,1.0000,1.0000,1.0000
49,49.08,51.25,59.49,2400,27.5,29.19,convex,3.0000,1.0000,1.0000,1.0000
50,50.08,52.35,59.49,2400,29.6,17.66,convex,3.0000,1.0000,1.0000,1.0000
51,51.08,52.90,59.49,2400,28.5,15.01,convex,3.0000,1.0000,1.0000,1.0000
52,52.08,52.35,59.49,2400,19.1,18.43,convex,3.0000,1.0000,1.0000,1.0000
53,53.08,51.25,59.49,2400,25.1,23.91,convex,3.0000,1.0000,1.0000,1.0000
54,54.08,51.80,59.49,2400,27.6,16.40,convex,3.0000,1.0000,1.0000,1.0000
55,55.08,50.70,59.49,2400,21.5,17.01,convex,3.0000,1.0000,1.0000,1.0000
56,56.08,51.25,59.49,2400,13.6,14.96,convex,3.0000,1.0000,1.0000,1.0000
57,57.08,52.35,59.49,2400,29.8,22.02,convex,3.0000,1.0000,1.0000,1.0000
58,58.08,51.25,59.49,2400,31.2,27.01,convex,3.0000,1.0000,1.0000,1.0000
59,59.08,52.35,59.49,2400,37.4,23.92,convex,3.0000,1.0000,1.0000,1.0000
60,60.08,51.80,59.49,2400,32.2,24.16,convex,3.0000,1.0000,1.0000,1.0000
61,61.08,51.80,59.49,2400,21.9,16.51,convex,3.0000,1.0000,1.0000,1.0000
62,62.08,50.70,59.49,2400,11.8,15.05,convex,3.0000,1.0000,1.0000,1.0000
63,63.08,52.90,59.49,2400,23.3,26.30,convex,3.0000,1.0000,1.0000,1.0000
64,64.08,52.35,59.49,2400,32.4,20.16,convex,3.0000,1.0000,1.0000,1.0000
65,65.08,52.90,59.49,2400,28.6,20.70,convex,3.0000,1.0000,1.0000,1.0000
66,66.08,51.80,59.49,2400,20.4,14.96,convex,3.0000,1.0000,1.0000,1.0000
67,67.08,50.15,59.49,2400,21.9,17.31,convex,3.0000,1.0000,1.0000,1.0000
68,68.08,52.35,59.49,2400,24.0,16.41,convex,3.0000,1.0000,1.0000,1.0000
69,69.08,52.35,59.49,2400,31.8,19.22,convex,3.0000,1.0000,1.0000,1.0000
70,70.08,52.35,59.49,2400,25.4,21.39,convex,3.0000,1.0000,1.0000,1.0000
71,71.08,51.80,59.49,2400,35.9,22.47,convex,3.0000,1.0000,1.0000,1.0000
72,72.08,51.25,59.49,2400,16.5,15.15,convex,3.0000,1.0000,1.0000,1.0000
73,73.08,51.80,59.49,2400,27.8,16.87,convex,3.0000,1.0000,1.0000,1.0000
74,74.08,51.80,59.49,2400,17.0,15.06,convex,3.0000,1.0000,1.0000,1.0000
75,75.08,50.70,59.49,2400,19.7,16.52,convex,3.0000,1.0000,1.0000,1.0000
76,76.08,51.80,59.49,2400,29.5,45.28,convex,3.0000,1.0000,1.0000,1.0000
77,77.08,51.25,59.49,2400,21.5,15.07,convex,3.0000,1.0000,1.0000,1.0000
78,78.08,50.70,59.49,2400,24.1,18.93,convex,3.0000,1.0000,1.0000,1.0000
79,79.08,51.25,59.49,2400,16.7,25.69,convex,3.0000,1.0000,1.0000,1.0000
80,80.08,52.90,59.49,2400,40.7,17.64,convex,3.0000,1.0000,1.0000,1.0000
81,81.08,51.25,59.49,2400,15.5,17.00,convex,3.0000,1.0000,1.0000,1.0000
82,82.08,51.80,59.49,2400,22.1,18.33,convex,3.0000,1.0000,1.0000,1.0000
83,83.08,52.35,59.49,2400,27.9,34.18,convex,3.0000,1.0000,1.0000,1.0000
84,84.08,50.70,59.49,2400,20.7,15.04,convex,3.0000,1.0000,1.0000,1.0000
85,85.08,52.90,59.49,2400,43.5,25.68,convex,3.0000,1.0000,1.0000,1.0000
86,86.08,51.25,59.49,2400,23.7,15.22,convex,3.0000,1.0000,1.0000,1.0000
87,87.08,52.90,59.49,2400,32.8,25.85,convex,3.0000,1.0000,1.0000,1.0000
88,88.08,50.70,59.49,2400,19.7,20.04,convex,3.0000,1.0000,1.0000,1.0000
89,89.08,51.25,59.49,2400,20.9,14.97,convex,3.0000,1.0000,1.0000,1.0000
90,90.08,52.90,59.49,2400,30.2,16.24,convex,3.0000,1.0000,1.0000,1.0000
91,91.08,50.70,59.49,2400,22.9,15.51,convex,3.0000,1.0000,1.0000,1.0000
92,92.08,51.25,59.49,2400,17.6,15.86,convex,3.0000,1.0000,1.0000,1.0000
93,93.08,50.70,59.49,2400,24.8,17.04,convex,3.0000,1.0000,1.0000,1.0000
94,94.08,50.70,59.49,2400,24.7,18.55,convex,3.0000,1.0000,1.0000,1.0000
95,95.08,51.25,59.49,2400,29.7,56.86,convex,3.0000,1.0000,1.0000,1.0000
96,96.08,51.80,59.49,2400,29.3,19.72,convex,3.0000,1.0000,1.0000,1.0000
97,97.08,50.70,59.49,2400,21.1,17.82,convex,3.0000,1.0000,1.0000,1.0000
98,98.08,51.25,59.49,2400,24.7,14.99,convex,3.0000,1.0000,1.0000,1.0000
99,99.08,50.70,59.49,2400,19.1,20.15,convex,3.0000,1.0000,1.0000,1.0000
100,100.08,51.25,59.49,2400,22.2,20.69,convex,3.0000,1.0000,1.0000,1.0000
101,101.08,51.25,59.49,2400,29.5,18.05,convex,3.0000,1.0000,1.0000,1.0000
102,102.08,51.80,59.49,2400,30.8,22.97,convex,3.0000,1.0000,1.0000,1.0000
103,103.08,50.70,59.49,2400,30.5,22.77,convex,3.0000,1.0000,1.0000,1.0000
104,104.08,51.80,59.49,2400,41.1,24.70,convex,3.0000,1.0000,1.0000,1.0000
105,105.08,51.80,59.49,2400,32.9,29.65,convex,3.0000,1.0000,1.0000,1.0000
106,106.08,51.25,59.49,2400,29.6,15.58,convex,3.0000,1.0000,1.0000,1.0000
107,107.08,50.70,59.49,2400,18.3,18.83,convex,3.0000,1.0000,1.0000,1.0000
108,108.08,50.70,59.49,2400,15.8,18.88,convex,3.0000,1.0000,1.0000,1.0000
109,109.08,49.60,59.49,2400,14.5,17.94,convex,3.0000,1.0000,1.0000,1.0000
110,110.08,50.70,59.49,2400,25.4,15.77,convex,3.0000,1.0000,1.0000,1.0000
111,111.08,52.90,59.49,2400,45.2,16.53,convex,3.0000,1.0000,1.0000,1.0000
112,112.08,51.80,59.49,2400,32.2,17.30,convex,3.0000,1.0000,1.0000,1.0000
113,113.08,51.25,59.49,2400,23.2,20.45,convex,3.0000,1.0000,1.0000,1.0000
114,114.08,50.70,59.49,2400,19.5,15.53,convex,3.0000,1.0000,1.0000,1.0000
115,115.08,51.25,59.49,2400,16.7,50.38,convex,3.0000,1.0000,1.0000,1.0000
116,116.08,51.25,59.49,2400,40.1,19.60,convex,3.0000,1.0000,1.0000,1.0000
117,117.08,51.80,59.49,2400,24.5,18.81,convex,3.0000,1.0000,1.0000,1.0000
118,118.08,50.70,59.49,2400,20.9,17.58,convex,3.0000,1.0000,1.0000,1.0000
119,119.08,52.90,59.49,2400,50.1,65.22,convex,3.0000,1.0000,1.0000,1.0000
120,120.08,51.80,59.49,2400,35.9,19.35,convex,3.0000,1.0000,1.0000,1.0000
121,121.08,50.70,59.49,2400,24.6,17.59,convex,3.0000,1.0000,1.0000,1.0000
122,122.08,50.70,59.49,2400,24.8,15.01,convex,3.0000,1.0000,1.0000,1.0000
123,123.08,50.70,59.49,2400,22.7,18.47,convex,3.0000,1.0000,1.0000,1.0000
124,124.08,50.70,59.49,2400,22.4,16.71,convex,3.0000,1.0000,1.0000,1.0000
125,125.08,51.25,59.49,2400,22.9,17.01,convex,3.0000,1.0000,1.0000,1.0000
126,126.08,51.25,59.49,2400,29.4,19.84,convex,3.0000,1.0000,1.0000,1.0000
127,127.08,51.25,59.49,2400,35.3,26.23,convex,3.0000,1.0000,1.0000,1.0000
128,128.08,50.70,59.49,2400,24.6,18.19,convex,3.0000,1.0000,1.0000,1.0000
129,129.08,50.70,59.49,2400,18.3,18.29,convex,3.0000,1.0000,1.0000,1.0000
130,130.08,50.15,59.49,2400,14.1,17.60,convex,3.0000,1.0000,1.0000,1.0000
131,131.08,49.60,59.49,2400,34.0,26.45,convex,3.0000,1.0000,1.0000,1.0000
132,132.08,50.70,59.49,2400,29.8,30.49,convex,3.0000,1.0000,1.0000,1.0000
133,133.08,51.25,59.49,2400,28.6,15.34,convex,3.0000,1.0000,1.0000,1.0000
134,134.08,51.25,59.49,2400,24.0,17.19,convex,3.0000,1.0000,1.0000,1.0000
135,135.08,50.70,59.49,2400,20.9,17.00,convex,3.0000,1.0000,1.0000,1.0000
136,136.08,51.80,59.49,2400,27.0,16.74,convex,3.0000,1.0000,1.0000,1.0000
137,137.08,50.70,59.49,2400,19.4,22.08,convex,3.0000,1.0000,1.0000,1.0000
138,138.08,50.70,59.49,2400,29.1,17.04,convex,3.0000,1.0000,1.0000,1.0000
139,139.08,51.80,59.49,2400,60.9,27.95,convex,3.0000,1.0000,1.0000,1.0000
140,140.08,50.70,59.49,2400,22.1,15.06,convex,3.0000,1.0000,1.0000,1.0000
141,141.09,51.80,59.49,2400,29.1,17.91,convex,3.0000,1.0000,1.0000,1.0000
142,142.09,51.80,59.49,2400,26.0,17.68,convex,3.0000,1.0000,1.0000,1.0000
143,143.09,51.25,59.49,2400,27.6,23.65,convex,3.0000,1.0000,1.0000,1.0000
144,144.09,50.70,59.49,2400,20.7,14.97,convex,3.0000,1.0000,1.0000,1.0000
145,145.09,50.70,59.49,2400,27.8,48.09,convex,3.0000,1.0000,1.0000,1.0000
146,146.09,50.70,59.49,2400,28.3,15.16,convex,3.0000,1.0000,1.0000,1.0000
147,147.09,51.80,59.49,2400,36.8,32.34,convex,3.0000,1.0000,1.0000,1.0000
148,148.09,52.35,59.49,2400,40.6,22.59,convex,3.0000,1.0000,1.0000,1.0000
149,149.09,50.15,59.49,2400,23.1,19.76,convex,3.0000,1.0000,1.0000,1.0000
150,150.09,50.70,59.49,2400,19.4,15.13,convex,3.0000,1.0000,1.0000,1.0000
151,151.09,51.25,59.49,2400,24.9,15.10,convex,3.0000,1.0000,1.0000,1.0000
152,152.09,51.80,59.49,2400,26.7,57.26,convex,3.0000,1.0000,1.0000,1.0000
153,153.09,50.15,59.49,2400,29.9,26.83,convex,3.0000,1.0000,1.0000,1.0000
154,154.09,51.25,59.49,2400,25.7,16.75,convex,3.0000,1.0000,1.0000,1.0000
155,155.09,51.80,59.49,2400,26.1,29.79,convex,3.0000,1.0000,1.0000,1.0000
