t_s,tenant,latency_ms,service_ms,qdepth,warmup
0.125,t0_mnv2,37.721,36.407,0,1
0.306,t0_mnv2,42.994,39.986,1,1
0.355,t0_mnv2,73.066,48.833,1,1
0.397,t0_mnv2,80.172,41.568,0,1
0.577,t0_mnv2,53.564,48.682,0,1
0.669,t0_mnv2,36.440,34.686,0,1
0.810,t0_mnv2,38.877,34.909,0,1
0.996,t0_mnv2,37.238,34.701,1,1
1.031,t0_mnv2,39.889,34.322,0,1
1.086,t0_mnv2,39.296,34.824,0,1
1.130,t0_mnv2,39.175,38.823,2,1
1.164,t0_mnv2,49.077,34.652,1,1
1.204,t0_mnv2,78.671,39.140,0,1
1.248,t0_mnv2,37.140,34.564,0,1
1.324,t0_mnv2,38.482,35.456,0,1
1.394,t0_mnv2,37.300,34.483,0,1
1.466,t0_mnv2,38.479,36.779,1,1
1.501,t0_mnv2,61.913,34.354,0,1
1.690,t0_mnv2,47.762,45.656,0,1
1.745,t0_mnv2,50.338,49.808,1,1
1.788,t0_mnv2,88.502,43.250,1,1
1.834,t0_mnv2,76.464,45.484,0,1
2.051,t0_mnv2,60.318,58.621,0,1
2.108,t0_mnv2,42.928,41.975,0,1
2.272,t0_mnv2,57.631,52.578,1,1
2.317,t0_mnv2,59.726,45.050,0,1
2.473,t0_mnv2,39.650,39.618,1,1
2.528,t0_mnv2,91.722,54.841,0,1
2.580,t0_mnv2,48.909,47.388,0,1
2.642,t0_mnv2,47.611,46.270,0,1
2.752,t0_mnv2,63.302,59.370,1,1
2.812,t0_mnv2,89.370,60.357,0,1
2.936,t0_mnv2,54.296,52.660,0,1
3.159,t0_mnv2,43.081,40.795,0,1
3.283,t0_mnv2,37.841,37.712,0,1
3.492,t0_mnv2,42.170,37.716,0,1
3.562,t0_mnv2,50.907,49.532,1,1
3.597,t0_mnv2,43.742,34.354,0,1
3.735,t0_mnv2,38.666,36.769,0,1
3.839,t0_mnv2,41.807,36.828,0,1
3.976,t0_mnv2,41.888,40.131,1,1
4.017,t0_mnv2,59.146,41.350,0,1
4.138,t0_mnv2,47.845,45.050,0,1
4.228,t0_mnv2,36.962,34.405,0,1
4.392,t0_mnv2,39.407,37.545,1,1
4.457,t0_mnv2,92.302,64.620,0,1
4.736,t0_mnv2,49.009,46.056,0,1
4.831,t0_mnv2,50.597,49.530,2,1
4.866,t0_mnv2,64.077,35.192,1,1
4.907,t0_mnv2,88.248,40.967,0,1
4.974,t0_mnv2,42.014,40.879,0,1
5.313,t0_mnv2,39.865,38.260,0,1
5.633,t0_mnv2,49.732,45.999,0,1
5.743,t0_mnv2,42.023,38.940,0,1
5.865,t0_mnv2,42.553,40.843,0,1
6.057,t0_mnv2,40.000,39.244,0,1
6.140,t0_mnv2,46.507,44.553,0,1
6.220,t0_mnv2,47.697,44.257,0,1
6.294,t0_mnv2,42.380,38.139,0,1
6.351,t0_mnv2,39.007,37.478,0,1
6.457,t0_mnv2,48.126,43.828,0,1
6.531,t0_mnv2,48.218,43.635,0,1
6.727,t0_mnv2,39.488,39.061,1,1
6.762,t0_mnv2,71.943,35.408,1,1
6.802,t0_mnv2,59.660,39.625,0,1
6.861,t0_mnv2,47.608,44.330,1,1
6.911,t0_mnv2,63.724,49.535,1,1
6.963,t0_mnv2,63.071,51.933,0,1
7.127,t0_mnv2,39.147,37.484,0,1
7.218,t0_mnv2,39.907,35.222,1,1
7.253,t0_mnv2,50.042,34.583,0,1
7.303,t0_mnv2,37.860,34.793,0,1
7.439,t0_mnv2,40.019,34.973,0,1
7.555,t0_mnv2,35.315,35.056,0,1
7.971,t0_mnv2,40.402,36.309,0,1
8.020,t0_mnv2,35.325,34.310,1,1
8.057,t0_mnv2,63.493,36.570,0,1
8.110,t0_mnv2,39.290,37.576,0,1
8.191,t0_mnv2,44.496,41.299,0,1
8.455,t0_mnv2,55.626,51.162,1,1
8.496,t0_mnv2,85.958,41.237,0,1
8.568,t0_mnv2,38.256,36.011,0,1
8.859,t0_mnv2,41.841,39.044,0,1
8.899,t0_mnv2,39.166,34.461,1,1
8.934,t0_mnv2,39.425,34.578,0,1
9.072,t0_mnv2,46.121,42.671,0,1
9.244,t0_mnv2,35.677,34.647,1,1
9.278,t0_mnv2,60.946,34.690,0,1
9.480,t0_mnv2,37.469,34.419,0,1
9.779,t0_mnv2,44.596,41.287,0,1
9.869,t0_mnv2,37.629,34.455,0,1
10.166,t0_mnv2,39.779,39.178,0,1
10.463,t0_mnv2,43.782,39.059,1,1
10.500,t0_mnv2,42.643,37.315,0,1
10.641,t0_mnv2,36.629,34.402,0,1
10.767,t0_mnv2,38.822,34.649,0,1
10.917,t0_mnv2,46.556,43.381,0,1
11.041,t0_mnv2,39.456,37.696,0,1
11.092,t0_mnv2,46.582,41.765,0,1
11.170,t0_mnv2,39.810,37.308,0,1
11.344,t0_mnv2,41.378,36.931,0,1
11.397,t0_mnv2,43.269,38.520,0,1
11.442,t0_mnv2,42.638,39.024,0,1
11.521,t0_mnv2,42.134,39.145,0,1
11.575,t0_mnv2,52.113,48.611,1,1
11.614,t0_mnv2,56.040,39.394,0,1
11.876,t0_mnv2,42.785,39.239,0,1
11.994,t0_mnv2,39.007,37.188,0,1
12.202,t0_mnv2,35.845,35.331,0,1
12.350,t0_mnv2,38.218,36.912,0,1
12.405,t0_mnv2,44.094,40.432,0,1
12.547,t0_mnv2,39.450,35.143,0,1
12.663,t0_mnv2,38.632,35.118,0,1
12.996,t0_mnv2,36.778,34.641,0,1
13.049,t0_mnv2,41.082,37.607,0,1
13.130,t0_mnv2,48.860,45.472,1,1
13.171,t0_mnv2,89.023,40.995,0,1
13.439,t0_mnv2,43.078,40.816,0,1
13.501,t0_mnv2,37.679,36.157,0,1
13.605,t0_mnv2,41.032,38.293,0,1
13.756,t0_mnv2,44.424,39.860,1,1
13.797,t0_mnv2,78.091,40.494,0,1
14.075,t0_mnv2,42.583,40.364,0,1
14.253,t0_mnv2,40.596,36.384,0,1
14.456,t0_mnv2,42.757,40.913,0,1
14.546,t0_mnv2,48.266,44.589,0,1
14.627,t0_mnv2,48.265,45.450,1,1
14.666,t0_mnv2,83.699,38.672,0,1
14.742,t0_mnv2,51.317,50.722,0,1
14.825,t0_mnv2,46.519,42.418,0,1
15.003,t0_mnv2,43.742,41.721,0,1
15.223,t0_mnv2,44.662,43.172,0,1
15.423,t0_mnv2,40.278,37.470,0,1
15.567,t0_mnv2,43.220,38.443,0,1
15.668,t0_mnv2,35.320,34.516,0,1
15.773,t0_mnv2,34.944,34.544,0,1
