t_s,tenant,latency_ms,service_ms,qdepth,warmup
1.590,t1_resnet18,176.887,173.558,0,1
1.763,t1_resnet18,161.849,157.796,0,1
2.143,t1_resnet18,192.447,187.415,1,1
2.334,t1_resnet18,211.683,190.786,1,1
2.488,t1_resnet18,266.090,154.216,1,1
2.620,t1_resnet18,247.972,132.024,1,1
2.809,t1_resnet18,213.003,189.081,0,1
3.013,t1_resnet18,199.170,194.247,0,1
3.428,t1_resnet18,156.812,156.510,0,1
3.688,t1_resnet18,151.841,147.616,0,1
4.006,t1_resnet18,163.837,161.063,2,1
4.193,t1_resnet18,291.610,187.543,1,1
4.408,t1_resnet18,504.044,214.347,0,1
4.906,t1_resnet18,152.117,148.437,2,1
5.080,t1_resnet18,272.997,173.750,2,1
5.245,t1_resnet18,415.975,165.203,1,1
5.424,t1_resnet18,512.635,179.397,1,1
5.597,t1_resnet18,201.602,172.299,1,1
5.747,t1_resnet18,207.380,150.938,1,1
5.907,t1_resnet18,173.921,159.930,2,1
6.085,t1_resnet18,283.854,177.527,1,1
6.232,t1_resnet18,365.521,147.094,0,1
6.426,t1_resnet18,176.415,173.773,0,1
6.614,t1_resnet18,139.254,137.087,0,1
7.985,t1_resnet18,163.066,159.629,0,1
8.952,t1_resnet18,135.171,131.600,0,1
9.645,t1_resnet18,140.732,137.501,0,1
9.973,t1_resnet18,138.696,135.103,1,1
10.105,t1_resnet18,270.264,132.436,0,1
10.471,t1_resnet18,148.166,143.154,1,1
10.614,t1_resnet18,227.770,142.226,1,1
10.747,t1_resnet18,172.801,133.590,0,1
10.916,t1_resnet18,143.019,138.878,1,1
11.068,t1_resnet18,178.089,151.417,0,1
11.408,t1_resnet18,142.160,137.413,0,1
13.169,t1_resnet18,140.880,136.925,0,1
13.405,t1_resnet18,138.953,134.050,0,1
13.901,t1_resnet18,135.338,135.153,0,1
14.167,t1_resnet18,155.428,155.043,1,1
14.325,t1_resnet18,251.934,157.249,0,1
14.467,t1_resnet18,136.214,132.386,0,1
14.696,t1_resnet18,141.721,137.399,0,1
15.630,t1_resnet18,146.040,144.227,0,1
15.896,t1_resnet18,181.212,179.873,0,1
16.540,t1_resnet18,135.415,133.266,1,1
16.677,t1_resnet18,260.363,137.532,0,1
17.101,t1_resnet18,133.004,129.621,0,1
17.505,t1_resnet18,167.494,166.488,0,1
17.678,t1_resnet18,137.302,132.397,0,1
18.082,t1_resnet18,138.690,135.898,1,1
18.221,t1_resnet18,231.656,139.010,0,1
18.806,t1_resnet18,140.248,138.949,1,1
18.940,t1_resnet18,174.371,134.070,0,1
20.152,t1_resnet18,142.304,138.146,1,0
20.283,t1_resnet18,141.572,131.276,0,0
21.034,t1_resnet18,134.288,134.026,0,0
21.312,t1_resnet18,135.995,135.941,1,0
21.447,t1_resnet18,230.569,135.486,1,0
21.591,t1_resnet18,204.892,143.332,0,0
21.803,t1_resnet18,144.670,141.276,0,0
22.000,t1_resnet18,145.681,141.763,1,0
22.164,t1_resnet18,290.405,163.925,1,0
22.315,t1_resnet18,263.759,150.718,1,0
22.463,t1_resnet18,264.896,148.098,0,0
22.819,t1_resnet18,165.233,163.270,0,0
23.509,t1_resnet18,147.430,144.187,1,0
23.670,t1_resnet18,266.909,160.833,0,0
24.107,t1_resnet18,141.544,137.156,0,0
24.885,t1_resnet18,148.495,145.194,0,0
25.520,t1_resnet18,142.022,138.713,1,0
25.671,t1_resnet18,229.445,151.422,0,0
26.760,t1_resnet18,134.774,131.766,1,0
26.919,t1_resnet18,220.956,158.428,0,0
27.583,t1_resnet18,151.940,148.039,0,0
28.348,t1_resnet18,147.063,146.774,0,0
28.842,t1_resnet18,135.427,134.557,1,0
