t_s,tenant,latency_ms,service_ms,qdepth,warmup
0.191,t2_squeezenet,35.460,33.279,0,1
0.238,t2_squeezenet,36.849,36.733,1,1
0.277,t2_squeezenet,51.254,39.282,0,1
0.359,t2_squeezenet,56.868,51.857,0,1
0.425,t2_squeezenet,38.812,35.548,0,1
0.613,t2_squeezenet,34.829,30.756,0,1
0.904,t2_squeezenet,33.549,32.916,0,1
0.957,t2_squeezenet,46.381,42.520,0,1
1.098,t2_squeezenet,33.676,30.210,0,1
1.250,t2_squeezenet,33.637,30.645,0,1
1.288,t2_squeezenet,34.406,32.947,0,1
1.396,t2_squeezenet,33.087,32.196,0,1
1.502,t2_squeezenet,38.414,34.681,0,1
1.617,t2_squeezenet,37.097,36.577,0,1
1.708,t2_squeezenet,43.034,40.841,1,1
1.750,t2_squeezenet,53.208,41.706,1,1
1.793,t2_squeezenet,61.269,43.391,0,1
1.840,t2_squeezenet,40.013,36.869,0,1
1.907,t2_squeezenet,43.458,39.359,0,1
1.947,t2_squeezenet,36.310,34.830,1,1
1.981,t2_squeezenet,41.945,34.143,0,1
2.049,t2_squeezenet,59.985,58.024,2,1
2.090,t2_squeezenet,98.363,40.954,1,1
2.130,t2_squeezenet,107.702,39.803,1,1
2.167,t2_squeezenet,68.585,36.651,2,1
2.204,t2_squeezenet,49.711,37.081,1,1
2.235,t2_squeezenet,74.394,30.723,0,1
2.379,t2_squeezenet,33.844,32.984,0,1
2.537,t2_squeezenet,33.407,31.063,0,1
2.643,t2_squeezenet,34.294,30.828,0,1
2.845,t2_squeezenet,33.548,29.469,0,1
3.188,t2_squeezenet,33.824,29.434,1,1
3.217,t2_squeezenet,45.083,29.196,0,1
3.545,t2_squeezenet,36.822,34.479,0,1
3.982,t2_squeezenet,43.832,42.439,1,1
4.049,t2_squeezenet,109.302,67.473,1,1
4.092,t2_squeezenet,81.189,42.655,0,1
4.642,t2_squeezenet,34.162,31.946,1,1
4.674,t2_squeezenet,58.683,31.496,1,1
4.705,t2_squeezenet,43.946,31.592,1,1
4.754,t2_squeezenet,78.228,48.401,1,1
4.789,t2_squeezenet,38.025,35.728,0,1
4.929,t2_squeezenet,38.714,37.832,1,1
4.962,t2_squeezenet,39.838,33.053,0,1
5.140,t2_squeezenet,32.434,32.012,0,1
5.211,t2_squeezenet,33.320,29.878,0,1
5.307,t2_squeezenet,33.780,30.084,1,1
5.336,t2_squeezenet,62.145,29.686,1,1
5.366,t2_squeezenet,44.151,29.209,0,1
5.491,t2_squeezenet,39.792,39.645,0,1
5.541,t2_squeezenet,38.665,33.906,1,1
5.571,t2_squeezenet,37.675,30.553,0,1
5.655,t2_squeezenet,38.078,33.444,1,1
5.692,t2_squeezenet,41.300,36.990,1,1
5.722,t2_squeezenet,43.297,30.235,1,1
5.761,t2_squeezenet,64.983,38.718,0,1
5.802,t2_squeezenet,31.595,30.748,0,1
5.903,t2_squeezenet,36.959,35.584,0,1
6.263,t2_squeezenet,36.960,35.598,0,1
6.341,t2_squeezenet,38.033,36.922,0,1
6.583,t2_squeezenet,36.785,34.603,0,1
6.721,t2_squeezenet,38.760,36.741,0,1
6.902,t2_squeezenet,33.070,29.201,0,1
6.968,t2_squeezenet,33.580,31.226,1,1
7.008,t2_squeezenet,46.082,39.796,0,1
7.116,t2_squeezenet,44.220,41.882,0,1
7.310,t2_squeezenet,46.756,41.946,0,1
7.363,t2_squeezenet,34.225,33.106,0,1
7.413,t2_squeezenet,47.580,43.987,0,1
7.505,t2_squeezenet,45.032,41.471,0,1
7.584,t2_squeezenet,37.539,33.297,0,1
7.653,t2_squeezenet,30.993,29.213,0,1
7.689,t2_squeezenet,33.212,30.049,0,1
7.747,t2_squeezenet,37.180,33.130,0,1
7.852,t2_squeezenet,32.974,29.465,0,1
8.016,t2_squeezenet,47.111,46.715,0,1
