step,t_s,T_c,T_pred_c,freq_mhz,util_pct,solver_ms,mode,agg_duty,duty0,duty1,duty2
0,0.00,49.05,59.49,2400,0.0,0.00,equal,3.0000,1.0000,1.0000,1.0000
1,1.00,49.05,59.49,2400,22.4,0.00,equal,3.0000,1.0000,1.0000,1.0000
2,2.00,50.15,59.49,2400,31.9,0.00,equal,3.0000,1.0000,1.0000,1.0000
3,3.00,49.60,59.49,2400,20.1,0.00,equal,3.0000,1.0000,1.0000,1.0000
4,4.00,49.05,59.49,2400,24.9,0.00,equal,3.0000,1.0000,1.0000,1.0000
5,5.00,48.50,59.49,2400,16.6,0.01,equal,3.0000,1.0000,1.0000,1.0000
6,6.00,49.05,59.49,2400,26.3,0.00,equal,3.0000,1.0000,1.0000,1.0000
7,7.00,46.85,59.49,2400,13.8,0.00,equal,3.0000,1.0000,1.0000,1.0000
8,8.00,48.50,59.49,2400,16.6,0.00,equal,3.0000,1.0000,1.0000,1.0000
9,9.00,48.50,59.49,2400,11.5,0.00,equal,3.0000,1.0000,1.0000,1.0000
10,10.00,48.50,59.49,2400,16.9,0.00,equal,3.0000,1.0000,1.0000,1.0000
11,11.00,49.60,59.49,2400,30.5,0.00,equal,3.0000,1.0000,1.0000,1.0000
12,12.00,48.50,59.49,2400,18.9,0.00,equal,3.0000,1.0000,1.0000,1.0000
13,13.00,49.05,59.49,2400,24.0,0.00,equal,3.0000,1.0000,1.0000,1.0000
14,14.00,50.15,59.49,2400,38.8,0.00,equal,3.0000,1.0000,1.0000,1.0000
15,15.00,49.60,59.49,2400,15.8,0.01,equal,3.0000,1.0000,1.0000,1.0000
16,16.00,50.15,59.49,2400,27.5,0.00,equal,3.0000,1.0000,1.0000,1.0000
17,17.00,49.05,59.49,2400,18.1,0.00,equal,3.0000,1.0000,1.0000,1.0000
18,18.00,50.70,59.49,2400,33.4,0.00,equal,3.0000,1.0000,1.0000,1.0000
19,19.00,49.60,59.49,2400,28.5,0.00,equal,3.0000,1.0000,1.0000,1.0000
20,20.00,49.05,59.49,2400,20.4,0.00,equal,3.0000,1.0000,1.0000,1.0000
21,21.00,49.60,59.49,2400,21.1,0.00,equal,3.0000,1.0000,1.0000,1.0000
22,22.00,50.15,59.49,2400,24.3,0.02,equal,3.0000,1.0000,1.0000,1.0000
23,23.00,50.15,59.49,2400,37.1,0.00,equal,3.0000,1.0000,1.0000,1.0000
24,24.00,50.15,59.49,2400,23.2,0.00,equal,3.0000,1.0000,1.0000,1.0000
25,25.00,49.60,59.49,2400,23.1,0.00,equal,3.0000,1.0000,1.0000,1.0000
26,26.00,49.05,59.49,2400,33.0,0.01,equal,3.0000,1.0000,1.0000,1.0000
27,27.00,49.60,59.49,2400,23.6,0.00,equal,3.0000,1.0000,1.0000,1.0000
28,28.00,49.05,59.49,2400,30.1,0.00,equal,3.0000,1.0000,1.0000,1.0000
29,29.00,48.50,59.49,2400,25.8,0.00,equal,3.0000,1.0000,1.0000,1.0000
30,30.00,50.15,59.49,2400,40.8,0.00,equal,3.0000,1.0000,1.0000,1.0000
31,31.00,49.05,59.49,2400,20.4,0.02,equal,3.0000,1.0000,1.0000,1.0000
32,32.00,49.60,59.49,2400,31.7,0.00,equal,3.0000,1.0000,1.0000,1.0000
33,33.00,50.15,59.49,2400,26.6,0.02,equal,3.0000,1.0000,1.0000,1.0000
34,34.00,50.15,59.49,2400,31.9,0.00,equal,3.0000,1.0000,1.0000,1.0000
35,35.00,50.15,59.49,2400,11.0,0.00,equal,3.0000,1.0000,1.0000,1.0000
36,36.01,50.70,59.49,2400,23.3,0.00,equal,3.0000,1.0000,1.0000,1.0000
37,37.01,49.05,59.49,2400,27.7,0.00,equal,3.0000,1.0000,1.0000,1.0000
38,38.01,49.05,59.49,2400,19.1,0.00,equal,3.0000,1.0000,1.0000,1.0000
39,39.01,49.05,59.49,2400,17.1,0.00,equal,3.0000,1.0000,1.0000,1.0000
40,40.01,50.15,59.49,2400,30.8,0.00,equal,3.0000,1.0000,1.0000,1.0000
41,41.01,50.70,59.49,2400,32.6,0.00,equal,3.0000,1.0000,1.0000,1.0000
42,42.01,50.15,59.49,2400,27.2,0.00,equal,3.0000,1.0000,1.0000,1.0000
43,43.01,49.60,59.49,2400,22.5,0.00,equal,3.0000,1.0000,1.0000,1.0000
44,44.01,49.60,59.49,2400,21.4,0.00,equal,3.0000,1.0000,1.0000,1.0000
45,45.01,49.05,59.49,2400,21.4,0.00,equal,3.0000,1.0000,1.0000,1.0000
46,46.01,50.15,59.49,2400,27.1,0.00,equal,3.0000,1.0000,1.0000,1.0000
47,47.01,49.60,59.49,2400,28.6,0.00,equal,3.0000,1.0000,1.0000,1.0000
48,48.01,49.05,59.49,2400,19.5,0.00,equal,3.0000,1.0000,1.0000,1.0000
49,49.01,48.50,59.49,2400,25.9,0.00,equal,3.0000,1.0000,1.0000,1.0000
50,50.01,49.60,59.49,2400,30.7,0.00,equal,3.0000,1.0000,1.0000,1.0000
51,51.01,49.05,59.49,2400,25.9,0.00,equal,3.0000,1.0000,1.0000,1.0000
52,52.01,50.15,59.49,2400,17.3,0.00,equal,3.0000,1.0000,1.0000,1.0000
53,53.01,48.50,59.49,2400,27.7,0.00,equal,3.0000,1.0000,1.0000,1.0000
54,54.01,49.60,59.49,2400,25.7,0.00,equal,3.0000,1.0000,1.0000,1.0000
55,55.01,48.50,59.49,2400,20.7,0.00,equal,3.0000,1.0000,1.0000,1.0000
56,56.01,48.50,59.49,2400,12.6,0.00,equal,3.0000,1.0000,1.0000,1.0000
57,57.01,51.25,59.49,2400,26.4,0.00,equal,3.0000,1.0000,1.0000,1.0000
58,58.01,50.15,59.49,2400,32.6,0.00,equal,3.0000,1.0000,1.0000,1.0000
59,59.01,49.60,59.49,2400,37.4,0.00,equal,3.0000,1.0000,1.0000,1.0000
60,60.01,51.25,59.49,2400,32.2,0.00,equal,3.0000,1.0000,1.0000,1.0000
61,61.01,50.15,59.49,2400,21.5,0.00,equal,3.0000,1.0000,1.0000,1.0000
62,62.01,49.05,59.49,2400,11.0,0.00,equal,3.0000,1.0000,1.0000,1.0000
63,63.01,50.15,59.49,2400,22.5,0.00,equal,3.0000,1.0000,1.0000,1.0000
64,64.01,50.15,59.49,2400,29.2,0.00,equal,3.0000,1.0000,1.0000,1.0000
65,65.01,50.15,59.49,2400,26.4,0.00,equal,3.0000,1.0000,1.0000,1.0000
66,66.01,49.05,59.49,2400,21.8,0.00,equal,3.0000,1.0000,1.0000,1.0000
67,67.01,49.05,59.49,2400,22.2,0.00,equal,3.0000,1.0000,1.0000,1.0000
68,68.01,49.60,59.49,2400,22.1,0.00,equal,3.0000,1.0000,1.0000,1.0000
69,69.01,50.15,59.49,2400,32.1,0.00,equal,3.0000,1.0000,1.0000,1.0000
70,70.01,50.15,59.49,2400,23.4,0.01,equal,3.0000,1.0000,1.0000,1.0000
71,71.01,50.15,59.49,2400,35.6,0.00,equal,3.0000,1.0000,1.0000,1.0000
72,72.01,49.05,59.49,2400,14.1,0.00,equal,3.0000,1.0000,1.0000,1.0000
73,73.02,50.15,59.49,2400,29.1,0.00,equal,3.0000,1.0000,1.0000,1.0000
74,74.02,49.05,59.49,2400,16.5,0.00,equal,3.0000,1.0000,1.0000,1.0000
75,75.02,48.50,59.49,2400,21.1,0.00,equal,3.0000,1.0000,1.0000,1.0000
76,76.02,50.15,59.49,2400,27.8,0.00,equal,3.0000,1.0000,1.0000,1.0000
77,77.02,49.60,59.49,2400,22.1,0.00,equal,3.0000,1.0000,1.0000,1.0000
78,78.02,48.50,59.49,2400,23.4,0.00,equal,3.0000,1.0000,1.0000,1.0000
79,79.02,49.05,59.49,2400,15.5,0.00,equal,3.0000,1.0000,1.0000,1.0000
80,80.02,50.15,59.49,2400,40.7,0.00,equal,3.0000,1.0000,1.0000,1.0000
81,81.02,48.50,59.49,2400,15.4,0.00,equal,3.0000,1.0000,1.0000,1.0000
82,82.02,48.50,59.49,2400,20.0,0.01,equal,3.0000,1.0000,1.0000,1.0000
83,83.02,51.25,59.49,2400,29.2,0.00,equal,3.0000,1.0000,1.0000,1.0000
84,84.02,49.05,59.49,2400,21.2,0.00,equal,3.0000,1.0000,1.0000,1.0000
85,85.02,51.25,59.49,2400,39.3,0.00,equal,3.0000,1.0000,1.0000,1.0000
86,86.02,49.05,59.49,2400,23.7,0.00,equal,3.0000,1.0000,1.0000,1.0000
