t_s,tenant,latency_ms,service_ms,qdepth,warmup
0.124,t0_mnv2,37.860,37.504,0,1
0.304,t0_mnv2,41.870,37.286,1,1
0.345,t0_mnv2,64.438,41.332,1,1
0.389,t0_mnv2,73.150,43.155,0,1
0.566,t0_mnv2,43.800,41.029,0,1
0.667,t0_mnv2,35.696,35.161,0,1
0.808,t0_mnv2,37.936,34.543,0,1
0.994,t0_mnv2,36.346,34.696,1,1
1.029,t0_mnv2,39.297,34.618,0,1
1.084,t0_mnv2,38.202,34.328,0,1
1.131,t0_mnv2,41.373,37.058,2,1
1.169,t0_mnv2,54.527,37.940,1,1
1.204,t0_mnv2,80.390,35.495,0,1
1.251,t0_mnv2,41.019,36.783,0,1
1.321,t0_mnv2,36.309,34.453,0,1
1.392,t0_mnv2,35.913,35.281,0,1
1.470,t0_mnv2,41.352,38.216,1,1
1.505,t0_mnv2,65.310,34.954,0,1
1.680,t0_mnv2,39.788,37.790,0,1
1.732,t0_mnv2,39.215,36.548,1,1
1.770,t0_mnv2,72.596,38.453,1,1
1.812,t0_mnv2,56.695,41.647,0,1
2.032,t0_mnv2,42.242,37.684,0,1
2.105,t0_mnv2,41.470,38.389,0,1
2.254,t0_mnv2,41.678,37.833,0,1
2.297,t0_mnv2,41.461,37.660,0,1
2.471,t0_mnv2,38.737,36.690,1,1
2.513,t0_mnv2,75.246,42.078,0,1
2.573,t0_mnv2,40.087,39.850,0,1
2.639,t0_mnv2,45.480,40.744,0,1
2.738,t0_mnv2,50.689,48.925,1,1
2.784,t0_mnv2,58.884,45.724,0,1
2.931,t0_mnv2,47.268,45.526,0,1
3.154,t0_mnv2,35.563,35.453,0,1
3.289,t0_mnv2,41.412,38.635,0,1
3.490,t0_mnv2,37.846,34.585,0,1
3.551,t0_mnv2,37.107,35.089,0,1
3.591,t0_mnv2,35.464,34.807,0,1
3.747,t0_mnv2,48.649,44.777,0,1
3.838,t0_mnv2,38.271,35.546,0,1
3.986,t0_mnv2,49.559,46.448,1,1
4.035,t0_mnv2,74.824,49.352,0,1
4.135,t0_mnv2,42.274,38.866,0,1
4.232,t0_mnv2,38.747,36.859,0,1
4.395,t0_mnv2,40.163,36.327,1,1
4.434,t0_mnv2,67.027,38.603,0,1
4.734,t0_mnv2,44.277,41.608,0,1
4.821,t0_mnv2,37.831,36.531,2,1
4.856,t0_mnv2,53.847,35.042,1,1
4.890,t0_mnv2,71.475,34.321,0,1
4.978,t0_mnv2,46.823,42.217,0,1
5.314,t0_mnv2,40.521,37.192,0,1
5.637,t0_mnv2,53.393,49.062,0,1
5.738,t0_mnv2,36.676,35.068,0,1
5.873,t0_mnv2,47.441,43.741,0,1
6.057,t0_mnv2,37.597,37.546,0,1
6.141,t0_mnv2,44.053,42.901,0,1
6.221,t0_mnv2,45.948,45.010,0,1
6.293,t0_mnv2,38.579,36.085,0,1
6.358,t0_mnv2,43.366,40.598,0,1
6.459,t0_mnv2,47.757,44.932,0,1
6.533,t0_mnv2,47.609,43.306,0,1
6.736,t0_mnv2,45.616,40.491,1,1
6.772,t0_mnv2,79.468,36.240,1,1
6.807,t0_mnv2,63.316,35.654,0,1
6.862,t0_mnv2,47.377,44.486,1,1
6.910,t0_mnv2,61.642,47.624,1,1
6.955,t0_mnv2,54.047,44.985,0,1
7.127,t0_mnv2,37.773,35.163,0,1
7.217,t0_mnv2,38.279,34.976,1,1
7.252,t0_mnv2,48.673,34.875,0,1
7.302,t0_mnv2,36.132,34.445,0,1
7.437,t0_mnv2,37.896,34.584,0,1
7.558,t0_mnv2,37.492,34.508,0,1
7.970,t0_mnv2,42.545,38.268,0,1
8.020,t0_mnv2,37.671,34.512,1,1
8.055,t0_mnv2,63.957,34.716,0,1
8.109,t0_mnv2,41.429,38.736,0,1
8.185,t0_mnv2,41.047,40.776,0,1
8.437,t0_mnv2,40.640,38.780,1,1
8.476,t0_mnv2,71.854,38.404,0,1
8.561,t0_mnv2,37.862,34.539,0,1
8.851,t0_mnv2,39.663,37.223,0,1
8.892,t0_mnv2,39.230,36.697,1,1
8.927,t0_mnv2,39.499,34.576,0,1
9.058,t0_mnv2,41.475,39.993,0,1
9.237,t0_mnv2,38.308,36.892,1,1
9.275,t0_mnv2,66.893,38.026,0,1
9.466,t0_mnv2,36.304,34.514,0,1
9.766,t0_mnv2,45.053,42.076,0,1
9.856,t0_mnv2,38.589,34.924,0,1
10.149,t0_mnv2,39.708,39.532,0,1
10.445,t0_mnv2,42.955,38.264,1,1
10.481,t0_mnv2,40.413,35.897,0,1
10.627,t0_mnv2,39.536,35.075,0,1
10.750,t0_mnv2,39.207,37.181,0,1
10.904,t0_mnv2,52.084,47.839,0,1
11.023,t0_mnv2,39.661,37.384,0,1
11.070,t0_mnv2,42.506,37.494,0,1
11.160,t0_mnv2,47.227,43.795,0,1
11.323,t0_mnv2,38.177,36.428,0,1
11.376,t0_mnv2,39.526,38.007,0,1
11.425,t0_mnv2,43.813,38.861,0,1
11.500,t0_mnv2,38.447,34.296,0,1
11.547,t0_mnv2,41.860,36.958,1,1
11.585,t0_mnv2,46.760,37.779,0,1
11.854,t0_mnv2,41.463,38.877,0,1
11.970,t0_mnv2,35.139,34.582,0,1
12.187,t0_mnv2,42.007,40.272,0,1
12.330,t0_mnv2,38.523,35.392,0,1
12.389,t0_mnv2,47.656,43.688,0,1
12.529,t0_mnv2,42.058,39.119,0,1
12.640,t0_mnv2,35.642,34.879,0,1
12.980,t0_mnv2,40.577,36.381,0,1
13.026,t0_mnv2,38.629,36.426,0,1
13.096,t0_mnv2,35.439,34.656,1,1
13.135,t0_mnv2,73.565,38.953,0,1
13.428,t0_mnv2,51.731,49.666,0,1
13.496,t0_mnv2,50.309,47.659,0,1
13.585,t0_mnv2,38.891,38.322,0,1
13.743,t0_mnv2,49.048,46.584,1,1
13.794,t0_mnv2,93.066,50.826,0,1
14.052,t0_mnv2,37.608,35.602,0,1
14.249,t0_mnv2,54.690,50.010,0,1
14.446,t0_mnv2,50.999,50.233,0,1
14.527,t0_mnv2,46.893,44.996,0,1
14.606,t0_mnv2,45.621,44.137,1,1
14.647,t0_mnv2,83.251,40.854,0,1
14.717,t0_mnv2,45.924,44.428,0,1
14.814,t0_mnv2,54.876,51.117,0,1
14.986,t0_mnv2,45.924,40.894,0,1
15.204,t0_mnv2,44.284,40.025,0,1
15.400,t0_mnv2,37.054,34.614,0,1
15.542,t0_mnv2,36.626,35.093,0,1
15.652,t0_mnv2,38.903,34.603,0,1
15.759,t0_mnv2,37.242,35.649,0,1
16.007,t0_mnv2,45.012,41.052,0,1
16.140,t0_mnv2,49.298,47.160,0,1
16.248,t0_mnv2,52.248,47.262,2,1
16.286,t0_mnv2,86.173,38.007,1,1
16.328,t0_mnv2,102.492,41.794,1,1
16.368,t0_mnv2,52.479,39.610,0,1
16.459,t0_mnv2,39.557,35.116,0,1
17.086,t0_mnv2,36.981,35.300,0,1
17.176,t0_mnv2,37.422,34.549,0,1
17.304,t0_mnv2,38.321,36.660,0,1
17.620,t0_mnv2,42.675,37.839,1,1
17.658,t0_mnv2,52.334,37.396,2,1
17.692,t0_mnv2,63.588,34.416,2,1
17.730,t0_mnv2,79.323,38.013,1,1
17.774,t0_mnv2,102.900,43.363,0,1
17.851,t0_mnv2,53.553,51.939,2,1
17.897,t0_mnv2,68.680,45.815,2,1
17.937,t0_mnv2,95.515,40.089,1,1
17.977,t0_mnv2,92.202,39.667,0,1
18.216,t0_mnv2,41.805,41.042,1,1
18.255,t0_mnv2,52.804,39.561,0,1
18.321,t0_mnv2,38.376,35.320,1,1
18.358,t0_mnv2,53.213,36.832,0,1
18.441,t0_mnv2,43.059,38.251,0,1
18.624,t0_mnv2,35.748,35.593,0,1
18.775,t0_mnv2,36.553,34.646,0,1
18.927,t0_mnv2,41.295,40.166,1,1
18.964,t0_mnv2,61.350,37.322,1,1
18.999,t0_mnv2,62.608,35.004,0,1
19.144,t0_mnv2,44.106,39.111,1,1
19.183,t0_mnv2,41.934,38.327,1,1
19.219,t0_mnv2,38.128,35.969,0,1
19.325,t0_mnv2,37.439,35.637,0,1
19.800,t0_mnv2,35.915,34.594,0,1
19.911,t0_mnv2,36.516,34.755,1,1
19.947,t0_mnv2,51.462,36.781,0,1
20.184,t0_mnv2,36.119,34.662,0,0
20.320,t0_mnv2,35.585,34.572,1,0
20.355,t0_mnv2,51.356,34.803,1,0
20.395,t0_mnv2,55.589,39.908,0,0
20.466,t0_mnv2,43.718,40.371,0,0
20.529,t0_mnv2,55.386,52.883,0,0
20.606,t0_mnv2,40.984,37.205,0,0
21.061,t0_mnv2,37.600,34.688,0,0
21.239,t0_mnv2,41.195,41.157,0,0
21.603,t0_mnv2,46.488,45.178,1,0
21.642,t0_mnv2,73.239,39.088,0,0
21.719,t0_mnv2,37.704,36.817,0,0
21.767,t0_mnv2,39.997,38.071,0,0
21.973,t0_mnv2,48.502,43.872,1,0
22.010,t0_mnv2,44.949,37.047,0,0
22.172,t0_mnv2,48.269,45.082,0,0
22.318,t0_mnv2,42.339,38.398,2,0
22.363,t0_mnv2,64.674,45.768,1,0
22.405,t0_mnv2,102.079,42.028,0,0
22.551,t0_mnv2,50.138,48.443,0,0
22.654,t0_mnv2,56.051,52.715,0,0
22.798,t0_mnv2,55.761,52.418,0,0
22.854,t0_mnv2,44.856,40.861,0,0
23.000,t0_mnv2,40.671,39.068,0,0
23.068,t0_mnv2,44.796,43.449,0,0
23.181,t0_mnv2,37.440,36.386,0,0
23.245,t0_mnv2,41.874,39.072,0,0
23.310,t0_mnv2,44.388,40.031,0,0
24.020,t0_mnv2,44.829,42.130,0,0
24.090,t0_mnv2,42.041,39.021,3,0
24.124,t0_mnv2,71.531,34.632,2,0
24.159,t0_mnv2,103.473,34.956,1,0
24.197,t0_mnv2,108.935,37.561,0,0
24.238,t0_mnv2,38.160,36.029,0,0
24.339,t0_mnv2,37.332,35.529,0,0
24.622,t0_mnv2,39.333,34.988,0,0
24.814,t0_mnv2,37.200,35.253,0,0
24.854,t0_mnv2,36.933,34.635,0,0
24.934,t0_mnv2,43.666,39.770,3,0
24.976,t0_mnv2,57.153,41.799,2,0
25.015,t0_mnv2,82.151,38.548,1,0
25.057,t0_mnv2,122.853,41.791,0,0
25.142,t0_mnv2,47.731,45.280,0,0
25.222,t0_mnv2,42.263,38.884,0,0
25.269,t0_mnv2,37.431,37.375,0,0
25.325,t0_mnv2,37.454,35.623,0,0
25.718,t0_mnv2,42.453,39.457,0,0
25.844,t0_mnv2,39.775,39.747,0,0
26.000,t0_mnv2,39.855,38.842,0,0
26.124,t0_mnv2,39.984,38.597,1,0
26.159,t0_mnv2,69.664,34.357,0,0
26.496,t0_mnv2,43.968,39.035,2,0
26.531,t0_mnv2,78.226,34.977,1,0
26.567,t0_mnv2,84.687,35.591,1,0
26.601,t0_mnv2,39.409,34.474,0,0
26.708,t0_mnv2,44.492,41.303,0,0
26.822,t0_mnv2,42.207,38.219,0,0
26.994,t0_mnv2,39.459,35.498,2,0
27.035,t0_mnv2,79.565,40.874,1,0
27.079,t0_mnv2,95.641,43.870,0,0
27.297,t0_mnv2,42.150,40.473,0,0
27.341,t0_mnv2,40.031,39.684,0,0
27.413,t0_mnv2,38.920,35.691,0,0
27.526,t0_mnv2,37.538,37.136,0,0
27.844,t0_mnv2,50.286,49.905,1,0
27.892,t0_mnv2,96.629,48.226,0,0
28.061,t0_mnv2,43.544,42.052,0,0
28.398,t0_mnv2,40.588,39.690,1,0
28.435,t0_mnv2,64.260,36.941,0,0
28.707,t0_mnv2,41.619,38.915,1,0
28.746,t0_mnv2,48.518,38.650,0,0
28.852,t0_mnv2,39.601,35.038,0,0
28.891,t0_mnv2,34.399,34.356,0,0
