t_s,tenant,latency_ms,service_ms,qdepth,warmup
0.221,t1_resnet18,139.307,139.150,0,1
0.450,t1_resnet18,142.237,137.890,0,1
0.687,t1_resnet18,139.683,136.541,0,1
1.740,t1_resnet18,154.525,152.647,0,1
3.190,t1_resnet18,133.216,133.184,0,1
3.714,t1_resnet18,162.194,160.002,3,1
3.853,t1_resnet18,259.635,138.644,3,1
3.983,t1_resnet18,348.239,130.308,2,1
4.114,t1_resnet18,457.080,131.049,2,1
4.249,t1_resnet18,416.969,134.886,1,1
4.414,t1_resnet18,301.533,164.630,0,1
5.190,t1_resnet18,154.664,154.282,0,1
5.721,t1_resnet18,136.077,135.607,0,1
6.732,t1_resnet18,141.032,139.907,0,1
7.082,t1_resnet18,164.518,163.073,1,1
7.216,t1_resnet18,237.272,133.969,0,1
7.644,t1_resnet18,147.005,144.403,0,1
7.816,t1_resnet18,137.496,136.551,0,1
8.087,t1_resnet18,140.886,138.824,0,1
8.488,t1_resnet18,143.598,142.183,0,1
9.074,t1_resnet18,139.046,136.241,1,1
9.208,t1_resnet18,169.362,133.901,0,1
10.272,t1_resnet18,140.175,137.807,0,1
10.575,t1_resnet18,146.641,146.040,0,1
10.997,t1_resnet18,138.273,133.441,0,1
11.162,t1_resnet18,136.914,134.439,1,1
11.311,t1_resnet18,275.800,149.038,0,1
13.613,t1_resnet18,150.942,148.544,1,1
13.756,t1_resnet18,201.509,142.370,0,1
14.042,t1_resnet18,154.038,149.076,0,1
14.338,t1_resnet18,140.104,139.552,0,1
14.755,t1_resnet18,136.110,132.652,0,1
15.754,t1_resnet18,161.984,158.817,0,1
16.530,t1_resnet18,159.923,158.618,1,1
16.685,t1_resnet18,195.141,155.300,1,1
16.818,t1_resnet18,228.116,132.658,1,1
16.979,t1_resnet18,257.071,160.701,1,1
17.114,t1_resnet18,222.621,134.992,0,1
17.292,t1_resnet18,142.785,138.455,0,1
19.525,t1_resnet18,137.724,136.960,0,1
19.932,t1_resnet18,156.782,153.873,1,1
20.067,t1_resnet18,240.010,135.457,1,0
20.210,t1_resnet18,221.791,142.718,1,0
20.342,t1_resnet18,209.605,132.033,0,0
20.606,t1_resnet18,169.047,167.673,3,0
20.742,t1_resnet18,235.986,135.902,2,0
20.873,t1_resnet18,354.539,130.855,1,0
21.014,t1_resnet18,479.435,140.915,0,0
21.191,t1_resnet18,155.705,152.304,0,0
21.450,t1_resnet18,154.193,152.672,0,0
22.067,t1_resnet18,159.110,155.372,1,0
22.222,t1_resnet18,308.360,154.941,0,0
22.889,t1_resnet18,134.363,130.765,0,0
23.139,t1_resnet18,149.857,148.530,0,0
24.036,t1_resnet18,143.844,142.808,0,0
24.629,t1_resnet18,138.821,137.912,0,0
25.089,t1_resnet18,133.418,131.326,0,0
25.412,t1_resnet18,166.316,166.013,0,0
27.289,t1_resnet18,135.396,130.608,0,0
27.603,t1_resnet18,153.914,151.811,1,0
27.761,t1_resnet18,177.920,158.034,0,0
27.988,t1_resnet18,155.779,151.217,0,0
29.200,t1_resnet18,139.763,139.565,0,0
29.596,t1_resnet18,150.615,147.880,0,0
30.571,t1_resnet18,164.209,164.124,0,0
30.822,t1_resnet18,137.622,134.294,0,0
31.525,t1_resnet18,148.348,146.886,1,0
31.663,t1_resnet18,223.993,137.845,1,0
31.809,t1_resnet18,235.096,146.150,0,0
32.755,t1_resnet18,137.345,136.161,0,0
33.168,t1_resnet18,144.827,144.443,0,0
33.391,t1_resnet18,136.738,132.242,0,0
33.810,t1_resnet18,135.817,135.611,1,0
33.940,t1_resnet18,177.040,130.338,0,0
35.502,t1_resnet18,142.949,139.230,2,0
35.651,t1_resnet18,232.075,149.031,1,0
35.795,t1_resnet18,373.488,143.905,0,0
36.404,t1_resnet18,169.793,168.984,0,0
