t_s,tenant,latency_ms,service_ms,qdepth,warmup
0.206,t2_squeezenet,49.639,47.682,1,1
0.252,t2_squeezenet,49.803,45.655,1,1
0.293,t2_squeezenet,66.189,41.363,0,1
0.347,t2_squeezenet,43.875,43.637,0,1
0.427,t2_squeezenet,40.317,39.839,0,1
0.615,t2_squeezenet,36.232,35.278,0,1
0.904,t2_squeezenet,33.373,30.740,0,1
0.943,t2_squeezenet,32.905,29.239,0,1
1.098,t2_squeezenet,33.458,33.267,0,1
1.249,t2_squeezenet,32.517,29.699,0,1
1.285,t2_squeezenet,30.761,30.408,0,1
1.399,t2_squeezenet,35.815,32.627,0,1
1.495,t2_squeezenet,31.508,30.044,0,1
1.630,t2_squeezenet,50.637,46.052,0,1
1.705,t2_squeezenet,40.095,39.421,1,1
1.740,t2_squeezenet,44.063,35.415,1,1
1.774,t2_squeezenet,42.122,33.297,0,1
1.833,t2_squeezenet,33.483,29.256,0,1
1.894,t2_squeezenet,30.851,30.158,0,1
1.939,t2_squeezenet,32.278,30.161,1,1
1.975,t2_squeezenet,39.314,35.514,0,1
2.022,t2_squeezenet,36.462,32.091,2,1
2.053,t2_squeezenet,64.867,30.944,1,1
2.084,t2_squeezenet,63.981,31.636,0,1
2.146,t2_squeezenet,49.562,45.969,0,1
2.189,t2_squeezenet,37.047,33.249,1,1
2.224,t2_squeezenet,66.092,34.942,0,1
2.382,t2_squeezenet,39.042,36.487,0,1
2.533,t2_squeezenet,32.330,30.031,0,1
2.639,t2_squeezenet,32.465,30.072,0,1
2.841,t2_squeezenet,31.434,29.394,0,1
3.184,t2_squeezenet,31.778,29.475,1,1
3.213,t2_squeezenet,43.126,29.272,0,1
3.544,t2_squeezenet,35.230,32.461,0,1
3.974,t2_squeezenet,35.253,30.469,1,1
4.009,t2_squeezenet,68.248,34.988,0,1
4.059,t2_squeezenet,47.918,45.219,0,1
4.644,t2_squeezenet,35.867,32.907,1,1
4.678,t2_squeezenet,63.296,34.370,2,1
4.709,t2_squeezenet,47.862,30.864,1,1
4.750,t2_squeezenet,73.995,40.208,0,1
4.804,t2_squeezenet,52.803,49.621,0,1
4.920,t2_squeezenet,30.330,30.146,0,1
4.955,t2_squeezenet,33.331,29.833,0,1
5.141,t2_squeezenet,33.313,29.264,0,1
5.211,t2_squeezenet,33.764,29.464,0,1
5.307,t2_squeezenet,34.036,29.876,1,1
5.336,t2_squeezenet,62.029,29.301,1,1
5.366,t2_squeezenet,44.182,29.353,0,1
5.482,t2_squeezenet,30.863,30.716,0,1
5.535,t2_squeezenet,33.419,32.552,0,1
5.588,t2_squeezenet,52.726,47.716,0,1
5.653,t2_squeezenet,34.008,29.416,0,1
5.688,t2_squeezenet,35.013,29.967,1,1
5.718,t2_squeezenet,36.261,29.487,1,1
5.747,t2_squeezenet,48.497,29.277,0,1
5.810,t2_squeezenet,39.685,38.078,0,1
