step,t_s,T_c,T_pred_c,freq_mhz,util_pct,solver_ms,mode,agg_duty,duty0,duty1,duty2
0,0.00,50.15,54.00,2400,0.0,0.09,matched,1.8013,0.6004,0.6004,0.6004
1,1.00,50.70,54.13,2400,22.9,0.08,matched,1.8288,0.6096,0.6096,0.6096
2,2.00,50.70,54.25,2400,31.4,0.08,matched,1.8563,0.6188,0.6188,0.6188
3,3.00,50.15,54.50,2400,21.1,0.07,matched,1.9113,0.6371,0.6371,0.6371
4,4.01,50.70,54.76,2400,23.5,0.06,matched,1.9663,0.6554,0.6554,0.6554
5,5.01,50.70,55.01,2400,17.8,0.06,matched,2.0213,0.6738,0.6738,0.6738
6,6.01,51.25,55.01,2400,27.0,0.05,matched,2.0213,0.6738,0.6738,0.6738
7,7.01,49.05,55.51,2400,14.3,0.05,matched,2.1313,0.7104,0.7104,0.7104
8,8.01,49.60,56.02,2400,17.0,0.06,matched,2.2413,0.7471,0.7471,0.7471
9,9.01,49.05,56.64,2400,11.0,0.05,matched,2.3788,0.7929,0.7929,0.7929
10,10.01,50.15,57.15,2400,15.6,0.07,matched,2.4888,0.8296,0.8296,0.8296
11,11.01,50.15,57.40,2400,31.3,0.06,matched,2.5438,0.8479,0.8479,0.8479
12,12.01,50.15,57.78,2400,20.1,0.05,matched,2.6263,0.8754,0.8754,0.8754
13,13.01,50.15,58.03,2400,25.8,0.06,matched,2.6813,0.8938,0.8938,0.8938
14,14.01,49.60,58.53,2400,36.3,0.06,matched,2.7913,0.9304,0.9304,0.9304
15,15.01,51.25,58.79,2400,16.0,0.08,matched,2.8463,0.9488,0.9488,0.9488
16,16.01,50.70,59.29,2400,30.6,0.05,matched,2.9563,0.9854,0.9854,0.9854
17,17.01,50.15,59.49,2400,18.8,0.05,matched,3.0000,1.0000,1.0000,1.0000
18,18.01,51.80,59.49,2400,32.2,0.06,matched,3.0000,1.0000,1.0000,1.0000
19,19.01,50.70,59.49,2400,28.8,0.05,matched,3.0000,1.0000,1.0000,1.0000
20,20.01,49.60,59.49,2400,21.2,0.05,matched,3.0000,1.0000,1.0000,1.0000
21,21.01,49.60,59.49,2400,19.0,0.05,matched,3.0000,1.0000,1.0000,1.0000
22,22.01,50.15,59.49,2400,26.7,0.11,matched,3.0000,1.0000,1.0000,1.0000
23,23.01,50.70,59.49,2400,36.8,0.06,matched,3.0000,1.0000,1.0000,1.0000
24,24.01,50.70,59.49,2400,21.6,0.05,matched,3.0000,1.0000,1.0000,1.0000
25,25.01,50.15,59.49,2400,20.9,0.25,matched,3.0000,1.0000,1.0000,1.0000
26,26.01,49.60,59.49,2400,29.3,0.06,matched,3.0000,1.0000,1.0000,1.0000
27,27.01,51.25,59.49,2400,26.4,0.06,matched,3.0000,1.0000,1.0000,1.0000
28,28.01,50.70,59.49,2400,29.7,0.07,matched,3.0000,1.0000,1.0000,1.0000
29,29.01,50.70,59.49,2400,25.3,0.05,matched,3.0000,1.0000,1.0000,1.0000
30,30.01,51.25,59.49,2400,38.0,0.06,matched,3.0000,1.0000,1.0000,1.0000
31,31.01,49.60,59.49,2400,21.0,0.05,matched,3.0000,1.0000,1.0000,1.0000
32,32.01,50.70,59.49,2400,33.0,0.05,matched,3.0000,1.0000,1.0000,1.0000
33,33.01,51.25,59.49,2400,25.6,0.13,matched,3.0000,1.0000,1.0000,1.0000
34,34.01,51.25,59.49,2400,28.7,0.05,matched,3.0000,1.0000,1.0000,1.0000
35,35.01,50.15,59.49,2400,12.1,0.06,matched,3.0000,1.0000,1.0000,1.0000
36,36.01,51.25,59.49,2400,22.9,0.05,matched,3.0000,1.0000,1.0000,1.0000
37,37.01,50.15,59.49,2400,28.3,0.05,matched,3.0000,1.0000,1.0000,1.0000
38,38.01,50.15,59.49,2400,18.6,0.05,matched,3.0000,1.0000,1.0000,1.0000
39,39.01,49.60,59.49,2400,17.7,0.05,matched,3.0000,1.0000,1.0000,1.0000
40,40.01,51.25,59.49,2400,30.6,0.06,matched,3.0000,1.0000,1.0000,1.0000
41,41.01,51.25,59.49,2400,34.8,0.06,matched,3.0000,1.0000,1.0000,1.0000
42,42.01,50.70,59.49,2400,26.6,0.05,matched,3.0000,1.0000,1.0000,1.0000
43,43.01,50.15,59.49,2400,23.2,0.05,matched,3.0000,1.0000,1.0000,1.0000
44,44.01,50.15,59.49,2400,23.6,0.06,matched,3.0000,1.0000,1.0000,1.0000
45,45.01,50.15,59.49,2400,17.9,0.15,matched,3.0000,1.0000,1.0000,1.0000
46,46.01,50.70,59.49,2400,30.7,0.05,matched,3.0000,1.0000,1.0000,1.0000
47,47.01,50.70,59.49,2400,28.1,0.07,matched,3.0000,1.0000,1.0000,1.0000
48,48.01,50.15,59.49,2400,19.9,0.05,matched,3.0000,1.0000,1.0000,1.0000
49,49.02,49.60,59.49,2400,26.2,0.06,matched,3.0000,1.0000,1.0000,1.0000
50,50.02,50.15,59.49,2400,28.5,0.06,matched,3.0000,1.0000,1.0000,1.0000
51,51.02,51.25,59.49,2400,27.7,0.06,matched,3.0000,1.0000,1.0000,1.0000
52,52.02,49.05,59.49,2400,18.2,0.06,matched,3.0000,1.0000,1.0000,1.0000
53,53.02,50.15,59.49,2400,25.0,0.05,matched,3.0000,1.0000,1.0000,1.0000
54,54.02,50.70,59.49,2400,27.3,0.05,matched,3.0000,1.0000,1.0000,1.0000
55,55.02,49.60,59.49,2400,21.1,0.22,matched,3.0000,1.0000,1.0000,1.0000
56,56.02,50.15,59.49,2400,13.1,0.05,matched,3.0000,1.0000,1.0000,1.0000
57,57.02,51.25,59.49,2400,28.0,0.08,matched,3.0000,1.0000,1.0000,1.0000
58,58.02,51.25,59.49,2400,30.1,0.17,matched,3.0000,1.0000,1.0000,1.0000
59,59.02,50.70,59.49,2400,36.8,0.05,matched,3.0000,1.0000,1.0000,1.0000
60,60.02,50.15,59.49,2400,33.3,0.12,matched,3.0000,1.0000,1.0000,1.0000
61,61.02,50.15,59.49,2400,23.4,0.05,matched,3.0000,1.0000,1.0000,1.0000
62,62.02,49.60,59.49,2400,11.1,0.05,matched,3.0000,1.0000,1.0000,1.0000
63,63.02,50.70,59.49,2400,21.3,0.08,matched,3.0000,1.0000,1.0000,1.0000
64,64.02,50.70,59.49,2400,30.8,0.09,matched,3.0000,1.0000,1.0000,1.0000
65,65.02,50.70,59.49,2400,27.3,0.15,matched,3.0000,1.0000,1.0000,1.0000
66,66.02,50.70,59.49,2400,19.6,0.05,matched,3.0000,1.0000,1.0000,1.0000
67,67.02,50.15,59.49,2400,22.1,0.06,matched,3.0000,1.0000,1.0000,1.0000
68,68.02,49.60,59.49,2400,21.7,0.07,matched,3.0000,1.0000,1.0000,1.0000
69,69.02,50.70,59.49,2400,30.7,0.06,matched,3.0000,1.0000,1.0000,1.0000
70,70.03,50.70,59.49,2400,24.6,0.08,matched,3.0000,1.0000,1.0000,1.0000
71,71.03,50.70,59.49,2400,35.4,0.05,matched,3.0000,1.0000,1.0000,1.0000
72,72.03,49.60,59.49,2400,17.0,0.05,matched,3.0000,1.0000,1.0000,1.0000
73,73.03,50.15,59.49,2400,27.3,0.06,matched,3.0000,1.0000,1.0000,1.0000
74,74.03,50.15,59.49,2400,16.6,0.05,matched,3.0000,1.0000,1.0000,1.0000
75,75.03,50.15,59.49,2400,20.4,0.05,matched,3.0000,1.0000,1.0000,1.0000
76,76.03,50.70,59.49,2400,27.5,0.08,matched,3.0000,1.0000,1.0000,1.0000
77,77.03,50.15,59.49,2400,21.6,0.05,matched,3.0000,1.0000,1.0000,1.0000
78,78.03,50.15,59.49,2400,23.6,0.05,matched,3.0000,1.0000,1.0000,1.0000
79,79.03,50.15,59.49,2400,15.6,0.09,matched,3.0000,1.0000,1.0000,1.0000
80,80.03,51.80,59.49,2400,40.6,0.05,matched,3.0000,1.0000,1.0000,1.0000
81,81.03,50.15,59.49,2400,15.3,0.05,matched,3.0000,1.0000,1.0000,1.0000
82,82.03,50.15,59.49,2400,20.3,0.07,matched,3.0000,1.0000,1.0000,1.0000
83,83.03,50.70,59.49,2400,29.4,0.05,matched,3.0000,1.0000,1.0000,1.0000
84,84.03,50.70,59.49,2400,19.8,0.06,matched,3.0000,1.0000,1.0000,1.0000
85,85.03,51.25,59.49,2400,41.3,0.05,matched,3.0000,1.0000,1.0000,1.0000
86,86.03,49.60,59.49,2400,23.6,0.08,matched,3.0000,1.0000,1.0000,1.0000
87,87.03,51.25,59.49,2400,35.7,0.10,matched,3.0000,1.0000,1.0000,1.0000
88,88.03,50.15,59.49,2400,17.3,0.05,matched,3.0000,1.0000,1.0000,1.0000
89,89.03,50.15,59.49,2400,19.3,0.05,matched,3.0000,1.0000,1.0000,1.0000
90,90.03,50.15,59.49,2400,28.0,0.05,matched,3.0000,1.0000,1.0000,1.0000
91,91.03,49.60,59.49,2400,23.4,0.05,matched,3.0000,1.0000,1.0000,1.0000
92,92.03,49.05,59.49,2400,16.6,0.05,matched,3.0000,1.0000,1.0000,1.0000
93,93.03,49.60,59.49,2400,25.7,0.07,matched,3.0000,1.0000,1.0000,1.0000
94,94.03,50.15,59.49,2400,24.3,0.07,matched,3.0000,1.0000,1.0000,1.0000
95,95.03,51.25,59.49,2400,27.2,0.05,matched,3.0000,1.0000,1.0000,1.0000
96,96.03,49.60,59.49,2400,27.2,0.05,matched,3.0000,1.0000,1.0000,1.0000
97,97.03,49.60,59.49,2400,19.8,0.07,matched,3.0000,1.0000,1.0000,1.0000
98,98.03,50.15,59.49,2400,24.3,0.05,matched,3.0000,1.0000,1.0000,1.0000
99,99.03,49.60,59.49,2400,19.0,0.05,matched,3.0000,1.0000,1.0000,1.0000
100,100.03,50.15,59.49,2400,21.7,0.07,matched,3.0000,1.0000,1.0000,1.0000
101,101.03,51.25,59.49,2400,29.4,0.05,matched,3.0000,1.0000,1.0000,1.0000
102,102.03,51.25,59.49,2400,30.7,0.05,matched,3.0000,1.0000,1.0000,1.0000
103,103.03,50.15,59.49,2400,26.7,0.05,matched,3.0000,1.0000,1.0000,1.0000
104,104.03,51.25,59.49,2400,40.5,0.15,matched,3.0000,1.0000,1.0000,1.0000
105,105.03,51.25,59.49,2400,34.8,0.19,matched,3.0000,1.0000,1.0000,1.0000
106,106.03,50.70,59.49,2400,28.0,0.05,matched,3.0000,1.0000,1.0000,1.0000
107,107.03,50.15,59.49,2400,19.1,0.05,matched,3.0000,1.0000,1.0000,1.0000
108,108.03,49.60,59.49,2400,15.0,0.06,matched,3.0000,1.0000,1.0000,1.0000
109,109.03,48.50,59.49,2400,13.6,0.06,matched,3.0000,1.0000,1.0000,1.0000
110,110.03,49.05,59.49,2400,23.7,0.05,matched,3.0000,1.0000,1.0000,1.0000
111,111.03,51.80,59.49,2400,43.5,0.06,matched,3.0000,1.0000,1.0000,1.0000
112,112.03,51.25,59.49,2400,35.4,0.08,matched,3.0000,1.0000,1.0000,1.0000
113,113.03,50.70,59.49,2400,24.4,0.05,matched,3.0000,1.0000,1.0000,1.0000
114,114.03,49.60,59.49,2400,16.6,0.11,matched,3.0000,1.0000,1.0000,1.0000
115,115.03,50.15,59.49,2400,17.4,0.05,matched,3.0000,1.0000,1.0000,1.0000
116,116.03,49.60,59.49,2400,37.0,0.07,matched,3.0000,1.0000,1.0000,1.0000
117,117.03,50.15,59.49,2400,23.4,0.06,matched,3.0000,1.0000,1.0000,1.0000
118,118.03,49.60,59.49,2400,19.3,0.05,matched,3.0000,1.0000,1.0000,1.0000
119,119.04,51.80,59.49,2400,52.0,0.26,matched,3.0000,1.0000,1.0000,1.0000
120,120.04,50.15,59.49,2400,32.3,0.06,matched,3.0000,1.0000,1.0000,1.0000
121,121.04,50.15,59.49,2400,26.8,0.07,matched,3.0000,1.0000,1.0000,1.0000
122,122.04,49.60,59.49,2400,20.3,0.07,matched,3.0000,1.0000,1.0000,1.0000
123,123.04,49.60,59.49,2400,22.6,0.05,matched,3.0000,1.0000,1.0000,1.0000
124,124.04,50.70,59.49,2400,22.7,0.06,matched,3.0000,1.0000,1.0000,1.0000
125,125.04,50.70,59.49,2400,22.3,0.08,matched,3.0000,1.0000,1.0000,1.0000
