t_s,tenant,latency_ms,service_ms,qdepth,warmup
0.142,t0_mnv2,39.018,38.685,0,1
0.319,t0_mnv2,56.408,55.984,0,1
0.374,t0_mnv2,49.631,45.097,1,1
0.423,t0_mnv2,74.707,48.431,0,1
0.479,t0_mnv2,50.651,45.631,0,1
0.529,t0_mnv2,35.864,35.284,0,1
0.569,t0_mnv2,37.902,35.134,0,1
0.700,t0_mnv2,53.874,49.426,0,1
0.801,t0_mnv2,39.826,35.723,0,1
0.943,t0_mnv2,45.831,40.813,0,1
0.993,t0_mnv2,43.553,39.714,0,1
1.106,t0_mnv2,36.983,36.847,0,1
1.329,t0_mnv2,45.235,41.308,0,1
1.420,t0_mnv2,35.467,35.069,0,1
1.475,t0_mnv2,42.151,39.717,0,1
1.529,t0_mnv2,39.334,34.432,0,1
1.731,t0_mnv2,50.203,46.871,2,1
1.776,t0_mnv2,76.206,44.748,1,1
1.817,t0_mnv2,116.336,40.929,1,1
1.882,t0_mnv2,94.975,65.270,0,1
2.088,t0_mnv2,48.726,44.041,0,1
2.233,t0_mnv2,40.980,38.576,0,1
2.318,t0_mnv2,44.055,39.778,1,1
2.357,t0_mnv2,56.470,38.599,1,1
2.396,t0_mnv2,47.614,39.504,0,1
2.477,t0_mnv2,61.085,60.838,1,1
2.550,t0_mnv2,90.418,72.867,0,1
2.792,t0_mnv2,35.072,34.788,0,1
2.999,t0_mnv2,37.977,34.859,0,1
3.125,t0_mnv2,38.477,34.752,0,1
3.164,t0_mnv2,38.669,34.411,0,1
3.528,t0_mnv2,37.721,34.713,1,1
3.563,t0_mnv2,65.107,35.795,0,1
3.922,t0_mnv2,39.232,34.632,0,1
3.977,t0_mnv2,36.716,35.105,2,1
4.013,t0_mnv2,70.100,35.861,1,1
4.083,t0_mnv2,120.323,69.622,0,1
4.145,t0_mnv2,45.955,42.189,1,1
4.183,t0_mnv2,50.910,38.229,3,1
4.246,t0_mnv2,90.793,62.776,2,1
4.283,t0_mnv2,123.961,36.765,1,1
4.320,t0_mnv2,160.770,37.098,0,1
4.878,t0_mnv2,51.484,46.508,2,1
4.916,t0_mnv2,76.043,38.630,1,1
4.967,t0_mnv2,125.458,50.168,0,1
5.196,t0_mnv2,39.100,37.322,0,1
5.505,t0_mnv2,38.595,35.588,0,1
5.680,t0_mnv2,41.954,37.924,0,1
5.726,t0_mnv2,45.668,41.077,0,1
5.898,t0_mnv2,39.385,35.858,2,1
5.934,t0_mnv2,74.544,35.481,2,1
5.973,t0_mnv2,104.729,39.430,1,1
6.009,t0_mnv2,77.548,35.595,1,1
6.050,t0_mnv2,52.990,40.742,1,1
6.085,t0_mnv2,63.186,35.476,1,1
6.124,t0_mnv2,43.163,38.342,1,1
6.171,t0_mnv2,66.264,47.485,0,1
6.257,t0_mnv2,36.355,35.089,2,1
6.293,t0_mnv2,66.211,35.689,2,1
6.330,t0_mnv2,84.490,37.924,1,1
6.369,t0_mnv2,98.197,38.354,0,1
6.485,t0_mnv2,36.975,35.495,1,1
6.520,t0_mnv2,45.000,35.105,1,1
6.557,t0_mnv2,69.703,36.817,0,1
6.597,t0_mnv2,36.814,34.863,0,1
6.698,t0_mnv2,37.988,34.643,1,1
6.732,t0_mnv2,60.432,34.773,1,1
6.771,t0_mnv2,45.514,38.240,0,1
6.892,t0_mnv2,35.552,34.947,0,1
7.040,t0_mnv2,42.137,41.885,1,1
7.078,t0_mnv2,52.482,38.709,1,1
7.116,t0_mnv2,63.115,37.748,0,1
7.253,t0_mnv2,35.656,35.242,1,1
7.288,t0_mnv2,57.991,35.132,1,1
7.322,t0_mnv2,42.557,34.439,0,1
7.425,t0_mnv2,44.029,41.872,1,1
7.471,t0_mnv2,57.482,46.619,2,1
7.512,t0_mnv2,80.328,40.453,1,1
7.558,t0_mnv2,118.623,45.835,0,1
7.793,t0_mnv2,42.452,37.720,0,1
7.835,t0_mnv2,37.348,36.214,0,1
7.929,t0_mnv2,40.230,38.723,2,1
7.963,t0_mnv2,50.452,34.409,1,1
8.000,t0_mnv2,84.866,36.139,1,1
8.039,t0_mnv2,74.903,39.234,1,1
8.084,t0_mnv2,60.973,45.408,0,1
8.402,t0_mnv2,43.590,39.223,1,1
8.438,t0_mnv2,69.159,35.349,2,1
8.474,t0_mnv2,65.042,36.015,1,1
8.517,t0_mnv2,104.110,43.555,0,1
8.827,t0_mnv2,38.522,36.784,1,1
8.870,t0_mnv2,63.348,42.595,0,1
9.018,t0_mnv2,35.582,35.445,0,1
9.060,t0_mnv2,38.590,36.301,0,1
9.104,t0_mnv2,41.980,39.626,0,1
9.179,t0_mnv2,44.560,39.637,0,1
9.569,t0_mnv2,44.545,40.915,0,1
9.976,t0_mnv2,39.454,34.997,1,1
10.011,t0_mnv2,61.457,34.709,0,1
10.067,t0_mnv2,40.259,35.216,0,1
10.243,t0_mnv2,36.158,34.789,2,1
10.278,t0_mnv2,68.088,35.353,1,1
10.313,t0_mnv2,98.808,35.161,0,1
10.440,t0_mnv2,35.927,35.267,0,1
10.551,t0_mnv2,37.160,35.237,0,1
10.805,t0_mnv2,43.681,40.744,1,1
10.843,t0_mnv2,57.907,37.742,1,1
10.877,t0_mnv2,55.400,34.516,0,1
10.973,t0_mnv2,49.917,44.840,1,1
11.010,t0_mnv2,41.778,37.001,0,1
11.183,t0_mnv2,44.542,41.915,1,1
11.224,t0_mnv2,63.597,40.712,1,1
11.264,t0_mnv2,49.707,39.794,0,1
11.428,t0_mnv2,43.167,38.126,0,1
11.675,t0_mnv2,40.262,38.430,0,1
11.797,t0_mnv2,45.403,41.703,0,1
11.877,t0_mnv2,34.807,34.616,0,1
11.964,t0_mnv2,42.657,41.317,0,1
12.060,t0_mnv2,36.507,35.310,2,1
12.095,t0_mnv2,48.784,35.230,2,1
12.130,t0_mnv2,79.582,34.548,2,1
