t_s,tenant,latency_ms,service_ms,qdepth,warmup
0.227,t1_resnet18,145.375,145.338,0,1
0.443,t1_resnet18,135.218,134.772,0,1
0.685,t1_resnet18,137.008,135.752,0,1
1.780,t1_resnet18,195.445,190.897,0,1
3.225,t1_resnet18,169.052,164.800,0,1
3.730,t1_resnet18,177.861,175.254,3,1
3.909,t1_resnet18,316.272,179.664,3,1
4.087,t1_resnet18,452.067,177.469,2,1
4.266,t1_resnet18,609.077,179.075,2,1
4.415,t1_resnet18,583.759,149.620,1,1
4.586,t1_resnet18,473.830,170.111,0,1
5.187,t1_resnet18,152.319,151.621,0,1
5.725,t1_resnet18,140.538,137.830,0,1
6.726,t1_resnet18,137.527,134.753,0,1
7.086,t1_resnet18,171.296,167.696,1,1
7.220,t1_resnet18,246.826,133.962,0,1
7.645,t1_resnet18,153.080,151.365,0,1
7.812,t1_resnet18,138.753,136.643,0,1
8.086,t1_resnet18,146.530,146.002,0,1
8.481,t1_resnet18,143.528,141.858,0,1
9.067,t1_resnet18,138.630,134.914,1,1
9.202,t1_resnet18,175.241,135.448,0,1
10.261,t1_resnet18,141.139,137.594,0,1
10.565,t1_resnet18,148.637,146.122,0,1
10.983,t1_resnet18,135.970,134.377,0,1
11.144,t1_resnet18,130.132,129.962,1,1
11.285,t1_resnet18,261.475,141.521,0,1
13.594,t1_resnet18,143.259,140.980,1,1
13.735,t1_resnet18,193.028,141.634,0,1
14.020,t1_resnet18,143.404,142.683,0,1
14.326,t1_resnet18,138.962,138.431,0,1
14.742,t1_resnet18,134.727,132.347,0,1
15.732,t1_resnet18,151.852,150.156,0,1
16.511,t1_resnet18,152.286,150.408,1,1
16.668,t1_resnet18,188.417,157.643,1,1
16.801,t1_resnet18,221.488,132.753,1,1
16.958,t1_resnet18,246.955,157.225,1,1
17.098,t1_resnet18,220.725,139.494,0,1
17.277,t1_resnet18,140.742,138.337,0,1
19.515,t1_resnet18,141.250,139.479,0,1
19.922,t1_resnet18,158.669,154.014,1,1
20.058,t1_resnet18,242.516,136.079,1,0
20.198,t1_resnet18,222.325,140.725,1,0
20.335,t1_resnet18,214.843,136.745,0,0
20.596,t1_resnet18,167.852,167.112,3,0
20.735,t1_resnet18,238.436,139.660,2,0
20.865,t1_resnet18,355.982,129.928,1,0
21.010,t1_resnet18,484.723,144.748,0,0
21.182,t1_resnet18,155.560,151.939,0,0
21.428,t1_resnet18,141.282,139.999,0,0
22.055,t1_resnet18,156.982,156.123,1,0
22.203,t1_resnet18,299.001,147.635,0,0
22.880,t1_resnet18,134.517,129.871,0,0
23.129,t1_resnet18,149.404,148.129,0,0
24.031,t1_resnet18,147.770,146.568,0,0
24.626,t1_resnet18,144.035,139.134,0,0
25.081,t1_resnet18,134.168,131.932,0,0
25.405,t1_resnet18,167.951,166.934,0,0
27.276,t1_resnet18,131.148,130.685,0,0
27.585,t1_resnet18,144.776,141.660,1,0
27.749,t1_resnet18,177.601,163.808,0,0
27.971,t1_resnet18,150.725,146.445,0,0
29.189,t1_resnet18,140.242,139.197,0,0
29.583,t1_resnet18,149.256,146.087,0,0
30.558,t1_resnet18,166.583,165.430,0,0
30.810,t1_resnet18,140.375,139.929,0,0
31.518,t1_resnet18,156.673,151.784,1,0
31.657,t1_resnet18,232.707,138.009,1,0
31.803,t1_resnet18,243.673,145.970,0,0
32.744,t1_resnet18,140.872,136.232,0,0
33.157,t1_resnet18,148.885,144.938,0,0
33.373,t1_resnet18,133.676,130.006,0,0
33.796,t1_resnet18,137.365,135.133,1,0
33.926,t1_resnet18,174.571,129.925,0,0
35.486,t1_resnet18,139.248,137.232,2,0
35.627,t1_resnet18,223.768,140.441,1,0
35.769,t1_resnet18,363.818,142.549,0,0
36.386,t1_resnet18,168.293,166.635,0,0
36.738,t1_resnet18,138.129,134.417,0,0
37.172,t1_resnet18,154.114,150.367,1,0
37.307,t1_resnet18,231.148,134.788,0,0
38.903,t1_resnet18,133.015,132.845,0,0
39.639,t1_resnet18,145.565,144.159,0,0
40.128,t1_resnet18,181.051,180.075,0,0
40.434,t1_resnet18,134.516,133.748,1,0
40.587,t1_resnet18,239.653,153.311,0,0
41.066,t1_resnet18,135.974,134.341,0,0
41.595,t1_resnet18,137.190,132.367,1,0
41.743,t1_resnet18,170.763,147.750,1,0
41.898,t1_resnet18,166.104,155.308,0,0
42.743,t1_resnet18,153.737,149.791,1,0
42.891,t1_resnet18,267.502,147.251,1,0
43.046,t1_resnet18,268.249,155.684,0,0
45.144,t1_resnet18,140.293,138.798,0,0
46.014,t1_resnet18,158.475,154.190,0,0
46.779,t1_resnet18,139.712,137.524,0,0
46.938,t1_resnet18,144.845,143.741,0,0
47.109,t1_resnet18,133.797,129.962,0,0
47.923,t1_resnet18,137.489,136.269,1,0
48.066,t1_resnet18,175.395,142.494,0,0
49.465,t1_resnet18,152.762,148.608,1,0
49.600,t1_resnet18,212.506,135.660,0,0
49.768,t1_resnet18,152.656,147.815,1,0
49.906,t1_resnet18,245.950,137.308,0,0
50.427,t1_resnet18,145.777,141.593,1,0
50.565,t1_resnet18,248.747,137.919,0,0
51.292,t1_resnet18,132.709,130.988,0,0
51.460,t1_resnet18,161.996,157.278,0,0
52.570,t1_resnet18,133.088,132.136,0,0
53.449,t1_resnet18,169.451,168.290,0,0
53.848,t1_resnet18,142.879,141.562,0,0
55.357,t1_resnet18,173.177,172.672,1,0
55.490,t1_resnet18,298.109,132.699,0,0
56.083,t1_resnet18,140.292,137.944,0,0
56.948,t1_resnet18,143.944,141.066,0,0
57.118,t1_resnet18,137.236,133.821,0,0
57.428,t1_resnet18,137.801,133.120,0,0
58.057,t1_resnet18,150.821,147.516,0,0
58.367,t1_resnet18,138.672,138.252,1,0
58.504,t1_resnet18,186.991,136.691,0,0
58.957,t1_resnet18,135.643,134.416,0,0
59.137,t1_resnet18,146.482,145.241,0,0
59.351,t1_resnet18,139.679,137.917,1,0
59.498,t1_resnet18,200.323,146.840,0,0
60.088,t1_resnet18,155.018,153.262,0,0
60.454,t1_resnet18,142.411,138.802,0,0
60.672,t1_resnet18,146.005,141.732,1,0
60.812,t1_resnet18,140.839,139.811,1,0
60.946,t1_resnet18,185.839,134.060,0,0
61.137,t1_resnet18,175.384,171.162,0,0
61.643,t1_resnet18,155.577,155.224,0,0
61.920,t1_resnet18,140.035,135.248,0,0
62.603,t1_resnet18,131.721,131.195,1,0
62.738,t1_resnet18,156.416,135.433,0,0
64.029,t1_resnet18,149.129,147.033,0,0
64.329,t1_resnet18,135.129,133.468,1,0
64.470,t1_resnet18,205.204,140.891,0,0
64.625,t1_resnet18,135.870,134.656,0,0
65.415,t1_resnet18,168.036,166.501,0,0
65.837,t1_resnet18,146.588,144.344,2,0
65.973,t1_resnet18,239.994,135.586,1,0
66.143,t1_resnet18,330.361,169.905,0,0
66.414,t1_resnet18,145.998,144.529,0,0
66.556,t1_resnet18,139.580,136.183,1,0
66.693,t1_resnet18,247.345,137.384,0,0
68.556,t1_resnet18,137.534,134.586,0,0
70.458,t1_resnet18,131.433,130.681,0,0
70.789,t1_resnet18,154.509,153.992,0,0
71.319,t1_resnet18,138.054,135.727,0,0
71.567,t1_resnet18,143.397,141.732,0,0
71.954,t1_resnet18,145.205,143.552,0,0
72.563,t1_resnet18,141.280,138.719,0,0
72.735,t1_resnet18,159.257,156.097,0,0
72.916,t1_resnet18,136.129,135.594,0,0
73.312,t1_resnet18,135.015,133.305,1,0
73.451,t1_resnet18,177.344,139.179,0,0
74.356,t1_resnet18,149.309,144.839,0,0
74.704,t1_resnet18,140.336,136.011,0,0
75.011,t1_resnet18,131.437,129.990,1,0
75.141,t1_resnet18,143.584,130.052,1,0
75.273,t1_resnet18,212.289,131.535,2,0
75.403,t1_resnet18,244.840,130.125,1,0
75.555,t1_resnet18,287.364,152.187,0,0
76.273,t1_resnet18,144.942,140.741,0,0
76.958,t1_resnet18,137.148,134.763,0,0
77.693,t1_resnet18,170.254,168.010,0,0
77.957,t1_resnet18,138.347,136.836,0,0
78.635,t1_resnet18,160.167,155.581,1,0
78.793,t1_resnet18,163.137,158.890,0,0
79.599,t1_resnet18,136.007,133.092,1,0
79.732,t1_resnet18,249.529,132.965,0,0
80.964,t1_resnet18,150.489,147.128,1,0
81.105,t1_resnet18,246.679,141.814,0,0
81.349,t1_resnet18,148.064,147.257,0,0
81.832,t1_resnet18,139.191,138.974,2,0
81.988,t1_resnet18,260.624,156.140,2,0
82.132,t1_resnet18,347.422,143.873,1,0
82.274,t1_resnet18,351.948,141.070,0,0
82.547,t1_resnet18,139.811,136.823,0,0
83.201,t1_resnet18,134.477,131.567,0,0
83.612,t1_resnet18,152.755,148.283,0,0
83.828,t1_resnet18,133.992,130.023,0,0
84.036,t1_resnet18,148.448,146.702,2,0
84.194,t1_resnet18,254.850,158.178,3,0
84.328,t1_resnet18,371.405,133.824,2,0
84.463,t1_resnet18,410.857,135.062,1,0
84.596,t1_resnet18,413.877,133.692,0,0
84.997,t1_resnet18,136.814,132.334,1,0
85.130,t1_resnet18,168.031,133.065,0,0
85.273,t1_resnet18,142.027,137.762,0,0
85.694,t1_resnet18,146.463,143.083,0,0
86.068,t1_resnet18,172.963,169.645,0,0
86.631,t1_resnet18,137.069,133.137,0,0
86.804,t1_resnet18,161.237,158.244,1,0
86.951,t1_resnet18,276.968,146.204,0,0
87.729,t1_resnet18,139.561,136.447,1,0
87.876,t1_resnet18,180.238,146.675,0,0
89.062,t1_resnet18,138.901,134.525,0,0
89.493,t1_resnet18,136.667,132.951,0,0
89.933,t1_resnet18,147.055,143.056,1,0
90.071,t1_resnet18,197.288,138.294,1,0
90.205,t1_resnet18,241.057,133.518,0,0
90.406,t1_resnet18,138.647,135.534,0,0
90.981,t1_resnet18,148.281,144.775,0,0
91.171,t1_resnet18,138.374,133.687,0,0
91.538,t1_resnet18,138.296,134.299,1,0
91.671,t1_resnet18,187.258,132.723,0,0
91.934,t1_resnet18,151.386,146.750,0,0
92.126,t1_resnet18,139.304,136.268,1,0
92.259,t1_resnet18,174.477,132.882,1,0
92.398,t1_resnet18,201.944,138.960,0,0
92.985,t1_resnet18,140.287,137.123,0,0
94.147,t1_resnet18,150.461,150.068,0,0
94.292,t1_resnet18,136.505,134.737,0,0
94.473,t1_resnet18,139.401,135.407,1,0
94.611,t1_resnet18,140.639,137.141,1,0
94.746,t1_resnet18,247.144,135.714,0,0
95.287,t1_resnet18,137.047,135.756,0,0
96.492,t1_resnet18,134.329,132.495,0,0
96.769,t1_resnet18,141.304,139.894,3,0
96.907,t1_resnet18,275.820,137.903,2,0
97.041,t1_resnet18,321.091,134.524,1,0
97.173,t1_resnet18,422.166,131.514,0,0
97.385,t1_resnet18,164.872,161.250,0,0
97.629,t1_resnet18,133.350,133.255,0,0
98.023,t1_resnet18,138.882,135.948,0,0
99.231,t1_resnet18,139.178,135.226,0,0
99.705,t1_resnet18,160.422,156.196,0,0
100.228,t1_resnet18,154.858,153.491,0,0
100.575,t1_resnet18,146.104,144.348,2,0
100.712,t1_resnet18,244.639,136.918,1,0
100.866,t1_resnet18,348.737,153.983,0,0
101.448,t1_resnet18,133.218,130.465,0,0
101.954,t1_resnet18,151.106,146.335,1,0
102.101,t1_resnet18,247.025,147.741,0,0
102.597,t1_resnet18,139.654,136.575,0,0
102.885,t1_resnet18,143.354,140.883,1,0
103.016,t1_resnet18,188.087,131.436,0,0
103.574,t1_resnet18,134.760,132.814,0,0
104.101,t1_resnet18,168.982,167.084,2,0
104.251,t1_resnet18,197.073,150.616,1,0
104.382,t1_resnet18,309.950,130.336,0,0
105.597,t1_resnet18,132.555,132.260,0,0
106.580,t1_resnet18,140.964,138.606,1,0
106.735,t1_resnet18,163.893,155.820,1,0
106.868,t1_resnet18,245.980,132.845,0,0
107.010,t1_resnet18,137.202,137.062,0,0
107.597,t1_resnet18,139.292,135.545,1,0
107.728,t1_resnet18,224.051,131.204,0,0
108.184,t1_resnet18,140.328,137.966,0,0
108.363,t1_resnet18,153.005,148.647,0,0
109.268,t1_resnet18,140.961,136.542,0,0
109.559,t1_resnet18,143.073,139.402,0,0
110.057,t1_resnet18,144.352,143.286,0,0
110.293,t1_resnet18,138.874,134.880,0,0
111.335,t1_resnet18,144.047,141.156,0,0
112.485,t1_resnet18,146.195,141.496,0,0
113.185,t1_resnet18,140.005,138.181,1,0
113.336,t1_resnet18,165.025,150.744,0,0
114.738,t1_resnet18,139.451,135.246,0,0
115.280,t1_resnet18,131.772,131.175,1,0
115.412,t1_resnet18,157.148,132.471,0,0
115.764,t1_resnet18,136.574,134.394,1,0
115.901,t1_resnet18,178.774,136.407,1,0
116.040,t1_resnet18,152.056,139.035,1,0
116.173,t1_resnet18,246.728,132.920,1,0
116.326,t1_resnet18,164.242,153.676,0,0
117.354,t1_resnet18,135.265,134.306,0,0
117.644,t1_resnet18,133.967,133.055,0,0
118.157,t1_resnet18,152.115,147.917,0,0
118.377,t1_resnet18,135.089,134.158,0,0
118.673,t1_resnet18,138.809,138.776,1,0
118.813,t1_resnet18,273.002,140.537,0,0
118.969,t1_resnet18,146.163,141.121,0,0
119.566,t1_resnet18,130.892,130.233,0,0
120.284,t1_resnet18,142.350,141.193,1,0
120.420,t1_resnet18,266.163,135.884,0,0
121.186,t1_resnet18,137.896,137.268,0,0
121.421,t1_resnet18,151.335,148.549,0,0
121.804,t1_resnet18,133.618,130.168,0,0
123.433,t1_resnet18,134.334,130.618,0,0
123.998,t1_resnet18,138.653,135.293,0,0
124.324,t1_resnet18,163.085,158.527,0,0
124.558,t1_resnet18,142.845,138.085,1,0
124.696,t1_resnet18,217.096,138.531,0,0
124.994,t1_resnet18,131.563,130.185,0,0
125.663,t1_resnet18,181.667,177.659,1,0
125.813,t1_resnet18,204.016,149.836,0,0
126.115,t1_resnet18,137.702,135.559,0,0
126.259,t1_resnet18,141.954,138.649,2,0
126.398,t1_resnet18,206.232,139.264,1,0
126.528,t1_resnet18,332.393,129.860,0,0
126.806,t1_resnet18,131.252,131.008,0,0
127.564,t1_resnet18,136.248,131.431,0,0
130.141,t1_resnet18,180.943,178.600,1,0
130.289,t1_resnet18,297.452,148.412,0,0
130.470,t1_resnet18,145.967,145.225,0,0
130.696,t1_resnet18,143.117,140.367,1,0
130.828,t1_resnet18,170.228,131.211,0,0
131.597,t1_resnet18,153.433,151.968,0,0
131.793,t1_resnet18,153.975,150.691,0,0
132.053,t1_resnet18,136.910,133.341,0,0
132.704,t1_resnet18,134.923,130.552,0,0
132.971,t1_resnet18,143.619,140.034,0,0
133.811,t1_resnet18,143.785,141.741,1,0
133.970,t1_resnet18,208.332,159.172,0,0
134.335,t1_resnet18,136.575,132.549,0,0
134.651,t1_resnet18,140.937,138.159,0,0
135.928,t1_resnet18,163.827,158.965,0,0
136.318,t1_resnet18,142.559,141.593,0,0
136.667,t1_resnet18,140.011,136.940,0,0
137.505,t1_resnet18,147.432,144.337,0,0
137.839,t1_resnet18,190.684,187.650,2,0
137.976,t1_resnet18,308.348,137.056,1,0
138.133,t1_resnet18,396.488,156.868,0,0
138.454,t1_resnet18,142.576,138.486,0,0
139.522,t1_resnet18,139.070,136.584,0,0
139.720,t1_resnet18,158.850,157.532,1,0
