t_s,tenant,latency_ms,service_ms,qdepth,warmup
0.189,t2_squeezenet,33.150,31.253,0,1
0.252,t2_squeezenet,51.136,48.255,1,1
0.294,t2_squeezenet,65.590,42.219,0,1
0.355,t2_squeezenet,50.201,45.460,0,1
0.430,t2_squeezenet,40.701,38.968,0,1
0.629,t2_squeezenet,48.389,47.654,0,1
0.912,t2_squeezenet,39.490,34.952,0,1
0.948,t2_squeezenet,35.556,30.828,0,1
1.103,t2_squeezenet,36.216,33.543,0,1
1.256,t2_squeezenet,37.565,37.066,1,1
1.287,t2_squeezenet,30.854,30.542,0,1
1.404,t2_squeezenet,38.829,36.135,0,1
1.500,t2_squeezenet,34.283,29.845,0,1
1.626,t2_squeezenet,41.242,37.266,0,1
1.712,t2_squeezenet,41.777,40.436,1,1
1.749,t2_squeezenet,47.043,36.686,1,1
1.805,t2_squeezenet,67.900,56.111,0,1
1.840,t2_squeezenet,35.116,30.425,0,1
1.906,t2_squeezenet,37.324,35.007,0,1
1.945,t2_squeezenet,32.681,29.155,1,1
2.010,t2_squeezenet,69.109,64.916,2,1
2.082,t2_squeezenet,91.391,72.448,2,1
2.114,t2_squeezenet,120.442,31.640,2,1
2.190,t2_squeezenet,166.274,76.315,3,1
2.223,t2_squeezenet,123.354,32.800,2,1
2.296,t2_squeezenet,139.857,72.290,1,1
2.331,t2_squeezenet,169.174,35.198,0,1
2.406,t2_squeezenet,59.704,55.217,0,1
2.538,t2_squeezenet,32.880,30.073,0,1
2.644,t2_squeezenet,33.016,30.070,0,1
2.845,t2_squeezenet,31.783,29.179,0,1
3.188,t2_squeezenet,32.054,29.428,1,1
3.217,t2_squeezenet,43.313,29.181,0,1
3.542,t2_squeezenet,32.519,31.931,0,1
3.975,t2_squeezenet,35.650,33.591,1,1
4.014,t2_squeezenet,72.495,38.831,1,1
4.052,t2_squeezenet,39.537,37.813,0,1
4.647,t2_squeezenet,37.854,33.575,1,1
4.679,t2_squeezenet,62.328,31.445,2,1
4.711,t2_squeezenet,48.141,32.134,1,1
4.741,t2_squeezenet,64.600,30.519,0,1
4.800,t2_squeezenet,47.408,43.468,0,1
4.927,t2_squeezenet,35.758,34.842,1,1
4.959,t2_squeezenet,35.831,32.030,0,1
5.143,t2_squeezenet,34.225,32.791,0,1
5.208,t2_squeezenet,29.376,29.260,0,1
5.309,t2_squeezenet,34.727,29.917,1,1
5.338,t2_squeezenet,62.542,29.137,1,1
5.381,t2_squeezenet,57.976,42.632,0,1
5.488,t2_squeezenet,35.094,31.345,0,1
5.535,t2_squeezenet,32.216,32.144,1,1
5.568,t2_squeezenet,33.379,32.714,0,1
5.654,t2_squeezenet,35.471,35.088,1,1
5.685,t2_squeezenet,32.636,30.970,1,1
5.714,t2_squeezenet,33.672,29.308,1,1
5.743,t2_squeezenet,45.383,29.104,0,1
5.805,t2_squeezenet,34.534,31.034,0,1
5.902,t2_squeezenet,36.912,36.883,0,1
6.261,t2_squeezenet,36.069,34.916,0,1
6.332,t2_squeezenet,30.591,30.421,0,1
6.579,t2_squeezenet,34.419,29.620,0,1
6.719,t2_squeezenet,38.508,33.761,0,1
6.900,t2_squeezenet,32.748,29.134,0,1
6.972,t2_squeezenet,38.299,36.272,1,1
7.008,t2_squeezenet,46.681,35.663,0,1
7.105,t2_squeezenet,34.508,31.899,0,1
7.292,t2_squeezenet,29.759,29.155,0,1
7.374,t2_squeezenet,46.339,41.968,1,1
7.414,t2_squeezenet,50.460,39.948,0,1
7.501,t2_squeezenet,42.431,41.086,0,1
7.579,t2_squeezenet,33.837,32.006,0,1
7.656,t2_squeezenet,34.722,31.594,1,1
7.686,t2_squeezenet,31.658,29.833,0,1
7.746,t2_squeezenet,37.188,34.604,0,1
7.857,t2_squeezenet,39.356,35.927,0,1
8.013,t2_squeezenet,45.759,44.207,0,1
8.067,t2_squeezenet,36.944,33.633,0,1
8.107,t2_squeezenet,32.270,30.013,0,1
8.207,t2_squeezenet,36.414,33.660,1,1
8.240,t2_squeezenet,66.767,32.982,1,1
8.269,t2_squeezenet,38.580,29.137,0,1
8.324,t2_squeezenet,38.976,34.811,0,1
8.470,t2_squeezenet,40.253,39.332,0,1
8.507,t2_squeezenet,33.049,32.532,0,1
8.648,t2_squeezenet,33.942,29.260,2,1
8.677,t2_squeezenet,61.424,29.108,1,1
8.707,t2_squeezenet,81.187,30.096,0,1
8.787,t2_squeezenet,44.695,39.749,0,1
8.840,t2_squeezenet,33.359,32.346,0,1
8.912,t2_squeezenet,33.370,31.941,0,1
9.029,t2_squeezenet,36.379,35.671,1,1
9.060,t2_squeezenet,61.224,30.581,0,1
9.124,t2_squeezenet,38.078,33.735,1,1
9.153,t2_squeezenet,51.908,29.109,0,1
9.229,t2_squeezenet,30.626,30.069,1,1
9.258,t2_squeezenet,45.656,29.131,0,1
9.593,t2_squeezenet,34.988,34.041,0,1
9.640,t2_squeezenet,32.928,31.841,0,1
9.680,t2_squeezenet,32.930,29.513,0,1
9.760,t2_squeezenet,33.170,29.406,1,1
9.789,t2_squeezenet,52.132,29.106,0,1
9.829,t2_squeezenet,29.724,29.543,0,1
9.879,t2_squeezenet,34.147,29.559,0,1
10.060,t2_squeezenet,33.169,29.174,0,1
10.110,t2_squeezenet,30.863,29.703,0,1
10.447,t2_squeezenet,33.091,29.194,0,1
10.532,t2_squeezenet,33.188,29.129,0,1
10.589,t2_squeezenet,34.353,32.162,2,1
10.621,t2_squeezenet,52.249,31.535,1,1
10.653,t2_squeezenet,77.467,31.817,0,1
10.713,t2_squeezenet,39.803,34.850,0,1
10.764,t2_squeezenet,39.923,36.242,0,1
10.902,t2_squeezenet,42.613,41.331,0,1
11.010,t2_squeezenet,32.329,31.630,0,1
11.054,t2_squeezenet,30.489,29.068,0,1
11.090,t2_squeezenet,32.742,31.635,2,1
11.127,t2_squeezenet,53.980,36.192,1,1
11.162,t2_squeezenet,88.965,35.502,1,1
11.198,t2_squeezenet,40.632,35.285,0,1
11.712,t2_squeezenet,43.686,39.173,0,1
11.896,t2_squeezenet,40.294,36.709,1,1
11.926,t2_squeezenet,41.209,30.133,0,1
12.284,t2_squeezenet,36.600,34.368,0,1
12.320,t2_squeezenet,31.237,30.801,0,1
12.475,t2_squeezenet,34.555,33.989,1,1
12.512,t2_squeezenet,52.326,36.961,2,1
12.548,t2_squeezenet,64.441,36.133,1,1
12.584,t2_squeezenet,73.793,35.861,0,1
12.771,t2_squeezenet,32.119,29.361,0,1
12.907,t2_squeezenet,29.593,29.278,2,1
12.936,t2_squeezenet,55.768,29.055,2,1
12.973,t2_squeezenet,85.014,37.025,1,1
13.004,t2_squeezenet,92.468,31.093,0,1
13.322,t2_squeezenet,32.659,29.147,1,1
13.352,t2_squeezenet,62.217,29.832,0,1
13.486,t2_squeezenet,32.852,32.763,2,1
13.520,t2_squeezenet,45.990,34.155,1,1
13.555,t2_squeezenet,80.803,35.444,0,1
13.595,t2_squeezenet,38.366,34.840,0,1
13.802,t2_squeezenet,30.065,29.325,2,1
13.831,t2_squeezenet,56.232,29.080,2,1
13.868,t2_squeezenet,73.317,37.178,1,1
13.900,t2_squeezenet,86.664,31.930,2,1
13.930,t2_squeezenet,61.740,30.484,1,1
13.962,t2_squeezenet,87.681,31.500,2,1
13.996,t2_squeezenet,53.828,33.704,1,1
14.030,t2_squeezenet,83.004,34.742,0,1
14.114,t2_squeezenet,34.831,33.277,0,1
14.256,t2_squeezenet,32.022,29.810,1,1
14.290,t2_squeezenet,51.702,34.827,3,1
14.323,t2_squeezenet,54.095,32.310,2,1
14.354,t2_squeezenet,85.340,31.358,2,1
14.386,t2_squeezenet,110.125,31.976,1,1
14.420,t2_squeezenet,80.811,33.747,0,1
14.640,t2_squeezenet,34.879,32.301,1,1
14.671,t2_squeezenet,58.382,30.861,1,1
14.702,t2_squeezenet,41.688,31.842,0,1
14.741,t2_squeezenet,36.962,33.660,0,1
14.806,t2_squeezenet,30.446,29.202,1,1
14.835,t2_squeezenet,51.118,29.081,0,1
14.900,t2_squeezenet,34.246,29.470,0,1
15.054,t2_squeezenet,37.468,33.028,1,1
15.085,t2_squeezenet,52.574,30.516,0,1
15.236,t2_squeezenet,34.745,29.816,0,1
15.399,t2_squeezenet,41.362,36.900,1,1
15.436,t2_squeezenet,49.517,36.199,1,1
15.471,t2_squeezenet,55.055,35.397,0,1
15.603,t2_squeezenet,37.352,35.457,0,1
16.128,t2_squeezenet,48.686,45.307,1,1
16.167,t2_squeezenet,51.375,38.915,0,1
16.238,t2_squeezenet,38.243,35.259,0,1
16.699,t2_squeezenet,34.414,30.474,1,1
16.728,t2_squeezenet,60.338,29.651,0,1
16.910,t2_squeezenet,47.565,44.446,0,1
16.973,t2_squeezenet,41.382,37.924,1,1
17.005,t2_squeezenet,59.582,31.988,0,1
17.053,t2_squeezenet,43.702,43.008,1,1
17.090,t2_squeezenet,49.628,36.988,1,1
17.122,t2_squeezenet,32.310,32.058,0,1
17.165,t2_squeezenet,35.930,32.024,0,1
17.293,t2_squeezenet,37.217,32.236,0,1
17.363,t2_squeezenet,46.855,44.231,1,1
17.410,t2_squeezenet,49.971,46.989,0,1
17.794,t2_squeezenet,31.652,30.024,0,1
17.921,t2_squeezenet,39.391,35.335,2,1
17.950,t2_squeezenet,37.114,29.132,2,1
17.985,t2_squeezenet,64.405,34.481,1,1
18.022,t2_squeezenet,85.876,36.966,3,1
18.053,t2_squeezenet,66.044,31.632,2,1
18.083,t2_squeezenet,77.575,29.353,1,1
18.112,t2_squeezenet,92.250,29.065,0,1
18.162,t2_squeezenet,33.764,29.793,0,1
18.469,t2_squeezenet,33.452,29.178,1,1
18.498,t2_squeezenet,53.246,29.042,1,1
18.528,t2_squeezenet,31.587,29.971,0,1
18.674,t2_squeezenet,34.139,29.825,1,1
18.704,t2_squeezenet,48.786,29.858,2,1
18.733,t2_squeezenet,50.856,29.104,1,1
18.763,t2_squeezenet,70.462,29.444,0,1
19.035,t2_squeezenet,31.778,29.939,1,1
19.065,t2_squeezenet,49.933,29.963,0,1
19.115,t2_squeezenet,31.683,29.154,1,1
19.150,t2_squeezenet,47.700,35.249,0,1
19.240,t2_squeezenet,29.681,29.115,0,1
19.321,t2_squeezenet,40.423,35.746,0,1
19.414,t2_squeezenet,39.902,36.921,0,1
19.504,t2_squeezenet,31.521,29.067,0,1
19.584,t2_squeezenet,37.969,34.378,0,1
19.628,t2_squeezenet,29.890,29.083,0,1
19.744,t2_squeezenet,40.016,35.311,0,1
20.068,t2_squeezenet,31.765,29.996,0,0
20.130,t2_squeezenet,33.375,32.408,0,0
20.188,t2_squeezenet,35.581,31.677,0,0
20.254,t2_squeezenet,35.903,31.033,1,0
20.296,t2_squeezenet,55.063,41.692,2,0
20.334,t2_squeezenet,77.035,37.787,1,0
20.366,t2_squeezenet,73.836,31.840,0,0
20.423,t2_squeezenet,36.730,32.162,0,0
20.481,t2_squeezenet,35.739,32.634,0,0
20.682,t2_squeezenet,38.673,33.869,0,0
20.828,t2_squeezenet,34.604,34.283,2,0
20.865,t2_squeezenet,59.529,37.213,2,0
20.906,t2_squeezenet,92.290,40.900,1,0
20.953,t2_squeezenet,111.670,46.916,0,0
21.087,t2_squeezenet,42.210,37.386,1,0
21.118,t2_squeezenet,55.821,31.512,0,0
21.384,t2_squeezenet,45.817,42.811,0,0
21.527,t2_squeezenet,31.985,31.414,1,0
21.571,t2_squeezenet,63.513,44.086,1,0
21.608,t2_squeezenet,39.724,37.292,0,0
21.668,t2_squeezenet,33.663,29.049,0,0
21.708,t2_squeezenet,30.685,30.443,0,0
21.851,t2_squeezenet,40.397,36.082,2,0
21.886,t2_squeezenet,57.567,35.210,1,0
21.921,t2_squeezenet,72.824,34.579,0,0
21.982,t2_squeezenet,32.466,30.990,0,0
