t_s,tenant,latency_ms,service_ms,qdepth,warmup
0.129,t0_mnv2,41.966,40.783,0,1
0.203,t0_mnv2,47.531,43.422,2,1
0.248,t0_mnv2,51.487,44.595,2,1
0.297,t0_mnv2,99.777,49.482,3,1
0.350,t0_mnv2,104.973,52.636,2,1
0.396,t0_mnv2,137.061,46.115,1,1
0.446,t0_mnv2,159.119,49.718,1,1
0.494,t0_mnv2,79.642,48.440,0,1
0.543,t0_mnv2,40.888,38.449,0,1
0.583,t0_mnv2,37.453,35.123,0,1
0.724,t0_mnv2,39.447,34.622,1,1
0.758,t0_mnv2,40.628,34.367,0,1
0.811,t0_mnv2,45.869,42.061,0,1
0.945,t0_mnv2,40.102,38.533,0,1
1.040,t0_mnv2,36.238,34.515,0,1
1.108,t0_mnv2,37.996,36.860,0,1
1.296,t0_mnv2,40.071,36.617,0,1
1.346,t0_mnv2,36.884,34.849,0,1
1.386,t0_mnv2,36.582,34.467,1,1
1.420,t0_mnv2,55.845,34.744,1,1
1.456,t0_mnv2,66.895,35.672,0,1
1.705,t0_mnv2,70.924,65.933,0,1
1.795,t0_mnv2,61.991,59.848,1,1
1.850,t0_mnv2,95.674,55.205,2,1
1.906,t0_mnv2,59.767,55.377,1,1
1.946,t0_mnv2,98.622,40.158,2,1
2.035,t0_mnv2,98.399,88.887,2,1
2.126,t0_mnv2,180.208,91.133,5,1
2.208,t0_mnv2,202.900,82.284,5,1
2.298,t0_mnv2,207.844,89.391,6,1
2.348,t0_mnv2,251.695,49.935,6,1
2.432,t0_mnv2,322.081,84.117,6,1
2.509,t0_mnv2,391.757,76.959,5,1
2.547,t0_mnv2,401.545,37.804,4,1
2.633,t0_mnv2,395.996,86.162,4,1
2.716,t0_mnv2,439.558,82.937,3,1
2.808,t0_mnv2,466.035,91.936,3,1
2.859,t0_mnv2,485.783,51.075,5,1
2.922,t0_mnv2,364.306,63.064,4,1
3.009,t0_mnv2,246.426,87.252,4,1
3.100,t0_mnv2,290.327,90.753,4,1
3.152,t0_mnv2,313.161,51.661,5,1
