step,t_s,T_c,T_pred_c,freq_mhz,util_pct,solver_ms,mode,agg_duty,duty0,duty1,duty2
0,0.00,56.20,54.00,2400,100.0,0.00,admission,1.8013,0.6004,0.6004,0.6004
1,1.00,55.10,53.75,2400,45.3,0.14,admission,1.7463,0.5821,0.5821,0.5821
2,2.00,56.75,53.12,2400,46.8,0.20,admission,1.6088,0.5363,0.5363,0.5363
3,3.00,55.65,52.74,2400,46.3,0.11,admission,1.5263,0.5088,0.5088,0.5088
4,4.00,55.10,52.49,2400,43.8,0.06,admission,1.4713,0.4904,0.4904,0.4904
5,5.00,55.65,52.11,2400,42.6,0.06,admission,1.3888,0.4629,0.4629,0.4629
6,6.00,55.10,51.86,2400,40.8,0.05,admission,1.3338,0.4446,0.4446,0.4446
7,7.00,55.10,51.61,2400,39.6,0.06,admission,1.2788,0.4263,0.4263,0.4263
8,8.00,55.10,51.36,2400,37.4,0.06,admission,1.2238,0.4079,0.4079,0.4079
9,9.00,55.10,51.10,2400,36.5,0.06,admission,1.1688,0.3896,0.3896,0.3896
10,10.00,54.00,51.10,2400,34.5,0.06,admission,1.1688,0.3896,0.3896,0.3896
11,11.00,55.10,50.85,2400,34.9,0.06,admission,1.1138,0.3713,0.3713,0.3713
12,12.00,54.00,50.85,2400,32.8,0.05,admission,1.1138,0.3713,0.3713,0.3713
13,13.00,54.55,50.73,2400,32.8,0.06,admission,1.0863,0.3621,0.3621,0.3621
14,14.00,55.10,50.47,2400,32.0,0.05,admission,1.0313,0.3438,0.3438,0.3438
15,15.00,54.55,50.35,2400,30.9,0.05,admission,1.0038,0.3346,0.3346,0.3346
16,16.00,53.45,50.47,2400,30.0,0.06,admission,1.0313,0.3438,0.3438,0.3438
17,17.00,54.55,50.35,2400,30.6,0.06,admission,1.0038,0.3346,0.3346,0.3346
18,18.00,53.45,50.47,2400,30.5,0.05,admission,1.0313,0.3438,0.3438,0.3438
19,19.00,53.45,50.60,2400,30.9,0.05,admission,1.0588,0.3529,0.3529,0.3529
20,20.00,54.00,50.60,2400,31.4,0.05,admission,1.0588,0.3529,0.3529,0.3529
21,21.00,54.00,50.60,2400,31.7,0.05,admission,1.0588,0.3529,0.3529,0.3529
22,22.00,54.00,50.60,2400,31.7,0.06,admission,1.0588,0.3529,0.3529,0.3529
23,23.00,54.00,50.60,2400,31.4,0.05,admission,1.0588,0.3529,0.3529,0.3529
24,24.00,54.00,50.60,2400,31.5,0.05,admission,1.0588,0.3529,0.3529,0.3529
25,25.00,54.00,50.60,2400,31.8,0.05,admission,1.0588,0.3529,0.3529,0.3529
26,26.00,54.55,50.47,2400,31.9,0.06,admission,1.0313,0.3438,0.3438,0.3438
27,27.00,53.45,50.60,2400,31.3,0.05,admission,1.0588,0.3529,0.3529,0.3529
28,28.00,53.45,50.73,2400,32.1,0.70,admission,1.0863,0.3621,0.3621,0.3621
