t_s,tenant,latency_ms,service_ms,qdepth,warmup
1.021,t1_resnet18,172.761,169.269,1,1
1.262,t1_resnet18,301.261,241.345,1,1
1.447,t1_resnet18,276.539,184.976,3,1
1.673,t1_resnet18,398.979,225.431,3,1
1.959,t1_resnet18,625.805,286.406,3,1
2.256,t1_resnet18,833.083,297.457,4,1
2.534,t1_resnet18,975.700,277.073,6,1
2.817,t1_resnet18,1128.108,283.348,5,1
3.065,t1_resnet18,1101.808,247.858,8,1
3.387,t1_resnet18,1264.444,321.785,9,1
3.722,t1_resnet18,1416.576,335.649,11,1
4.051,t1_resnet18,1709.260,328.223,12,1
4.376,t1_resnet18,2032.868,324.962,11,1
4.717,t1_resnet18,1864.365,341.465,11,1
5.055,t1_resnet18,2170.206,337.546,10,1
5.390,t1_resnet18,2492.159,335.288,10,1
5.737,t1_resnet18,2789.366,346.944,10,1
6.124,t1_resnet18,2885.917,386.614,11,1
6.418,t1_resnet18,3092.557,293.878,13,1
6.819,t1_resnet18,3377.551,401.197,15,1
7.218,t1_resnet18,3738.281,399.383,14,1
7.524,t1_resnet18,4004.270,305.318,13,1
7.935,t1_resnet18,4185.406,411.096,13,1
8.343,t1_resnet18,4458.931,408.503,13,1
8.717,t1_resnet18,4002.305,373.508,16,1
9.130,t1_resnet18,3818.955,413.203,16,1
9.451,t1_resnet18,3726.855,320.903,16,1
9.930,t1_resnet18,4008.415,479.301,16,1
10.353,t1_resnet18,4430.742,422.971,18,1
10.735,t1_resnet18,4519.656,381.919,19,1
11.226,t1_resnet18,4974.960,490.378,20,1
11.617,t1_resnet18,5253.175,391.356,21,1
12.046,t1_resnet18,5531.180,428.441,20,1
12.438,t1_resnet18,5854.230,391.964,21,1
12.942,t1_resnet18,6133.273,504.594,23,1
13.395,t1_resnet18,5480.194,452.312,26,1
13.846,t1_resnet18,5788.742,450.682,28,1
14.342,t1_resnet18,5976.736,496.012,29,1
14.742,t1_resnet18,6227.554,400.775,29,1
15.246,t1_resnet18,6694.088,503.030,29,1
15.720,t1_resnet18,7013.782,474.701,30,1
16.235,t1_resnet18,7391.809,514.415,29,1
16.717,t1_resnet18,7316.216,482.432,30,1
17.231,t1_resnet18,7691.344,513.654,31,1
17.721,t1_resnet18,7767.824,490.382,32,1
18.231,t1_resnet18,8269.855,509.588,31,1
18.646,t1_resnet18,8354.344,414.821,30,1
19.228,t1_resnet18,8712.791,581.836,29,1
19.640,t1_resnet18,9001.325,412.549,29,1
20.218,t1_resnet18,9336.736,577.195,30,0
20.632,t1_resnet18,9724.335,414.625,31,0
21.140,t1_resnet18,9824.658,507.403,31,0
21.543,t1_resnet18,10169.736,403.156,32,0
22.115,t1_resnet18,9995.752,572.160,36,0
22.518,t1_resnet18,10319.274,402.752,39,0
23.030,t1_resnet18,10315.685,512.448,40,0
