t_s,tenant,latency_ms,service_ms,qdepth,warmup
0.147,t2_squeezenet,52.821,48.577,2,1
0.189,t2_squeezenet,67.182,41.702,2,1
0.235,t2_squeezenet,98.069,45.893,2,1
0.279,t2_squeezenet,96.827,44.499,1,1
0.326,t2_squeezenet,93.576,47.218,0,1
0.396,t2_squeezenet,47.612,43.779,0,1
0.567,t2_squeezenet,43.656,39.477,1,1
0.601,t2_squeezenet,53.494,33.876,0,1
0.683,t2_squeezenet,43.048,41.836,0,1
0.779,t2_squeezenet,47.786,44.816,1,1
0.825,t2_squeezenet,70.930,45.542,1,1
0.870,t2_squeezenet,51.090,45.711,0,1
0.919,t2_squeezenet,39.253,38.182,0,1
0.994,t2_squeezenet,44.352,44.265,0,1
1.050,t2_squeezenet,49.743,46.483,2,1
1.083,t2_squeezenet,63.474,32.700,2,1
1.113,t2_squeezenet,72.353,30.163,1,1
1.150,t2_squeezenet,68.580,37.235,2,1
1.180,t2_squeezenet,60.637,29.983,2,1
1.210,t2_squeezenet,64.121,29.889,3,1
1.247,t2_squeezenet,83.325,36.314,3,1
1.284,t2_squeezenet,90.434,37.199,3,1
1.320,t2_squeezenet,124.856,35.948,4,1
1.355,t2_squeezenet,141.722,35.155,3,1
1.392,t2_squeezenet,132.616,36.417,2,1
1.426,t2_squeezenet,133.583,34.563,2,1
1.462,t2_squeezenet,165.296,35.330,1,1
1.492,t2_squeezenet,84.587,30.336,0,1
1.546,t2_squeezenet,43.466,38.547,0,1
1.632,t2_squeezenet,66.168,60.115,0,1
1.726,t2_squeezenet,38.694,33.651,0,1
1.923,t2_squeezenet,30.008,29.883,1,1
1.952,t2_squeezenet,44.660,29.185,0,1
2.140,t2_squeezenet,30.165,29.957,0,1
2.414,t2_squeezenet,46.563,41.524,2,1
2.445,t2_squeezenet,76.632,31.306,1,1
2.490,t2_squeezenet,78.642,44.477,0,1
2.813,t2_squeezenet,41.518,39.387,3,1
2.851,t2_squeezenet,74.497,37.222,2,1
2.893,t2_squeezenet,89.269,42.638,2,1
2.971,t2_squeezenet,158.207,77.434,3,1
3.049,t2_squeezenet,189.491,78.589,2,1
3.082,t2_squeezenet,138.490,32.212,2,1
3.154,t2_squeezenet,190.353,72.603,2,1
3.193,t2_squeezenet,117.505,38.821,3,1
3.267,t2_squeezenet,149.251,73.476,3,1
3.350,t2_squeezenet,174.195,83.468,5,1
3.384,t2_squeezenet,207.606,34.312,5,1
3.459,t2_squeezenet,253.479,74.270,7,1
3.541,t2_squeezenet,257.441,82.546,8,1
3.589,t2_squeezenet,274.884,47.639,7,1
3.671,t2_squeezenet,338.172,82.211,6,1
3.733,t2_squeezenet,349.017,61.557,5,1
3.779,t2_squeezenet,374.783,46.050,5,1
3.865,t2_squeezenet,444.263,86.451,5,1
3.951,t2_squeezenet,519.319,85.270,5,1
4.040,t2_squeezenet,564.236,89.344,5,1
4.086,t2_squeezenet,553.127,46.160,4,1
4.172,t2_squeezenet,420.187,85.749,4,1
4.259,t2_squeezenet,461.364,87.101,5,1
4.343,t2_squeezenet,399.196,83.897,5,1
4.386,t2_squeezenet,360.245,42.665,5,1
4.469,t2_squeezenet,330.894,82.623,6,1
4.555,t2_squeezenet,375.243,86.516,7,1
4.645,t2_squeezenet,448.300,89.453,8,1
4.691,t2_squeezenet,428.635,46.446,8,1
4.757,t2_squeezenet,379.399,65.620,8,1
4.844,t2_squeezenet,426.701,86.903,8,1
4.887,t2_squeezenet,448.341,43.090,9,1
4.976,t2_squeezenet,480.554,89.590,11,1
5.066,t2_squeezenet,518.741,89.921,11,1
5.154,t2_squeezenet,558.152,87.526,12,1
5.242,t2_squeezenet,626.462,88.067,14,1
5.285,t2_squeezenet,632.890,42.599,14,1
5.372,t2_squeezenet,653.991,86.919,15,1
5.458,t2_squeezenet,651.092,86.601,16,1
5.548,t2_squeezenet,700.364,89.732,17,1
5.639,t2_squeezenet,763.601,90.327,18,1
5.681,t2_squeezenet,749.215,42.860,17,1
5.752,t2_squeezenet,817.944,70.326,16,1
5.841,t2_squeezenet,869.404,89.379,16,1
5.884,t2_squeezenet,879.567,43.015,16,1
5.974,t2_squeezenet,882.578,90.075,18,1
6.065,t2_squeezenet,946.451,90.745,19,1
6.162,t2_squeezenet,958.948,96.320,20,1
6.246,t2_squeezenet,1042.066,84.127,19,1
6.289,t2_squeezenet,1079.321,43.471,18,1
6.379,t2_squeezenet,1094.720,89.252,18,1
6.470,t2_squeezenet,1147.657,91.455,21,1
6.562,t2_squeezenet,1193.835,91.546,22,1
6.648,t2_squeezenet,1211.528,85.959,22,1
6.692,t2_squeezenet,1252.082,44.005,22,1
6.764,t2_squeezenet,1227.104,51.234,25,1
6.851,t2_squeezenet,1304.502,86.589,25,1
6.942,t2_squeezenet,1337.648,91.261,24,1
6.984,t2_squeezenet,1371.140,41.977,23,1
7.077,t2_squeezenet,1239.866,92.802,22,1
7.167,t2_squeezenet,1299.807,89.484,22,1
7.257,t2_squeezenet,1366.378,90.468,23,1
7.349,t2_squeezenet,1410.109,91.641,22,1
7.441,t2_squeezenet,1495.647,91.654,21,1
