t_s,tenant,latency_ms,service_ms,qdepth,warmup
0.128,t0_mnv2,40.233,39.900,0,1
0.202,t0_mnv2,45.695,42.960,2,1
0.246,t0_mnv2,49.601,44.529,2,1
0.298,t0_mnv2,100.225,51.846,3,1
0.350,t0_mnv2,104.062,51.272,2,1
0.401,t0_mnv2,141.619,51.596,1,1
0.450,t0_mnv2,162.848,48.912,1,1
0.499,t0_mnv2,83.591,48.632,0,1
0.546,t0_mnv2,42.917,41.553,0,1
0.585,t0_mnv2,38.893,34.551,0,1
0.721,t0_mnv2,35.819,34.613,1,1
0.755,t0_mnv2,39.064,34.401,0,1
0.807,t0_mnv2,43.513,41.259,0,1
0.946,t0_mnv2,42.010,37.764,0,1
1.042,t0_mnv2,39.169,35.093,0,1
1.108,t0_mnv2,40.134,36.077,0,1
1.294,t0_mnv2,39.523,38.652,0,1
1.344,t0_mnv2,35.925,34.442,0,1
1.384,t0_mnv2,36.293,35.136,1,1
1.419,t0_mnv2,55.791,34.946,1,1
1.454,t0_mnv2,66.686,35.463,0,1
1.712,t0_mnv2,81.161,78.278,0,1
1.797,t0_mnv2,66.560,64.296,1,1
1.859,t0_mnv2,103.828,62.004,2,1
1.917,t0_mnv2,70.608,58.125,1,1
1.976,t0_mnv2,128.419,59.152,2,1
2.037,t0_mnv2,100.635,61.390,2,1
2.098,t0_mnv2,152.489,60.477,3,1
2.157,t0_mnv2,151.921,59.018,5,1
2.222,t0_mnv2,132.518,65.108,4,1
2.288,t0_mnv2,196.098,65.682,5,1
2.354,t0_mnv2,250.821,65.712,5,1
2.417,t0_mnv2,306.608,63.086,5,1
2.475,t0_mnv2,337.188,58.633,4,1
2.520,t0_mnv2,289.539,44.086,3,1
2.565,t0_mnv2,295.701,45.604,3,1
2.611,t0_mnv2,277.759,45.426,2,1
2.671,t0_mnv2,306.237,59.898,1,1
2.730,t0_mnv2,182.108,59.804,0,1
2.815,t0_mnv2,61.951,59.587,1,1
2.881,t0_mnv2,82.653,65.946,2,1
2.939,t0_mnv2,109.921,57.220,1,1
2.991,t0_mnv2,149.618,51.992,1,1
3.034,t0_mnv2,64.376,43.253,1,1
3.071,t0_mnv2,49.827,36.488,0,1
3.154,t0_mnv2,47.611,43.397,1,1
3.199,t0_mnv2,70.305,44.699,1,1
3.240,t0_mnv2,73.430,40.879,0,1
3.323,t0_mnv2,56.072,52.231,0,1
3.418,t0_mnv2,55.990,54.332,2,1
