t_s,tenant,latency_ms,service_ms,qdepth,warmup
1.007,t1_resnet18,158.831,154.968,1,1
1.262,t1_resnet18,301.196,255.332,1,1
1.471,t1_resnet18,299.958,208.430,3,1
1.643,t1_resnet18,369.072,172.147,3,1
1.821,t1_resnet18,487.406,177.884,3,1
2.035,t1_resnet18,611.369,214.088,3,1
2.230,t1_resnet18,671.880,195.035,3,1
2.436,t1_resnet18,746.153,205.887,5,1
2.641,t1_resnet18,676.878,204.906,4,1
2.819,t1_resnet18,693.517,178.406,3,1
3.035,t1_resnet18,725.288,215.367,6,1
3.253,t1_resnet18,907.228,218.329,6,1
3.531,t1_resnet18,1181.522,278.220,9,1
3.834,t1_resnet18,974.275,302.826,9,1
4.146,t1_resnet18,1254.777,312.232,9,1
4.432,t1_resnet18,1526.742,285.373,8,1
4.751,t1_resnet18,1795.646,318.705,8,1
5.061,t1_resnet18,1815.041,310.108,7,1
5.343,t1_resnet18,2010.026,282.253,7,1
5.654,t1_resnet18,2204.857,310.963,6,1
6.009,t1_resnet18,2520.752,354.657,8,1
6.290,t1_resnet18,2762.500,281.066,9,1
6.558,t1_resnet18,2800.711,268.071,11,1
6.910,t1_resnet18,3017.620,351.888,11,1
7.219,t1_resnet18,2513.653,309.365,10,1
7.460,t1_resnet18,2157.754,240.810,9,1
7.812,t1_resnet18,2096.328,351.721,8,1
8.126,t1_resnet18,2212.099,313.506,9,1
8.412,t1_resnet18,2498.114,286.664,9,1
8.722,t1_resnet18,2514.690,309.700,11,1
9.028,t1_resnet18,2782.686,306.364,11,1
9.309,t1_resnet18,2950.294,280.850,11,1
9.612,t1_resnet18,3133.623,302.728,11,1
9.915,t1_resnet18,3367.982,303.298,12,1
10.222,t1_resnet18,3448.809,306.432,12,1
10.427,t1_resnet18,2595.893,204.781,12,1
10.735,t1_resnet18,2762.249,308.564,12,1
11.037,t1_resnet18,2764.687,302.114,13,1
11.312,t1_resnet18,2891.389,274.729,14,1
11.619,t1_resnet18,3161.385,306.494,13,1
11.922,t1_resnet18,3309.250,302.963,12,1
12.233,t1_resnet18,3486.283,311.037,13,1
12.464,t1_resnet18,3159.116,230.885,12,1
12.809,t1_resnet18,3366.102,345.656,14,1
13.117,t1_resnet18,3259.851,307.779,15,1
13.426,t1_resnet18,3561.067,308.840,18,1
13.737,t1_resnet18,3541.201,310.471,18,1
