t_s,tenant,latency_ms,service_ms,qdepth,warmup
0.116,t2_squeezenet,46.266,43.973,1,1
0.159,t2_squeezenet,70.318,43.037,0,1
0.209,t2_squeezenet,45.738,44.883,0,1
0.293,t2_squeezenet,43.061,42.966,1,1
0.332,t2_squeezenet,53.966,39.731,1,1
0.370,t2_squeezenet,76.602,37.305,0,1
0.444,t2_squeezenet,46.946,43.443,0,1
0.516,t2_squeezenet,35.244,32.038,1,1
0.549,t2_squeezenet,53.726,33.284,0,1
0.665,t2_squeezenet,37.274,34.516,0,1
0.718,t2_squeezenet,42.011,37.287,0,1
0.855,t2_squeezenet,40.886,36.730,0,1
0.947,t2_squeezenet,38.605,35.854,0,1
1.028,t2_squeezenet,40.508,35.792,1,1
1.064,t2_squeezenet,42.151,35.538,1,1
1.094,t2_squeezenet,40.193,30.344,1,1
1.124,t2_squeezenet,55.284,29.504,0,1
1.172,t2_squeezenet,33.746,33.087,0,1
1.328,t2_squeezenet,40.816,39.091,0,1
1.367,t2_squeezenet,35.061,33.344,1,1
1.403,t2_squeezenet,63.771,35.924,0,1
1.499,t2_squeezenet,46.259,45.797,0,1
1.560,t2_squeezenet,56.571,55.641,0,1
1.648,t2_squeezenet,82.398,78.163,2,1
1.712,t2_squeezenet,144.139,63.285,1,1
1.770,t2_squeezenet,139.174,58.358,1,1
1.821,t2_squeezenet,109.061,51.102,0,1
1.908,t2_squeezenet,52.336,51.325,0,1
1.981,t2_squeezenet,38.169,36.858,1,1
2.029,t2_squeezenet,60.170,48.527,0,1
2.234,t2_squeezenet,54.497,54.039,0,1
2.391,t2_squeezenet,55.224,55.060,2,1
2.450,t2_squeezenet,92.532,58.414,2,1
2.508,t2_squeezenet,138.331,57.881,2,1
2.547,t2_squeezenet,124.557,38.810,1,1
2.601,t2_squeezenet,141.504,53.994,0,1
2.686,t2_squeezenet,47.734,44.399,0,1
2.746,t2_squeezenet,39.754,34.796,1,1
2.801,t2_squeezenet,79.608,54.691,4,1
2.858,t2_squeezenet,95.729,57.792,3,1
2.914,t2_squeezenet,141.290,55.670,3,1
2.968,t2_squeezenet,194.575,53.617,5,1
3.021,t2_squeezenet,245.926,52.837,6,1
3.063,t2_squeezenet,152.405,42.251,6,1
3.101,t2_squeezenet,178.789,38.377,6,1
3.152,t2_squeezenet,226.506,50.176,6,1
3.190,t2_squeezenet,225.364,38.049,5,1
3.227,t2_squeezenet,226.001,37.488,4,1
3.265,t2_squeezenet,247.907,37.367,4,1
3.308,t2_squeezenet,285.323,43.164,6,1
3.351,t2_squeezenet,277.755,43.579,7,1
3.404,t2_squeezenet,300.110,52.675,6,1
3.452,t2_squeezenet,211.581,47.895,5,1
3.504,t2_squeezenet,222.881,52.238,5,1
3.540,t2_squeezenet,251.400,35.382,5,1
3.595,t2_squeezenet,290.555,54.874,5,1
3.650,t2_squeezenet,323.816,55.491,5,1
3.706,t2_squeezenet,361.806,56.355,5,1
3.755,t2_squeezenet,290.982,48.766,4,1
3.797,t2_squeezenet,275.646,41.470,3,1
3.882,t2_squeezenet,313.306,84.673,3,1
3.965,t2_squeezenet,320.294,82.903,4,1
4.056,t2_squeezenet,355.803,91.080,4,1
4.095,t2_squeezenet,240.894,38.903,4,1
4.179,t2_squeezenet,283.192,84.760,5,1
4.265,t2_squeezenet,331.627,85.109,5,1
4.355,t2_squeezenet,366.899,90.576,5,1
4.396,t2_squeezenet,303.936,41.122,4,1
4.479,t2_squeezenet,353.900,82.110,3,1
4.563,t2_squeezenet,426.736,84.623,4,1
4.609,t2_squeezenet,372.448,45.276,4,1
4.692,t2_squeezenet,396.141,83.315,3,1
4.746,t2_squeezenet,255.451,54.002,4,1
4.791,t2_squeezenet,292.523,45.318,4,1
4.876,t2_squeezenet,305.901,84.381,4,1
4.964,t2_squeezenet,260.983,88.399,5,1
5.009,t2_squeezenet,265.059,44.589,5,1
5.089,t2_squeezenet,320.812,80.276,8,1
5.173,t2_squeezenet,323.414,83.790,7,1
5.264,t2_squeezenet,359.930,90.714,7,1
5.307,t2_squeezenet,382.514,43.218,6,1
5.392,t2_squeezenet,402.984,85.397,6,1
5.476,t2_squeezenet,463.509,83.906,10,1
5.564,t2_squeezenet,540.942,87.568,11,1
5.606,t2_squeezenet,562.363,41.908,10,1
5.690,t2_squeezenet,615.385,84.362,10,1
5.748,t2_squeezenet,489.877,57.763,9,1
5.798,t2_squeezenet,480.662,50.107,8,1
5.880,t2_squeezenet,476.409,81.296,9,1
5.965,t2_squeezenet,540.349,85.392,9,1
6.054,t2_squeezenet,618.551,88.934,10,1
6.098,t2_squeezenet,644.058,43.916,9,1
6.182,t2_squeezenet,728.171,84.205,9,1
6.266,t2_squeezenet,788.683,84.185,8,1
6.310,t2_squeezenet,821.428,43.102,7,1
6.394,t2_squeezenet,764.176,83.883,6,1
6.483,t2_squeezenet,629.663,89.742,5,1
6.567,t2_squeezenet,688.791,83.609,7,1
6.655,t2_squeezenet,756.049,88.242,7,1
6.702,t2_squeezenet,715.802,47.194,6,1
6.760,t2_squeezenet,761.358,57.303,6,1
6.803,t2_squeezenet,694.254,43.561,5,1
6.886,t2_squeezenet,377.141,82.044,4,1
6.970,t2_squeezenet,436.165,84.706,4,1
7.059,t2_squeezenet,494.933,89.055,7,1
7.101,t2_squeezenet,490.237,41.957,7,1
7.185,t2_squeezenet,476.343,83.385,7,1
7.268,t2_squeezenet,308.625,83.290,8,1
7.357,t2_squeezenet,361.503,88.367,10,1
7.398,t2_squeezenet,368.129,41.215,10,1
7.482,t2_squeezenet,443.202,83.913,12,1
7.570,t2_squeezenet,524.922,87.654,12,1
7.654,t2_squeezenet,567.901,84.245,12,1
7.700,t2_squeezenet,567.877,46.059,11,1
7.752,t2_squeezenet,519.301,52.438,12,1
7.796,t2_squeezenet,562.985,44.005,12,1
7.878,t2_squeezenet,609.411,81.936,13,1
7.963,t2_squeezenet,662.786,84.822,15,1
8.005,t2_squeezenet,674.210,41.570,14,1
8.088,t2_squeezenet,691.854,82.829,14,1
8.174,t2_squeezenet,720.734,85.716,16,1
8.263,t2_squeezenet,805.141,89.417,16,1
8.307,t2_squeezenet,842.861,43.652,17,1
8.390,t2_squeezenet,887.262,83.223,16,1
8.477,t2_squeezenet,898.584,86.578,15,1
8.562,t2_squeezenet,853.663,85.244,16,1
8.608,t2_squeezenet,863.557,46.528,16,1
8.691,t2_squeezenet,910.140,82.516,18,1
8.750,t2_squeezenet,947.666,58.902,18,1
8.793,t2_squeezenet,937.041,42.529,18,1
8.880,t2_squeezenet,969.933,87.295,20,1
8.962,t2_squeezenet,1024.986,82.034,20,1
9.009,t2_squeezenet,1051.007,47.150,20,1
9.090,t2_squeezenet,1012.314,80.597,21,1
9.179,t2_squeezenet,1090.935,89.225,23,1
9.261,t2_squeezenet,1163.117,81.662,22,1
9.302,t2_squeezenet,1137.500,41.553,22,1
9.385,t2_squeezenet,1148.743,82.899,22,1
9.468,t2_squeezenet,1195.018,82.944,22,1
9.555,t2_squeezenet,1263.647,86.297,22,1
9.597,t2_squeezenet,1116.525,42.234,21,1
9.681,t2_squeezenet,1130.590,83.902,21,1
9.741,t2_squeezenet,1177.211,60.366,23,1
9.787,t2_squeezenet,1132.609,45.685,23,1
9.865,t2_squeezenet,1193.600,77.622,25,1
9.909,t2_squeezenet,1224.316,43.693,25,1
9.991,t2_squeezenet,1282.111,82.524,24,1
10.076,t2_squeezenet,1322.706,84.414,26,1
10.161,t2_squeezenet,1366.385,85.184,25,1
10.204,t2_squeezenet,1341.427,43.405,25,1
10.287,t2_squeezenet,1416.867,83.131,25,1
10.370,t2_squeezenet,1464.076,82.792,24,1
10.412,t2_squeezenet,1416.533,41.502,24,1
10.494,t2_squeezenet,1462.751,81.646,26,1
10.574,t2_squeezenet,1525.381,80.707,25,1
10.662,t2_squeezenet,1542.024,87.795,25,1
10.711,t2_squeezenet,1558.558,48.771,24,1
10.762,t2_squeezenet,1599.832,51.511,25,1
10.796,t2_squeezenet,1506.535,33.504,26,1
10.862,t2_squeezenet,1490.472,65.624,26,1
10.895,t2_squeezenet,1431.474,33.284,25,1
10.977,t2_squeezenet,1425.239,81.901,26,1
11.062,t2_squeezenet,1449.734,84.649,27,1
11.108,t2_squeezenet,1411.604,46.184,26,1
11.194,t2_squeezenet,1481.594,86.081,27,1
11.274,t2_squeezenet,1550.042,80.223,27,1
11.356,t2_squeezenet,1600.850,82.104,27,1
11.399,t2_squeezenet,1591.827,42.357,29,1
11.482,t2_squeezenet,1653.237,83.553,29,1
11.568,t2_squeezenet,1720.647,85.987,28,1
11.611,t2_squeezenet,1726.375,42.329,28,1
11.704,t2_squeezenet,1698.659,92.787,28,1
11.754,t2_squeezenet,1726.228,50.621,27,1
11.800,t2_squeezenet,1746.850,46.070,28,1
11.882,t2_squeezenet,1720.328,80.976,27,1
11.966,t2_squeezenet,1719.649,84.293,27,1
12.011,t2_squeezenet,1630.357,45.491,26,1
12.091,t2_squeezenet,1645.309,79.163,28,1
12.171,t2_squeezenet,1713.741,80.695,30,1
12.255,t2_squeezenet,1796.687,83.687,29,1
12.300,t2_squeezenet,1665.753,44.933,28,1
12.383,t2_squeezenet,1665.004,82.534,30,1
12.467,t2_squeezenet,1735.395,84.042,29,1
12.509,t2_squeezenet,1743.344,42.462,28,1
12.592,t2_squeezenet,1809.395,83.098,29,1
