step,t_s,T_c,T_pred_c,freq_mhz,util_pct,solver_ms,mode,agg_duty,duty0,duty1,duty2
0,0.00,53.45,54.00,2400,0.0,1084.74,convex,1.8013,0.5974,0.6028,0.6012
1,1.09,54.00,54.00,2400,59.3,55.15,convex,1.8013,0.5974,0.6028,0.6012
2,2.09,53.45,54.13,2400,49.8,20.47,convex,1.8288,0.6065,0.6119,0.6103
3,3.09,53.45,54.25,2400,49.0,17.75,convex,1.8563,0.6157,0.6211,0.6195
4,4.09,54.00,54.25,2400,49.3,16.51,convex,1.8563,0.6157,0.6211,0.6195
5,5.09,54.00,54.25,2400,49.5,17.27,convex,1.8563,0.6157,0.6211,0.6195
6,6.09,54.00,54.25,2400,49.5,19.65,convex,1.8563,0.6157,0.6211,0.6195
7,7.09,54.00,54.25,2400,49.5,19.09,convex,1.8563,0.6157,0.6211,0.6195
8,8.09,54.55,54.13,2400,49.4,17.35,convex,1.8288,0.6065,0.6119,0.6103
9,9.09,52.90,54.38,2400,49.0,16.67,convex,1.8838,0.6249,0.6303,0.6287
10,10.09,54.55,54.25,2400,50.4,16.31,convex,1.8563,0.6157,0.6211,0.6195
11,11.09,55.10,54.00,2400,49.4,94.95,convex,1.8013,0.5974,0.6028,0.6012
12,12.09,54.55,53.87,2400,51.5,19.23,convex,1.7738,0.5882,0.5936,0.5920
13,13.09,54.00,53.87,2400,47.5,17.11,convex,1.7738,0.5882,0.5936,0.5920
14,14.09,54.00,53.87,2400,47.8,18.10,convex,1.7738,0.5882,0.5936,0.5920
15,15.09,54.00,53.87,2400,47.5,21.20,convex,1.7738,0.5882,0.5936,0.5920
16,16.09,54.55,53.75,2400,47.7,20.18,convex,1.7463,0.5790,0.5844,0.5828
17,17.09,54.00,53.75,2400,46.9,23.17,convex,1.7463,0.5790,0.5844,0.5828
18,18.09,54.00,53.75,2400,48.0,19.14,convex,1.7463,0.5790,0.5844,0.5828
19,19.09,55.65,53.37,2400,46.9,23.73,convex,1.6638,0.5515,0.5569,0.5554
20,20.09,54.55,53.24,2400,45.5,17.98,convex,1.6363,0.5424,0.5477,0.5462
21,21.09,53.45,53.37,2400,44.0,17.93,convex,1.6638,0.5515,0.5569,0.5554
22,22.09,54.55,53.24,2400,44.7,18.03,convex,1.6363,0.5424,0.5477,0.5462
23,23.09,54.00,53.24,2400,43.8,17.72,convex,1.6363,0.5424,0.5477,0.5462
24,24.09,54.00,53.24,2400,43.7,18.30,convex,1.6363,0.5424,0.5477,0.5462
25,25.09,54.00,53.24,2400,44.2,18.40,convex,1.6363,0.5424,0.5477,0.5462
26,26.09,54.00,53.24,2400,43.9,23.59,convex,1.6363,0.5424,0.5477,0.5462
27,27.09,54.00,53.24,2400,44.7,26.01,convex,1.6363,0.5424,0.5477,0.5462
28,28.09,54.00,53.24,2400,44.8,24.69,convex,1.6363,0.5424,0.5477,0.5462
29,29.09,54.00,53.24,2400,45.1,25.48,convex,1.6363,0.5424,0.5477,0.5462
30,30.09,54.00,53.24,2400,45.1,25.59,convex,1.6363,0.5424,0.5477,0.5462
31,31.09,53.45,53.37,2400,44.7,26.55,convex,1.6638,0.5515,0.5569,0.5554
32,32.09,54.00,53.37,2400,45.6,26.28,convex,1.6638,0.5515,0.5569,0.5554
33,33.09,55.10,53.12,2400,46.0,24.58,convex,1.6088,0.5332,0.5386,0.5370
34,34.09,53.45,53.24,2400,44.2,23.98,convex,1.6363,0.5424,0.5477,0.5462
35,35.09,54.00,53.24,2400,44.7,25.98,convex,1.6363,0.5424,0.5477,0.5462
36,36.09,54.00,53.24,2400,45.1,23.15,convex,1.6363,0.5424,0.5477,0.5462
37,37.09,54.55,53.12,2400,44.6,27.06,convex,1.6088,0.5332,0.5386,0.5370
38,38.09,54.00,53.12,2400,44.6,27.62,convex,1.6088,0.5332,0.5386,0.5370
39,39.09,54.00,53.12,2400,44.4,27.65,convex,1.6088,0.5332,0.5386,0.5370
40,40.09,54.00,53.12,2400,44.1,28.48,convex,1.6088,0.5332,0.5386,0.5370
41,41.09,54.55,52.99,2400,44.5,26.78,convex,1.5813,0.5240,0.5294,0.5279
42,42.09,54.00,52.99,2400,43.7,25.07,convex,1.5813,0.5240,0.5294,0.5279
43,43.09,54.00,52.99,2400,43.2,30.33,convex,1.5813,0.5240,0.5294,0.5279
44,44.09,54.55,52.87,2400,43.8,26.64,convex,1.5538,0.5149,0.5203,0.5187
45,45.09,54.00,52.87,2400,42.6,28.69,convex,1.5538,0.5149,0.5203,0.5187
46,46.09,53.45,52.99,2400,43.0,25.82,convex,1.5813,0.5240,0.5294,0.5279
47,47.09,54.55,52.87,2400,43.5,28.34,convex,1.5538,0.5149,0.5203,0.5187
48,48.09,53.45,52.99,2400,43.2,24.55,convex,1.5813,0.5240,0.5294,0.5279
49,49.09,54.00,52.99,2400,43.3,24.51,convex,1.5813,0.5240,0.5294,0.5279
50,50.09,54.00,52.99,2400,43.8,31.47,convex,1.5813,0.5240,0.5294,0.5279
51,51.09,53.45,53.12,2400,44.0,37.80,convex,1.6088,0.5332,0.5386,0.5370
52,52.09,54.55,52.99,2400,45.8,27.86,convex,1.5813,0.5240,0.5294,0.5279
53,53.09,54.00,52.99,2400,43.5,32.40,convex,1.5813,0.5240,0.5294,0.5279
54,54.09,54.00,52.99,2400,45.0,34.94,convex,1.5813,0.5240,0.5294,0.5279
55,55.09,54.55,52.87,2400,44.2,35.25,convex,1.5538,0.5149,0.5203,0.5187
56,56.09,54.55,52.74,2400,43.8,32.61,convex,1.5263,0.5057,0.5111,0.5095
57,57.09,54.00,52.74,2400,43.1,29.66,convex,1.5263,0.5057,0.5111,0.5095
58,58.09,53.45,52.87,2400,42.6,35.45,convex,1.5538,0.5149,0.5203,0.5187
59,59.09,54.00,52.87,2400,43.6,25.94,convex,1.5538,0.5149,0.5203,0.5187
60,60.09,53.45,52.99,2400,42.9,26.80,convex,1.5813,0.5240,0.5294,0.5279
61,61.09,54.00,52.99,2400,43.5,27.73,convex,1.5813,0.5240,0.5294,0.5279
62,62.09,54.00,52.99,2400,43.3,33.05,convex,1.5813,0.5240,0.5294,0.5279
63,63.09,54.00,52.99,2400,44.5,36.36,convex,1.5813,0.5240,0.5294,0.5279
64,64.09,54.00,52.99,2400,44.7,38.54,convex,1.5813,0.5240,0.5294,0.5279
65,65.09,54.00,52.99,2400,44.7,31.85,convex,1.5813,0.5240,0.5294,0.5279
66,66.09,54.00,52.99,2400,44.6,37.17,convex,1.5813,0.5240,0.5294,0.5279
67,67.09,54.00,52.99,2400,44.7,37.97,convex,1.5813,0.5240,0.5294,0.5279
68,68.09,54.00,52.99,2400,44.7,37.36,convex,1.5813,0.5240,0.5294,0.5279
69,69.09,54.00,52.99,2400,44.8,43.08,convex,1.5813,0.5240,0.5294,0.5279
70,70.09,53.45,53.12,2400,44.8,43.07,convex,1.6088,0.5332,0.5386,0.5370
71,71.09,54.55,52.99,2400,46.1,41.40,convex,1.5813,0.5240,0.5294,0.5279
72,72.09,54.55,52.87,2400,45.1,41.74,convex,1.5538,0.5149,0.5203,0.5187
73,73.09,54.00,52.87,2400,44.3,41.34,convex,1.5538,0.5149,0.5203,0.5187
74,74.09,53.45,52.99,2400,44.2,40.15,convex,1.5813,0.5240,0.5294,0.5279
75,75.09,53.45,53.12,2400,45.3,37.99,convex,1.6088,0.5332,0.5386,0.5370
76,76.09,53.45,53.24,2400,45.7,37.74,convex,1.6363,0.5424,0.5477,0.5462
77,77.09,54.00,53.24,2400,46.1,44.17,convex,1.6363,0.5424,0.5477,0.5462
78,78.09,54.55,53.12,2400,47.2,42.06,convex,1.6088,0.5332,0.5386,0.5370
79,79.09,54.00,53.12,2400,45.8,30.21,convex,1.6088,0.5332,0.5386,0.5370
80,80.09,53.45,53.24,2400,45.2,28.82,convex,1.6363,0.5424,0.5477,0.5462
81,81.09,54.55,53.12,2400,45.3,39.61,convex,1.6088,0.5332,0.5386,0.5370
82,82.09,53.45,53.24,2400,45.9,44.03,convex,1.6363,0.5424,0.5477,0.5462
83,83.09,54.00,53.24,2400,46.7,28.13,convex,1.6363,0.5424,0.5477,0.5462
84,84.09,54.00,53.24,2400,45.6,36.32,convex,1.6363,0.5424,0.5477,0.5462
85,85.09,54.55,53.12,2400,46.0,38.97,convex,1.6088,0.5332,0.5386,0.5370
86,86.09,54.00,53.12,2400,45.7,37.69,convex,1.6088,0.5332,0.5386,0.5370
87,87.09,54.00,53.12,2400,45.4,32.86,convex,1.6088,0.5332,0.5386,0.5370
88,88.09,54.00,53.12,2400,45.6,33.46,convex,1.6088,0.5332,0.5386,0.5370
89,89.09,53.45,53.24,2400,45.1,39.87,convex,1.6363,0.5424,0.5477,0.5462
90,90.09,54.55,53.12,2400,46.6,39.43,convex,1.6088,0.5332,0.5386,0.5370
91,91.09,54.00,53.12,2400,45.9,31.75,convex,1.6088,0.5332,0.5386,0.5370
92,92.09,54.55,52.99,2400,45.1,37.42,convex,1.5813,0.5240,0.5294,0.5279
93,93.09,54.55,52.87,2400,44.9,34.69,convex,1.5538,0.5149,0.5203,0.5187
94,94.09,53.45,52.99,2400,44.6,34.07,convex,1.5813,0.5240,0.5294,0.5279
95,95.09,55.10,52.74,2400,44.6,88.97,convex,1.5263,0.5057,0.5111,0.5095
96,96.09,53.45,52.87,2400,44.0,42.35,convex,1.5538,0.5149,0.5203,0.5187
97,97.09,53.45,52.99,2400,44.9,42.19,convex,1.5813,0.5241,0.5294,0.5278
98,98.09,53.45,53.12,2400,45.4,36.61,convex,1.6088,0.5332,0.5386,0.5370
99,99.09,53.45,53.24,2400,45.6,39.84,convex,1.6363,0.5424,0.5477,0.5462
100,100.09,54.55,53.12,2400,46.8,35.94,convex,1.6088,0.5332,0.5386,0.5370
101,101.09,54.55,52.99,2400,45.4,45.31,convex,1.5813,0.5241,0.5294,0.5278
102,102.09,54.00,52.99,2400,45.9,37.32,convex,1.5813,0.5241,0.5294,0.5278
103,103.09,54.55,52.87,2400,45.2,40.84,convex,1.5538,0.5149,0.5203,0.5187
104,104.09,54.55,52.74,2400,44.3,42.14,convex,1.5263,0.5057,0.5111,0.5095
105,105.09,54.00,52.74,2400,44.0,44.49,convex,1.5263,0.5057,0.5111,0.5095
106,106.09,54.00,52.74,2400,44.1,41.00,convex,1.5263,0.5057,0.5111,0.5095
107,107.09,54.55,52.61,2400,44.4,39.01,convex,1.4988,0.4988,0.5008,0.4992
108,108.09,52.90,52.87,2400,43.1,42.72,convex,1.5538,0.5149,0.5203,0.5187
109,109.09,54.00,52.87,2400,44.7,49.32,convex,1.5538,0.5149,0.5203,0.5187
110,110.09,54.00,52.87,2400,45.8,43.43,convex,1.5538,0.5149,0.5203,0.5187
111,111.09,53.45,52.99,2400,44.8,40.48,convex,1.5813,0.5240,0.5294,0.5279
112,112.09,54.00,52.99,2400,45.6,40.44,convex,1.5813,0.5240,0.5294,0.5279
113,113.09,53.45,53.12,2400,45.7,45.84,convex,1.6088,0.5332,0.5386,0.5370
114,114.09,54.55,52.99,2400,46.6,56.48,convex,1.5813,0.5240,0.5294,0.5279
115,115.09,54.00,52.99,2400,46.8,45.68,convex,1.5813,0.5240,0.5294,0.5279
