t_s,tenant,latency_ms,service_ms,qdepth,warmup
1.236,t1_resnet18,181.771,180.042,1,1
1.434,t1_resnet18,230.871,198.205,0,1
1.635,t1_resnet18,184.989,180.268,0,1
1.898,t1_resnet18,181.818,176.944,1,1
2.040,t1_resnet18,158.761,142.084,1,1
2.178,t1_resnet18,197.562,137.164,0,1
2.852,t1_resnet18,168.863,165.478,1,1
3.017,t1_resnet18,173.204,165.274,0,1
4.044,t1_resnet18,150.963,149.179,0,1
4.250,t1_resnet18,142.536,139.793,2,1
4.387,t1_resnet18,174.035,137.830,1,1
4.547,t1_resnet18,321.905,159.328,0,1
5.967,t1_resnet18,141.247,138.842,0,1
7.006,t1_resnet18,154.249,152.539,1,1
7.173,t1_resnet18,253.458,166.486,0,1
7.366,t1_resnet18,146.559,142.988,0,1
7.773,t1_resnet18,153.148,148.166,0,1
8.179,t1_resnet18,158.664,158.220,0,1
8.518,t1_resnet18,189.211,187.220,2,1
8.708,t1_resnet18,214.825,190.279,2,1
8.898,t1_resnet18,390.488,189.344,1,1
9.079,t1_resnet18,485.422,180.901,0,1
9.859,t1_resnet18,170.471,167.662,0,1
10.091,t1_resnet18,190.816,186.449,0,1
10.363,t1_resnet18,143.654,140.016,0,1
10.748,t1_resnet18,144.864,141.819,0,1
11.251,t1_resnet18,153.169,148.323,0,1
11.503,t1_resnet18,187.337,185.557,1,1
11.697,t1_resnet18,330.746,194.679,0,1
11.948,t1_resnet18,196.793,194.449,0,1
12.103,t1_resnet18,155.591,150.679,0,1
12.664,t1_resnet18,139.364,135.079,1,1
12.816,t1_resnet18,230.365,152.224,0,1
12.962,t1_resnet18,143.375,140.657,0,1
13.233,t1_resnet18,157.999,154.804,0,1
13.682,t1_resnet18,163.731,160.775,0,1
13.872,t1_resnet18,164.563,164.143,1,1
14.035,t1_resnet18,207.050,163.176,2,1
14.181,t1_resnet18,249.562,145.759,2,1
14.318,t1_resnet18,300.484,137.164,2,1
14.466,t1_resnet18,399.024,147.632,3,1
14.629,t1_resnet18,371.814,163.264,4,1
14.770,t1_resnet18,419.815,141.053,4,1
14.915,t1_resnet18,526.670,145.349,3,1
15.053,t1_resnet18,576.733,137.598,2,1
15.206,t1_resnet18,581.345,152.687,2,1
15.360,t1_resnet18,712.582,154.311,1,1
15.524,t1_resnet18,417.167,163.917,0,1
15.790,t1_resnet18,186.797,184.433,1,1
15.980,t1_resnet18,234.045,189.652,0,1
16.229,t1_resnet18,157.681,152.757,0,1
16.887,t1_resnet18,177.949,175.975,2,1
17.076,t1_resnet18,346.507,189.378,1,1
17.265,t1_resnet18,389.537,188.693,1,1
17.433,t1_resnet18,193.088,168.212,1,1
17.597,t1_resnet18,320.914,164.227,0,1
17.856,t1_resnet18,158.918,157.183,1,1
18.033,t1_resnet18,302.850,176.089,0,1
18.333,t1_resnet18,167.254,163.959,3,1
18.505,t1_resnet18,316.954,171.860,3,1
18.682,t1_resnet18,484.980,177.082,2,1
18.856,t1_resnet18,623.260,174.073,1,1
19.021,t1_resnet18,537.642,164.973,1,1
19.183,t1_resnet18,190.059,162.030,0,1
19.815,t1_resnet18,177.294,174.591,0,1
20.603,t1_resnet18,201.755,198.863,1,0
20.752,t1_resnet18,250.123,149.121,1,0
20.920,t1_resnet18,195.220,167.522,1,0
21.107,t1_resnet18,263.895,186.840,0,0
21.806,t1_resnet18,141.184,136.516,0,0
22.335,t1_resnet18,154.623,153.220,1,0
22.483,t1_resnet18,233.790,147.967,0,0
22.753,t1_resnet18,170.091,168.832,1,0
22.929,t1_resnet18,189.576,175.565,0,0
23.236,t1_resnet18,137.359,134.505,0,0
24.139,t1_resnet18,148.345,148.306,0,0
24.520,t1_resnet18,182.718,178.613,0,0
24.737,t1_resnet18,176.980,176.383,1,0
24.890,t1_resnet18,192.711,153.050,1,0
25.083,t1_resnet18,309.700,192.716,0,0
25.248,t1_resnet18,142.057,139.932,2,0
25.403,t1_resnet18,203.385,154.179,1,0
25.563,t1_resnet18,340.530,160.724,0,0
25.923,t1_resnet18,157.332,155.921,1,0
26.059,t1_resnet18,278.168,136.317,1,0
26.202,t1_resnet18,173.015,143.251,0,0
26.626,t1_resnet18,164.028,159.106,0,0
27.223,t1_resnet18,155.018,150.494,1,0
27.388,t1_resnet18,302.473,164.700,0,0
28.062,t1_resnet18,184.683,182.763,0,0
28.451,t1_resnet18,173.960,170.750,0,0
28.766,t1_resnet18,144.581,141.661,2,0
28.918,t1_resnet18,226.532,152.162,1,0
29.054,t1_resnet18,300.777,136.543,0,0
29.296,t1_resnet18,174.152,170.547,0,0
29.564,t1_resnet18,139.998,136.512,0,0
29.754,t1_resnet18,159.034,155.083,1,0
29.901,t1_resnet18,211.283,146.502,1,0
30.037,t1_resnet18,263.121,135.674,1,0
30.180,t1_resnet18,236.237,143.682,1,0
30.329,t1_resnet18,167.023,148.254,2,0
30.481,t1_resnet18,289.233,152.642,2,0
30.652,t1_resnet18,350.998,171.259,1,0
30.802,t1_resnet18,447.876,149.485,0,0
31.087,t1_resnet18,159.300,157.178,1,0
31.271,t1_resnet18,282.330,184.061,0,0
31.422,t1_resnet18,140.305,140.012,0,0
