t_s,tenant,latency_ms,service_ms,qdepth,warmup
0.120,t2_squeezenet,50.822,48.541,1,1
0.161,t2_squeezenet,73.262,41.490,0,1
0.205,t2_squeezenet,42.105,38.276,0,1
0.292,t2_squeezenet,42.902,41.270,1,1
0.327,t2_squeezenet,49.558,35.459,1,1
0.367,t2_squeezenet,74.128,39.303,0,1
0.429,t2_squeezenet,32.838,31.828,0,1
0.520,t2_squeezenet,40.101,35.821,1,1
0.555,t2_squeezenet,59.968,34.674,0,1
0.666,t2_squeezenet,39.216,35.117,0,1
0.713,t2_squeezenet,38.003,36.392,0,1
0.851,t2_squeezenet,37.386,37.214,0,1
0.947,t2_squeezenet,38.926,34.642,0,1
1.025,t2_squeezenet,37.317,32.328,1,1
1.054,t2_squeezenet,32.583,29.161,1,1
1.087,t2_squeezenet,33.082,32.768,1,1
1.120,t2_squeezenet,52.218,33.513,0,1
1.171,t2_squeezenet,33.435,30.835,0,1
1.319,t2_squeezenet,33.158,31.712,0,1
1.377,t2_squeezenet,45.633,42.009,1,1
1.424,t2_squeezenet,85.423,46.988,0,1
1.497,t2_squeezenet,44.746,42.778,0,1
1.561,t2_squeezenet,58.009,53.494,0,1
1.628,t2_squeezenet,59.009,56.724,1,1
1.668,t2_squeezenet,97.214,39.782,1,1
1.716,t2_squeezenet,81.906,47.946,1,1
1.765,t2_squeezenet,53.595,49.391,0,1
1.893,t2_squeezenet,37.431,34.951,0,1
1.989,t2_squeezenet,47.171,45.820,1,1
2.037,t2_squeezenet,68.228,47.609,0,1
2.218,t2_squeezenet,39.304,34.928,0,1
2.380,t2_squeezenet,44.872,44.628,2,1
2.422,t2_squeezenet,65.251,41.500,2,1
2.461,t2_squeezenet,92.196,39.045,2,1
2.494,t2_squeezenet,73.444,33.786,1,1
2.537,t2_squeezenet,79.055,42.564,0,1
2.669,t2_squeezenet,32.142,30.632,0,1
2.752,t2_squeezenet,46.590,42.001,1,1
2.799,t2_squeezenet,79.025,47.263,4,1
2.842,t2_squeezenet,80.201,42.872,3,1
2.888,t2_squeezenet,115.649,45.766,2,1
2.934,t2_squeezenet,161.278,45.981,4,1
2.970,t2_squeezenet,196.522,36.642,4,1
3.002,t2_squeezenet,92.489,31.741,4,1
3.034,t2_squeezenet,112.547,32.088,5,1
3.075,t2_squeezenet,151.264,41.128,5,1
3.113,t2_squeezenet,152.337,37.491,5,1
3.145,t2_squeezenet,147.902,32.341,4,1
3.176,t2_squeezenet,163.656,31.112,3,1
3.208,t2_squeezenet,189.511,31.487,2,1
3.244,t2_squeezenet,174.863,36.450,2,1
3.290,t2_squeezenet,190.792,46.023,3,1
3.330,t2_squeezenet,96.349,39.410,4,1
3.365,t2_squeezenet,90.853,35.416,4,1
3.410,t2_squeezenet,130.663,44.881,3,1
3.449,t2_squeezenet,153.207,38.144,2,1
3.479,t2_squeezenet,161.732,30.778,2,1
3.520,t2_squeezenet,183.770,40.480,2,1
3.565,t2_squeezenet,111.439,45.041,2,1
3.610,t2_squeezenet,99.650,45.052,1,1
3.658,t2_squeezenet,100.686,47.885,1,1
3.700,t2_squeezenet,67.978,42.283,1,1
3.744,t2_squeezenet,55.910,43.509,0,1
3.844,t2_squeezenet,34.223,33.942,0,1
3.885,t2_squeezenet,35.440,31.250,0,1
3.939,t2_squeezenet,52.806,48.960,0,1
3.990,t2_squeezenet,48.966,45.175,0,1
4.091,t2_squeezenet,46.516,45.702,2,1
4.137,t2_squeezenet,60.344,46.058,1,1
4.181,t2_squeezenet,92.105,43.594,0,1
4.235,t2_squeezenet,46.459,43.812,0,1
4.298,t2_squeezenet,49.971,47.923,0,1
4.480,t2_squeezenet,36.562,32.346,1,1
4.511,t2_squeezenet,59.510,31.167,0,1
4.560,t2_squeezenet,37.248,33.474,0,1
4.702,t2_squeezenet,46.670,46.522,1,1
4.746,t2_squeezenet,50.255,44.100,1,1
4.791,t2_squeezenet,74.617,44.986,0,1
4.848,t2_squeezenet,50.390,46.798,0,1
4.893,t2_squeezenet,40.631,39.392,1,1
4.926,t2_squeezenet,53.046,33.066,0,1
4.985,t2_squeezenet,47.313,43.508,2,1
5.029,t2_squeezenet,67.492,43.487,3,1
5.071,t2_squeezenet,99.667,42.326,2,1
5.105,t2_squeezenet,112.522,33.439,1,1
5.136,t2_squeezenet,112.430,31.233,0,1
5.256,t2_squeezenet,48.927,48.870,0,1
5.313,t2_squeezenet,46.404,41.594,0,1
5.386,t2_squeezenet,34.582,32.827,2,1
5.426,t2_squeezenet,52.221,39.073,3,1
5.462,t2_squeezenet,77.960,36.489,4,1
5.496,t2_squeezenet,93.837,34.315,3,1
5.525,t2_squeezenet,122.791,29.089,2,1
5.558,t2_squeezenet,132.077,32.962,1,1
5.592,t2_squeezenet,155.192,33.415,1,1
5.622,t2_squeezenet,43.830,29.789,0,1
5.823,t2_squeezenet,47.333,44.701,2,1
5.859,t2_squeezenet,59.058,36.188,1,1
5.890,t2_squeezenet,68.508,30.246,0,1
5.939,t2_squeezenet,30.479,29.097,1,1
5.975,t2_squeezenet,54.353,35.557,0,1
6.065,t2_squeezenet,33.852,29.514,0,1
6.468,t2_squeezenet,38.307,35.779,1,1
6.510,t2_squeezenet,53.820,41.199,1,1
6.553,t2_squeezenet,63.898,42.991,1,1
6.598,t2_squeezenet,61.864,44.784,0,1
6.666,t2_squeezenet,33.205,33.147,0,1
6.921,t2_squeezenet,36.704,35.437,1,1
6.952,t2_squeezenet,32.914,31.677,0,1
6.995,t2_squeezenet,41.159,37.761,2,1
7.036,t2_squeezenet,72.588,40.242,2,1
7.076,t2_squeezenet,103.179,40.328,2,1
7.117,t2_squeezenet,102.602,40.741,1,1
7.148,t2_squeezenet,87.476,31.035,0,1
7.202,t2_squeezenet,40.825,39.234,2,1
7.244,t2_squeezenet,82.681,42.198,2,1
7.283,t2_squeezenet,82.285,38.561,2,1
7.324,t2_squeezenet,91.984,41.018,1,1
7.365,t2_squeezenet,102.878,41.081,1,1
7.406,t2_squeezenet,78.856,41.273,3,1
7.447,t2_squeezenet,62.292,40.335,3,1
7.486,t2_squeezenet,96.395,39.349,2,1
7.524,t2_squeezenet,127.916,37.560,2,1
7.556,t2_squeezenet,121.206,32.163,1,1
7.588,t2_squeezenet,77.783,31.844,0,1
7.671,t2_squeezenet,33.869,32.136,0,1
7.710,t2_squeezenet,36.565,34.231,0,1
7.752,t2_squeezenet,41.813,36.780,1,1
7.788,t2_squeezenet,56.146,35.651,1,1
7.820,t2_squeezenet,35.361,32.543,0,1
7.870,t2_squeezenet,30.762,29.648,1,1
7.900,t2_squeezenet,30.975,29.658,1,1
7.932,t2_squeezenet,41.848,32.017,0,1
8.048,t2_squeezenet,38.687,35.155,2,1
8.078,t2_squeezenet,57.521,30.396,1,1
8.107,t2_squeezenet,77.102,29.032,1,1
8.145,t2_squeezenet,47.877,37.910,0,1
8.207,t2_squeezenet,34.062,31.103,0,1
8.241,t2_squeezenet,32.105,29.630,1,1
8.274,t2_squeezenet,46.963,32.381,0,1
8.459,t2_squeezenet,41.858,37.694,0,1
8.524,t2_squeezenet,37.452,35.037,1,1
8.561,t2_squeezenet,60.923,37.255,0,1
8.628,t2_squeezenet,35.396,31.451,2,1
8.665,t2_squeezenet,55.845,37.074,2,1
8.705,t2_squeezenet,85.757,39.743,2,1
8.747,t2_squeezenet,100.760,41.925,2,1
8.794,t2_squeezenet,104.046,47.171,1,1
8.831,t2_squeezenet,99.803,37.148,2,1
8.868,t2_squeezenet,68.316,36.806,2,1
8.910,t2_squeezenet,102.341,41.665,1,1
8.941,t2_squeezenet,97.757,31.018,1,1
8.973,t2_squeezenet,40.693,31.935,1,1
9.017,t2_squeezenet,49.566,44.301,1,1
9.055,t2_squeezenet,69.336,37.881,0,1
9.091,t2_squeezenet,33.992,30.746,1,1
9.127,t2_squeezenet,37.953,36.236,1,1
9.172,t2_squeezenet,72.399,44.702,0,1
9.265,t2_squeezenet,36.606,32.490,0,1
9.354,t2_squeezenet,43.565,41.456,0,1
9.437,t2_squeezenet,35.021,33.016,0,1
9.524,t2_squeezenet,31.524,31.060,0,1
9.588,t2_squeezenet,34.921,33.286,0,1
9.675,t2_squeezenet,39.198,36.721,2,1
9.711,t2_squeezenet,59.318,36.057,2,1
9.753,t2_squeezenet,96.076,41.698,2,1
9.796,t2_squeezenet,108.236,43.365,3,1
9.835,t2_squeezenet,94.156,38.432,3,1
9.867,t2_squeezenet,104.419,32.404,2,1
9.899,t2_squeezenet,117.470,31.839,1,1
9.931,t2_squeezenet,112.437,31.566,0,1
9.973,t2_squeezenet,33.751,31.578,1,1
10.005,t2_squeezenet,42.777,32.171,1,1
10.037,t2_squeezenet,64.110,32.084,0,1
10.112,t2_squeezenet,31.267,29.168,0,1
10.203,t2_squeezenet,37.869,35.930,0,1
10.336,t2_squeezenet,36.236,31.770,0,1
10.399,t2_squeezenet,34.884,32.484,2,1
10.432,t2_squeezenet,55.130,32.538,1,1
10.474,t2_squeezenet,96.362,42.090,0,1
10.595,t2_squeezenet,41.237,39.250,0,1
10.684,t2_squeezenet,47.511,44.035,1,1
10.729,t2_squeezenet,78.905,45.109,2,1
10.775,t2_squeezenet,90.172,45.755,2,1
10.818,t2_squeezenet,115.618,42.769,1,1
10.859,t2_squeezenet,88.206,40.602,1,1
10.900,t2_squeezenet,58.721,41.169,1,1
10.944,t2_squeezenet,53.066,44.367,2,1
10.989,t2_squeezenet,82.817,44.850,1,1
11.036,t2_squeezenet,124.422,46.343,0,1
11.116,t2_squeezenet,45.815,44.675,1,1
11.158,t2_squeezenet,56.741,42.549,0,1
11.216,t2_squeezenet,36.360,32.653,1,1
11.259,t2_squeezenet,61.306,42.384,0,1
11.327,t2_squeezenet,48.034,43.121,2,1
11.378,t2_squeezenet,77.717,50.449,2,1
11.421,t2_squeezenet,119.050,43.078,1,1
11.461,t2_squeezenet,119.949,40.007,0,1
11.565,t2_squeezenet,36.348,32.544,0,1
11.636,t2_squeezenet,32.949,30.216,0,1
11.707,t2_squeezenet,32.442,31.276,1,1
11.741,t2_squeezenet,41.934,33.269,0,1
11.883,t2_squeezenet,48.597,46.304,0,1
11.986,t2_squeezenet,36.771,32.209,2,1
12.020,t2_squeezenet,69.014,33.378,2,1
12.049,t2_squeezenet,78.217,29.025,3,1
12.083,t2_squeezenet,65.934,34.161,2,1
12.119,t2_squeezenet,96.564,36.413,1,1
12.155,t2_squeezenet,120.090,35.345,0,1
12.258,t2_squeezenet,36.994,36.948,0,1
12.300,t2_squeezenet,34.725,32.271,1,1
12.329,t2_squeezenet,42.751,29.014,0,1
12.476,t2_squeezenet,32.499,30.618,0,1
12.519,t2_squeezenet,39.401,37.905,0,1
12.699,t2_squeezenet,36.752,32.512,3,1
12.730,t2_squeezenet,56.733,31.116,3,1
12.760,t2_squeezenet,79.866,29.869,3,1
12.789,t2_squeezenet,102.866,29.505,4,1
12.818,t2_squeezenet,100.592,29.022,3,1
12.853,t2_squeezenet,93.436,34.497,3,1
12.889,t2_squeezenet,114.521,36.225,3,1
12.925,t2_squeezenet,143.328,36.080,3,1
12.960,t2_squeezenet,121.443,34.363,2,1
12.995,t2_squeezenet,119.685,35.218,1,1
13.027,t2_squeezenet,101.954,32.102,0,1
13.137,t2_squeezenet,39.936,38.943,0,1
13.198,t2_squeezenet,41.777,41.329,0,1
13.300,t2_squeezenet,53.066,50.432,1,1
13.343,t2_squeezenet,71.500,43.326,2,1
13.386,t2_squeezenet,74.181,42.860,1,1
13.433,t2_squeezenet,103.476,47.498,1,1
13.479,t2_squeezenet,89.383,45.833,2,1
13.518,t2_squeezenet,55.573,38.373,2,1
13.559,t2_squeezenet,84.251,41.231,4,1
13.602,t2_squeezenet,101.919,42.736,3,1
13.641,t2_squeezenet,117.909,38.906,4,1
13.683,t2_squeezenet,142.256,42.074,4,1
13.724,t2_squeezenet,177.620,40.951,5,1
13.763,t2_squeezenet,141.552,38.990,4,1
13.808,t2_squeezenet,173.510,45.494,4,1
13.856,t2_squeezenet,210.218,47.825,4,1
13.898,t2_squeezenet,196.886,42.042,3,1
13.936,t2_squeezenet,213.678,37.754,4,1
13.968,t2_squeezenet,202.770,32.237,4,1
14.001,t2_squeezenet,192.214,32.737,4,1
14.033,t2_squeezenet,133.895,32.127,4,1
14.065,t2_squeezenet,140.912,31.704,3,1
14.096,t2_squeezenet,143.221,31.408,2,1
14.129,t2_squeezenet,141.439,32.279,1,1
14.162,t2_squeezenet,135.759,33.637,1,1
14.193,t2_squeezenet,64.471,30.952,1,1
14.224,t2_squeezenet,61.228,30.795,0,1
14.261,t2_squeezenet,33.673,32.102,0,1
14.326,t2_squeezenet,44.716,44.584,0,1
14.372,t2_squeezenet,43.493,40.520,1,1
14.415,t2_squeezenet,55.196,42.724,2,1
14.465,t2_squeezenet,72.148,50.236,1,1
14.511,t2_squeezenet,113.273,45.651,1,1
14.553,t2_squeezenet,60.886,42.411,1,1
14.600,t2_squeezenet,50.291,46.585,0,1
14.644,t2_squeezenet,42.667,39.128,0,1
14.727,t2_squeezenet,34.571,31.778,1,1
14.762,t2_squeezenet,65.160,35.151,0,1
14.872,t2_squeezenet,44.177,43.624,0,1
14.981,t2_squeezenet,53.473,48.961,2,1
15.022,t2_squeezenet,90.236,40.685,2,1
15.065,t2_squeezenet,127.009,42.656,2,1
15.111,t2_squeezenet,113.519,46.422,1,1
15.159,t2_squeezenet,116.956,47.270,1,1
15.196,t2_squeezenet,57.982,37.372,1,1
15.228,t2_squeezenet,33.040,31.679,0,1
15.262,t2_squeezenet,31.827,29.145,0,1
15.345,t2_squeezenet,41.786,37.638,1,1
15.382,t2_squeezenet,47.927,36.434,0,1
15.437,t2_squeezenet,36.891,34.828,0,1
15.527,t2_squeezenet,32.760,29.579,0,1
15.571,t2_squeezenet,34.603,33.603,0,1
15.666,t2_squeezenet,34.069,29.760,0,1
15.761,t2_squeezenet,34.930,33.916,1,1
15.808,t2_squeezenet,50.991,46.547,1,1
15.852,t2_squeezenet,60.079,44.726,1,1
15.896,t2_squeezenet,60.411,43.228,1,1
15.939,t2_squeezenet,73.848,43.231,0,1
16.006,t2_squeezenet,48.054,46.633,2,1
16.041,t2_squeezenet,61.799,35.461,3,1
16.074,t2_squeezenet,84.195,32.338,2,1
16.109,t2_squeezenet,80.510,34.808,1,1
16.144,t2_squeezenet,104.130,35.704,0,1
16.230,t2_squeezenet,34.296,29.424,0,1
16.306,t2_squeezenet,38.722,35.667,0,1
16.377,t2_squeezenet,35.285,31.046,1,1
16.412,t2_squeezenet,51.098,34.722,0,1
16.500,t2_squeezenet,32.781,32.338,0,1
16.650,t2_squeezenet,46.701,41.664,2,1
16.683,t2_squeezenet,38.422,32.730,2,1
16.718,t2_squeezenet,72.209,35.158,2,1
16.750,t2_squeezenet,97.725,32.031,1,1
16.779,t2_squeezenet,95.616,29.419,1,1
16.808,t2_squeezenet,54.566,28.999,2,1
16.837,t2_squeezenet,38.295,29.010,2,1
16.867,t2_squeezenet,62.107,29.451,2,1
16.897,t2_squeezenet,78.660,29.990,1,1
16.939,t2_squeezenet,75.096,41.657,0,1
17.039,t2_squeezenet,34.289,33.807,0,1
17.073,t2_squeezenet,29.544,28.991,2,1
17.107,t2_squeezenet,51.976,33.757,1,1
17.142,t2_squeezenet,84.346,35.674,0,1
17.255,t2_squeezenet,36.133,31.791,1,1
17.285,t2_squeezenet,30.429,29.461,0,1
17.401,t2_squeezenet,46.150,45.484,0,1
17.532,t2_squeezenet,31.061,29.644,1,1
17.567,t2_squeezenet,46.341,35.087,0,1
17.606,t2_squeezenet,31.632,28.999,0,1
17.958,t2_squeezenet,51.697,47.345,3,1
17.994,t2_squeezenet,82.772,36.329,3,1
18.030,t2_squeezenet,103.452,36.339,3,1
18.065,t2_squeezenet,135.392,34.620,2,1
18.100,t2_squeezenet,133.837,34.875,1,1
18.135,t2_squeezenet,133.985,34.701,1,1
18.171,t2_squeezenet,70.149,36.198,1,1
18.207,t2_squeezenet,64.872,35.962,0,1
18.269,t2_squeezenet,38.128,36.314,0,1
18.384,t2_squeezenet,29.995,29.581,0,1
18.480,t2_squeezenet,32.196,29.854,1,1
18.509,t2_squeezenet,48.138,29.503,1,1
18.545,t2_squeezenet,37.735,35.035,1,1
18.575,t2_squeezenet,49.053,30.810,2,1
18.604,t2_squeezenet,52.688,28.925,1,1
18.633,t2_squeezenet,70.568,29.019,1,1
18.667,t2_squeezenet,38.318,33.266,1,1
18.700,t2_squeezenet,35.193,33.501,2,1
18.729,t2_squeezenet,57.805,28.978,1,1
18.765,t2_squeezenet,85.737,36.079,0,1
18.816,t2_squeezenet,37.630,35.640,0,1
18.877,t2_squeezenet,36.725,35.773,2,1
18.914,t2_squeezenet,67.887,36.312,3,1
18.950,t2_squeezenet,91.376,35.925,3,1
18.981,t2_squeezenet,83.213,31.225,2,1
19.010,t2_squeezenet,105.799,29.044,3,1
19.040,t2_squeezenet,94.732,29.726,2,1
19.069,t2_squeezenet,64.053,29.719,1,1
