step,t_s,T_c,T_pred_c,freq_mhz,util_pct,solver_ms,mode,agg_duty,duty0,duty1,duty2
0,0.00,53.45,59.49,2400,0.0,0.00,equal,3.0000,1.0000,1.0000,1.0000
1,1.00,53.45,59.49,2400,25.4,0.00,equal,3.0000,1.0000,1.0000,1.0000
2,2.00,54.55,59.49,2400,60.2,0.01,equal,3.0000,1.0000,1.0000,1.0000
3,3.00,55.10,59.49,2400,53.8,0.01,equal,3.0000,1.0000,1.0000,1.0000
4,4.00,56.20,59.49,2400,72.0,0.00,equal,3.0000,1.0000,1.0000,1.0000
5,5.00,55.65,59.49,2400,46.9,0.01,equal,3.0000,1.0000,1.0000,1.0000
6,6.00,54.55,59.49,2400,52.5,0.00,equal,3.0000,1.0000,1.0000,1.0000
7,7.00,55.65,59.49,2400,42.8,0.02,equal,3.0000,1.0000,1.0000,1.0000
8,8.00,54.00,59.49,2400,40.7,0.00,equal,3.0000,1.0000,1.0000,1.0000
9,9.00,55.10,59.49,2400,43.7,0.00,equal,3.0000,1.0000,1.0000,1.0000
10,10.00,54.55,59.49,2400,48.0,0.00,equal,3.0000,1.0000,1.0000,1.0000
11,11.00,55.10,59.49,2400,49.1,0.00,equal,3.0000,1.0000,1.0000,1.0000
12,12.00,56.20,59.49,2400,67.9,0.00,equal,3.0000,1.0000,1.0000,1.0000
13,13.00,56.20,59.49,2400,66.7,0.00,equal,3.0000,1.0000,1.0000,1.0000
14,14.00,54.55,59.49,2400,37.6,0.01,equal,3.0000,1.0000,1.0000,1.0000
15,15.00,54.00,59.49,2400,29.3,0.00,equal,3.0000,1.0000,1.0000,1.0000
16,16.00,54.55,59.49,2400,55.0,0.00,equal,3.0000,1.0000,1.0000,1.0000
17,17.00,55.65,59.49,2400,42.6,0.00,equal,3.0000,1.0000,1.0000,1.0000
18,18.00,55.10,59.49,2400,46.1,0.00,equal,3.0000,1.0000,1.0000,1.0000
19,19.01,55.10,59.49,2400,46.2,0.00,equal,3.0000,1.0000,1.0000,1.0000
20,20.01,55.10,59.49,2400,42.9,0.00,equal,3.0000,1.0000,1.0000,1.0000
21,21.01,55.65,59.49,2400,53.6,0.00,equal,3.0000,1.0000,1.0000,1.0000
22,22.01,53.45,59.49,2400,44.2,0.00,equal,3.0000,1.0000,1.0000,1.0000
