t_s,tenant,latency_ms,service_ms,qdepth,warmup
0.104,t0_mnv2,42.517,42.121,0,1
0.214,t0_mnv2,55.485,54.265,2,1
0.263,t0_mnv2,63.909,48.437,2,1
0.304,t0_mnv2,91.492,41.617,2,1
0.346,t0_mnv2,85.384,41.846,2,1
0.394,t0_mnv2,94.018,47.842,2,1
0.432,t0_mnv2,109.195,38.124,1,1
0.472,t0_mnv2,79.691,39.166,1,1
0.510,t0_mnv2,48.912,38.536,0,1
0.587,t0_mnv2,44.130,41.332,1,1
0.625,t0_mnv2,50.411,37.598,0,1
0.691,t0_mnv2,44.383,41.285,0,1
0.819,t0_mnv2,43.377,42.020,0,1
0.884,t0_mnv2,47.532,44.161,1,1
0.928,t0_mnv2,62.473,43.886,1,1
0.974,t0_mnv2,74.548,46.621,0,1
1.065,t0_mnv2,50.653,49.861,2,1
1.106,t0_mnv2,80.450,41.129,2,1
1.148,t0_mnv2,121.360,41.485,1,1
1.187,t0_mnv2,108.816,39.482,0,1
1.273,t0_mnv2,43.193,40.115,0,1
1.367,t0_mnv2,45.268,42.456,0,1
1.412,t0_mnv2,41.567,40.613,1,1
1.452,t0_mnv2,65.987,40.213,1,1
1.492,t0_mnv2,76.633,39.760,2,1
1.538,t0_mnv2,82.256,46.220,1,1
1.581,t0_mnv2,99.045,42.906,0,1
1.721,t0_mnv2,59.713,59.370,0,1
1.821,t0_mnv2,37.963,34.826,0,1
1.898,t0_mnv2,40.061,36.816,1,1
1.937,t0_mnv2,55.305,38.835,0,1
2.144,t0_mnv2,43.823,40.298,1,1
2.179,t0_mnv2,73.313,34.573,0,1
2.378,t0_mnv2,42.196,37.615,2,1
2.425,t0_mnv2,54.221,46.773,2,1
2.473,t0_mnv2,100.285,47.586,2,1
2.514,t0_mnv2,126.813,40.933,5,1
2.552,t0_mnv2,83.091,38.652,4,1
2.588,t0_mnv2,98.800,35.777,3,1
2.624,t0_mnv2,120.363,35.362,2,1
2.658,t0_mnv2,152.819,34.652,1,1
2.694,t0_mnv2,188.674,36.044,0,1
2.960,t0_mnv2,54.003,52.452,2,1
3.010,t0_mnv2,95.258,49.659,1,1
3.049,t0_mnv2,134.197,39.369,0,1
3.153,t0_mnv2,49.092,48.720,0,1
3.337,t0_mnv2,46.844,46.631,0,1
3.449,t0_mnv2,55.633,50.761,1,1
3.498,t0_mnv2,79.973,49.852,0,1
3.580,t0_mnv2,54.413,51.370,3,1
3.631,t0_mnv2,104.453,50.253,4,1
3.667,t0_mnv2,135.352,36.542,4,1
3.704,t0_mnv2,134.518,36.913,4,1
3.748,t0_mnv2,139.502,44.246,4,1
3.797,t0_mnv2,170.166,48.674,6,1
3.834,t0_mnv2,172.516,37.420,5,1
3.870,t0_mnv2,193.161,35.315,4,1
3.906,t0_mnv2,160.134,36.373,5,1
3.948,t0_mnv2,198.182,41.688,5,1
3.989,t0_mnv2,227.669,41.389,5,1
4.037,t0_mnv2,260.714,47.909,6,1
4.079,t0_mnv2,195.607,41.531,6,1
4.114,t0_mnv2,211.154,35.147,5,1
4.155,t0_mnv2,244.687,40.880,5,1
4.195,t0_mnv2,240.532,39.694,4,1
4.233,t0_mnv2,219.454,38.624,4,1
4.274,t0_mnv2,252.790,40.839,5,1
4.309,t0_mnv2,255.815,35.007,4,1
4.344,t0_mnv2,211.814,34.567,3,1
4.384,t0_mnv2,166.639,39.758,4,1
4.424,t0_mnv2,190.330,40.727,4,1
4.464,t0_mnv2,214.047,40.021,4,1
4.505,t0_mnv2,156.707,41.065,6,1
4.550,t0_mnv2,192.991,44.067,5,1
4.596,t0_mnv2,208.953,45.934,4,1
4.647,t0_mnv2,199.624,51.391,3,1
4.699,t0_mnv2,231.274,51.555,3,1
4.746,t0_mnv2,268.208,47.539,3,1
4.788,t0_mnv2,305.141,41.509,5,1
4.837,t0_mnv2,166.274,49.478,5,1
4.889,t0_mnv2,190.603,52.239,5,1
4.938,t0_mnv2,183.853,48.367,4,1
4.986,t0_mnv2,217.116,47.877,3,1
5.037,t0_mnv2,267.118,51.072,2,1
5.089,t0_mnv2,289.330,51.785,5,1
5.136,t0_mnv2,297.267,47.450,4,1
5.187,t0_mnv2,146.800,50.845,3,1
5.237,t0_mnv2,190.143,49.452,2,1
5.289,t0_mnv2,218.451,52.519,1,1
5.337,t0_mnv2,263.653,47.932,2,1
5.386,t0_mnv2,86.795,48.762,1,1
5.438,t0_mnv2,127.717,51.798,1,1
5.488,t0_mnv2,72.346,50.244,2,1
5.537,t0_mnv2,98.175,48.959,2,1
5.588,t0_mnv2,124.079,50.807,1,1
5.639,t0_mnv2,131.350,50.832,0,1
5.798,t0_mnv2,56.323,52.509,0,1
6.032,t0_mnv2,43.286,41.898,1,1
6.085,t0_mnv2,88.559,53.006,1,1
6.127,t0_mnv2,84.317,42.212,0,1
6.197,t0_mnv2,42.433,39.629,2,1
6.235,t0_mnv2,77.732,37.383,1,1
6.271,t0_mnv2,111.495,36.499,0,1
6.315,t0_mnv2,42.021,38.996,0,1
6.381,t0_mnv2,41.666,40.281,0,1
6.528,t0_mnv2,40.364,36.021,2,1
6.567,t0_mnv2,65.373,39.118,1,1
6.604,t0_mnv2,80.209,37.058,1,1
6.649,t0_mnv2,65.136,44.150,1,1
6.697,t0_mnv2,86.073,48.091,0,1
6.767,t0_mnv2,52.005,49.808,2,1
6.819,t0_mnv2,91.929,52.277,1,1
6.862,t0_mnv2,102.185,42.566,1,1
6.899,t0_mnv2,38.260,37.156,0,1
7.048,t0_mnv2,38.190,38.107,0,1
7.124,t0_mnv2,40.799,39.899,0,1
7.190,t0_mnv2,53.158,51.635,1,1
7.232,t0_mnv2,46.731,41.025,0,1
7.283,t0_mnv2,37.200,36.624,3,1
7.322,t0_mnv2,63.768,38.948,3,1
7.368,t0_mnv2,107.374,45.927,3,1
7.416,t0_mnv2,139.200,47.743,3,1
7.458,t0_mnv2,162.619,41.633,3,1
7.507,t0_mnv2,160.906,49.381,3,1
7.558,t0_mnv2,166.807,51.288,5,1
7.601,t0_mnv2,176.402,42.371,5,1
7.639,t0_mnv2,132.246,38.425,5,1
7.679,t0_mnv2,157.419,39.266,4,1
7.714,t0_mnv2,171.427,35.652,3,1
7.753,t0_mnv2,198.561,38.940,3,1
7.793,t0_mnv2,215.833,39.708,3,1
7.835,t0_mnv2,226.128,42.381,3,1
7.875,t0_mnv2,141.338,39.502,3,1
7.910,t0_mnv2,134.373,34.637,3,1
7.944,t0_mnv2,110.027,34.728,2,1
7.980,t0_mnv2,108.054,36.135,1,1
8.020,t0_mnv2,144.320,39.544,2,1
8.058,t0_mnv2,67.017,37.488,1,1
8.096,t0_mnv2,105.563,38.892,1,1
8.137,t0_mnv2,49.744,40.383,1,1
8.177,t0_mnv2,65.750,39.729,2,1
8.218,t0_mnv2,60.462,41.489,2,1
8.253,t0_mnv2,83.411,34.702,1,1
8.292,t0_mnv2,77.702,38.946,0,1
8.413,t0_mnv2,42.222,40.285,0,1
8.528,t0_mnv2,42.733,39.215,0,1
8.600,t0_mnv2,42.203,41.173,0,1
8.683,t0_mnv2,51.821,47.351,0,1
8.779,t0_mnv2,55.302,50.345,1,1
8.829,t0_mnv2,83.299,50.429,0,1
9.118,t0_mnv2,42.992,40.884,0,1
9.306,t0_mnv2,40.682,40.390,1,1
9.346,t0_mnv2,53.997,40.627,2,1
9.389,t0_mnv2,76.773,42.672,1,1
9.426,t0_mnv2,91.171,37.022,1,1
9.465,t0_mnv2,52.066,39.102,0,1
9.535,t0_mnv2,37.269,34.830,0,1
9.770,t0_mnv2,40.778,37.280,1,1
9.804,t0_mnv2,36.997,34.522,1,1
9.839,t0_mnv2,67.746,34.950,1,1
9.874,t0_mnv2,59.949,34.767,0,1
9.915,t0_mnv2,36.741,35.725,1,1
9.951,t0_mnv2,52.809,36.073,2,1
9.990,t0_mnv2,51.512,39.229,1,1
10.041,t0_mnv2,98.422,50.753,0,1
10.095,t0_mnv2,39.215,38.934,0,1
10.206,t0_mnv2,42.256,39.831,1,1
10.247,t0_mnv2,60.182,41.348,1,1
10.287,t0_mnv2,62.428,39.928,1,1
10.328,t0_mnv2,44.914,41.070,0,1
10.501,t0_mnv2,41.873,40.674,1,1
10.539,t0_mnv2,75.782,37.918,0,1
10.602,t0_mnv2,38.540,38.059,0,1
10.677,t0_mnv2,45.222,45.121,1,1
10.717,t0_mnv2,50.556,39.865,0,1
10.838,t0_mnv2,51.326,49.669,1,1
10.888,t0_mnv2,96.971,49.435,2,1
10.936,t0_mnv2,81.276,48.470,1,1
10.987,t0_mnv2,124.276,51.120,0,1
11.072,t0_mnv2,44.901,43.862,0,1
11.248,t0_mnv2,50.853,49.925,0,1
11.390,t0_mnv2,37.234,35.334,0,1
11.596,t0_mnv2,42.261,39.088,1,1
11.633,t0_mnv2,65.990,36.772,0,1
11.684,t0_mnv2,35.983,35.915,3,1
11.723,t0_mnv2,63.963,38.768,2,1
11.764,t0_mnv2,101.156,40.651,1,1
11.803,t0_mnv2,134.760,39.525,0,1
11.861,t0_mnv2,38.482,37.977,0,1
11.937,t0_mnv2,35.945,34.772,1,1
11.971,t0_mnv2,56.458,34.577,1,1
12.006,t0_mnv2,39.908,35.111,2,1
12.046,t0_mnv2,74.810,39.723,1,1
12.086,t0_mnv2,105.390,40.129,0,1
12.184,t0_mnv2,44.889,41.815,1,1
12.231,t0_mnv2,66.104,47.139,0,1
12.296,t0_mnv2,50.216,49.934,0,1
12.447,t0_mnv2,39.556,38.979,2,1
12.488,t0_mnv2,53.475,40.373,1,1
12.537,t0_mnv2,94.589,49.860,0,1
12.625,t0_mnv2,50.420,47.176,2,1
12.675,t0_mnv2,84.583,49.309,3,1
12.725,t0_mnv2,109.717,50.297,3,1
12.764,t0_mnv2,134.638,39.189,2,1
12.802,t0_mnv2,166.209,38.093,1,1
12.849,t0_mnv2,161.610,46.413,0,1
12.944,t0_mnv2,53.702,49.385,0,1
13.063,t0_mnv2,55.390,53.394,0,1
13.210,t0_mnv2,55.149,51.231,1,1
13.261,t0_mnv2,61.576,50.916,1,1
13.309,t0_mnv2,95.484,47.382,2,1
13.358,t0_mnv2,85.728,48.941,2,1
13.408,t0_mnv2,118.451,49.903,1,1
13.459,t0_mnv2,127.658,50.748,1,1
13.505,t0_mnv2,63.689,46.513,1,1
13.554,t0_mnv2,63.438,49.318,1,1
13.601,t0_mnv2,56.749,46.266,0,1
13.655,t0_mnv2,52.432,49.166,3,1
13.703,t0_mnv2,89.542,48.444,3,1
13.754,t0_mnv2,126.975,50.448,2,1
13.806,t0_mnv2,173.038,51.793,1,1
13.856,t0_mnv2,180.776,49.857,0,1
13.975,t0_mnv2,55.231,53.160,2,1
14.023,t0_mnv2,77.802,48.225,1,1
14.071,t0_mnv2,105.830,48.007,0,1
14.233,t0_mnv2,44.438,40.133,0,1
14.290,t0_mnv2,52.427,47.400,1,1
14.340,t0_mnv2,71.866,49.989,1,1
14.389,t0_mnv2,89.688,48.363,0,1
14.442,t0_mnv2,52.538,48.356,1,1
14.495,t0_mnv2,53.746,53.120,0,1
14.578,t0_mnv2,47.206,46.857,1,1
14.628,t0_mnv2,84.085,50.418,0,1
14.708,t0_mnv2,42.937,38.778,0,1
14.761,t0_mnv2,52.435,47.807,0,1
14.851,t0_mnv2,37.016,34.925,0,1
15.041,t0_mnv2,55.241,53.647,0,1
15.172,t0_mnv2,40.949,39.553,0,1
15.524,t0_mnv2,41.688,38.412,2,1
15.562,t0_mnv2,55.506,37.930,2,1
15.608,t0_mnv2,93.677,46.303,1,1
15.654,t0_mnv2,125.323,45.266,0,1
15.749,t0_mnv2,52.001,49.092,1,1
15.797,t0_mnv2,76.403,48.120,0,1
