t_s,tenant,latency_ms,service_ms,qdepth,warmup
0.138,t0_mnv2,50.977,49.534,0,1
0.202,t0_mnv2,46.231,43.215,2,1
0.247,t0_mnv2,50.427,44.852,2,1
0.285,t0_mnv2,87.364,38.218,2,1
0.328,t0_mnv2,82.972,43.039,2,1
0.376,t0_mnv2,117.136,48.140,1,1
0.429,t0_mnv2,142.335,52.812,1,1
0.479,t0_mnv2,64.392,49.966,0,1
0.551,t0_mnv2,49.536,47.116,1,1
0.603,t0_mnv2,57.066,51.210,0,1
0.723,t0_mnv2,38.904,34.624,1,1
0.759,t0_mnv2,43.328,35.590,0,1
0.799,t0_mnv2,35.988,34.530,0,1
0.945,t0_mnv2,42.354,40.565,0,1
1.046,t0_mnv2,44.361,40.368,0,1
1.111,t0_mnv2,43.244,39.063,0,1
1.298,t0_mnv2,43.823,40.188,0,1
1.342,t0_mnv2,35.316,34.579,0,1
1.390,t0_mnv2,42.727,42.181,2,1
1.424,t0_mnv2,61.822,34.563,1,1
1.459,t0_mnv2,71.793,34.575,0,1
1.671,t0_mnv2,43.215,40.388,0,1
1.844,t0_mnv2,117.224,116.247,1,1
1.907,t0_mnv2,143.595,62.484,2,1
1.969,t0_mnv2,114.641,62.383,3,1
2.034,t0_mnv2,177.958,64.684,3,1
2.086,t0_mnv2,140.561,51.794,2,1
2.158,t0_mnv2,204.353,72.449,5,1
2.248,t0_mnv2,234.560,89.758,5,1
2.334,t0_mnv2,212.240,85.584,6,1
2.422,t0_mnv2,298.316,88.146,7,1
2.469,t0_mnv2,334.321,46.951,6,1
2.556,t0_mnv2,413.752,86.684,5,1
2.637,t0_mnv2,466.982,81.284,5,1
2.677,t0_mnv2,415.115,39.890,4,1
2.758,t0_mnv2,456.643,80.873,3,1
2.842,t0_mnv2,477.335,83.599,4,1
2.934,t0_mnv2,538.574,92.590,5,1
3.023,t0_mnv2,443.458,88.713,5,1
3.073,t0_mnv2,288.063,49.745,5,1
3.143,t0_mnv2,312.936,70.364,5,1
3.234,t0_mnv2,375.154,91.081,6,1
3.277,t0_mnv2,406.066,43.268,5,1
3.361,t0_mnv2,360.768,83.184,5,1
3.442,t0_mnv2,390.318,81.037,7,1
3.530,t0_mnv2,392.371,88.142,9,1
3.583,t0_mnv2,423.005,52.570,9,1
3.667,t0_mnv2,469.675,84.337,8,1
3.740,t0_mnv2,443.226,73.414,7,1
3.779,t0_mnv2,386.377,38.289,6,1
3.858,t0_mnv2,448.240,78.994,7,1
3.934,t0_mnv2,499.672,75.938,8,1
3.974,t0_mnv2,517.185,40.478,8,1
4.050,t0_mnv2,585.893,76.034,10,1
4.086,t0_mnv2,574.382,35.868,9,1
4.141,t0_mnv2,598.039,54.940,8,1
4.181,t0_mnv2,373.008,40.166,8,1
4.257,t0_mnv2,422.267,75.338,9,1
4.326,t0_mnv2,452.422,69.127,9,1
4.368,t0_mnv2,488.307,41.948,8,1
4.437,t0_mnv2,486.522,69.080,7,1
4.477,t0_mnv2,497.895,39.995,7,1
4.552,t0_mnv2,557.218,74.575,6,1
4.630,t0_mnv2,622.673,78.539,5,1
4.679,t0_mnv2,529.467,49.248,6,1
4.759,t0_mnv2,569.180,79.814,5,1
4.836,t0_mnv2,612.109,76.556,5,1
4.874,t0_mnv2,597.172,38.518,4,1
4.952,t0_mnv2,483.765,78.017,6,1
5.030,t0_mnv2,358.955,77.915,5,1
5.075,t0_mnv2,398.368,44.312,4,1
5.126,t0_mnv2,364.726,51.713,4,1
5.165,t0_mnv2,269.215,38.203,3,1
5.226,t0_mnv2,319.462,61.076,2,1
5.267,t0_mnv2,315.534,41.155,1,1
5.342,t0_mnv2,253.907,75.247,0,1
5.426,t0_mnv2,44.624,41.989,0,1
5.492,t0_mnv2,36.925,36.419,0,1
5.589,t0_mnv2,42.929,40.575,0,1
5.804,t0_mnv2,39.992,38.432,0,1
5.855,t0_mnv2,36.425,35.702,0,1
5.972,t0_mnv2,45.059,40.609,1,1
6.023,t0_mnv2,74.769,51.829,1,1
6.064,t0_mnv2,50.938,40.789,0,1
6.150,t0_mnv2,35.518,35.454,0,1
6.408,t0_mnv2,37.330,35.091,0,1
6.566,t0_mnv2,42.192,41.425,1,1
6.626,t0_mnv2,79.091,60.390,1,1
6.661,t0_mnv2,62.766,34.748,0,1
6.744,t0_mnv2,39.132,38.035,0,1
6.981,t0_mnv2,35.447,34.573,0,1
7.021,t0_mnv2,38.179,34.904,0,1
7.080,t0_mnv2,40.904,38.670,0,1
7.211,t0_mnv2,42.315,39.424,1,1
7.250,t0_mnv2,49.242,39.763,0,1
7.296,t0_mnv2,45.772,40.965,3,1
7.336,t0_mnv2,84.409,39.802,2,1
7.376,t0_mnv2,124.327,40.034,1,1
7.430,t0_mnv2,169.594,53.645,1,1
7.464,t0_mnv2,61.440,34.459,0,1
7.547,t0_mnv2,48.800,46.120,1,1
7.585,t0_mnv2,85.413,37.849,1,1
7.637,t0_mnv2,66.163,52.492,0,1
7.730,t0_mnv2,48.963,47.025,0,1
7.829,t0_mnv2,52.053,48.747,0,1
7.959,t0_mnv2,41.310,38.153,0,1
8.018,t0_mnv2,47.147,44.555,1,1
8.062,t0_mnv2,57.371,43.234,0,1
8.159,t0_mnv2,46.102,41.441,0,1
8.279,t0_mnv2,42.055,39.377,1,1
8.325,t0_mnv2,59.302,45.738,0,1
8.499,t0_mnv2,38.207,37.536,0,1
8.631,t0_mnv2,38.346,35.625,0,1
8.708,t0_mnv2,43.432,41.354,0,1
8.869,t0_mnv2,42.810,39.976,0,1
8.930,t0_mnv2,43.078,40.303,0,1
8.986,t0_mnv2,49.135,46.290,1,1
9.032,t0_mnv2,57.545,45.846,1,1
9.083,t0_mnv2,75.377,50.915,2,1
9.135,t0_mnv2,83.845,51.900,1,1
9.187,t0_mnv2,126.830,51.594,2,1
9.238,t0_mnv2,98.740,51.344,1,1
9.289,t0_mnv2,111.210,51.278,1,1
9.348,t0_mnv2,90.218,58.397,2,1
9.395,t0_mnv2,73.387,47.282,3,1
9.446,t0_mnv2,120.310,51.289,2,1
9.496,t0_mnv2,127.308,49.876,1,1
9.552,t0_mnv2,172.619,55.934,0,1
9.615,t0_mnv2,49.079,47.844,0,1
9.872,t0_mnv2,41.775,38.731,0,1
9.953,t0_mnv2,37.408,35.090,0,1
10.028,t0_mnv2,38.045,34.584,0,1
10.079,t0_mnv2,44.085,41.230,2,1
10.113,t0_mnv2,51.415,34.395,1,1
10.148,t0_mnv2,75.903,34.499,1,1
10.183,t0_mnv2,47.325,34.907,0,1
10.233,t0_mnv2,41.837,40.515,0,1
10.283,t0_mnv2,42.953,39.914,0,1
10.412,t0_mnv2,51.505,47.043,0,1
10.477,t0_mnv2,55.836,55.333,1,1
10.518,t0_mnv2,87.417,40.819,0,1
10.578,t0_mnv2,54.444,49.447,0,1
10.749,t0_mnv2,44.558,39.747,0,1
10.895,t0_mnv2,43.681,39.763,0,1
10.962,t0_mnv2,42.315,40.827,0,1
11.017,t0_mnv2,50.466,50.075,0,1
11.134,t0_mnv2,38.153,36.405,0,1
11.180,t0_mnv2,39.184,35.390,0,1
11.268,t0_mnv2,41.076,37.631,1,1
11.305,t0_mnv2,44.873,36.503,0,1
11.421,t0_mnv2,41.868,40.290,0,1
11.516,t0_mnv2,37.469,34.666,1,1
11.551,t0_mnv2,40.814,34.378,1,1
11.586,t0_mnv2,62.618,34.957,0,1
11.712,t0_mnv2,37.376,35.419,1,1
11.749,t0_mnv2,50.270,36.295,1,1
11.785,t0_mnv2,65.851,36.179,2,1
11.823,t0_mnv2,61.655,38.027,3,1
11.873,t0_mnv2,96.924,50.394,4,1
11.917,t0_mnv2,123.520,43.440,4,1
11.962,t0_mnv2,155.646,44.991,3,1
12.010,t0_mnv2,179.281,47.643,4,1
12.055,t0_mnv2,219.260,45.656,5,1
12.106,t0_mnv2,191.969,50.329,4,1
12.160,t0_mnv2,195.337,54.557,4,1
12.206,t0_mnv2,226.711,45.788,3,1
12.259,t0_mnv2,238.670,52.877,3,1
12.310,t0_mnv2,262.580,50.744,3,1
12.356,t0_mnv2,198.457,46.187,2,1
12.400,t0_mnv2,144.639,44.102,2,1
12.447,t0_mnv2,177.576,46.827,2,1
12.496,t0_mnv2,99.274,49.487,2,1
12.549,t0_mnv2,134.819,52.807,2,1
12.599,t0_mnv2,112.290,50.031,1,1
12.638,t0_mnv2,122.167,38.282,0,1
12.691,t0_mnv2,39.345,38.173,2,1
12.730,t0_mnv2,71.204,38.591,1,1
12.766,t0_mnv2,85.778,35.997,1,1
12.800,t0_mnv2,58.320,34.329,1,1
12.834,t0_mnv2,65.062,34.477,1,1
12.869,t0_mnv2,46.375,34.770,0,1
12.965,t0_mnv2,42.331,40.407,0,1
13.096,t0_mnv2,43.077,39.347,0,1
13.212,t0_mnv2,44.374,39.781,2,1
13.249,t0_mnv2,59.076,37.687,2,1
13.289,t0_mnv2,82.859,39.647,1,1
13.327,t0_mnv2,87.467,38.430,0,1
13.523,t0_mnv2,43.187,37.960,0,1
13.662,t0_mnv2,37.867,37.833,0,1
13.936,t0_mnv2,45.496,40.533,0,1
14.117,t0_mnv2,36.924,34.727,1,1
14.153,t0_mnv2,65.579,36.033,1,1
14.193,t0_mnv2,71.623,39.563,0,1
14.243,t0_mnv2,47.332,44.688,0,1
14.345,t0_mnv2,41.858,40.866,0,1
14.405,t0_mnv2,49.870,44.994,0,1
14.482,t0_mnv2,44.235,41.680,1,1
14.533,t0_mnv2,78.890,50.466,1,1
14.581,t0_mnv2,61.975,48.306,0,1
14.690,t0_mnv2,48.963,47.888,0,1
14.826,t0_mnv2,42.293,39.625,1,1
14.862,t0_mnv2,40.838,35.883,1,1
14.899,t0_mnv2,68.117,37.528,0,1
15.012,t0_mnv2,37.006,36.395,1,1
15.053,t0_mnv2,69.730,41.004,1,1
15.103,t0_mnv2,63.232,50.103,0,1
15.250,t0_mnv2,52.877,51.180,1,1
15.299,t0_mnv2,91.680,49.063,1,1
15.340,t0_mnv2,50.965,40.348,0,1
15.613,t0_mnv2,48.047,45.075,1,1
15.660,t0_mnv2,60.751,47.077,1,1
15.718,t0_mnv2,62.403,58.040,0,1
15.774,t0_mnv2,41.166,36.278,0,1
15.840,t0_mnv2,46.749,45.826,0,1
15.912,t0_mnv2,37.808,36.402,1,1
15.958,t0_mnv2,65.160,45.815,1,1
16.009,t0_mnv2,93.281,50.786,0,1
16.065,t0_mnv2,53.863,51.134,0,1
16.154,t0_mnv2,51.626,48.133,4,1
16.194,t0_mnv2,88.413,39.616,5,1
16.231,t0_mnv2,101.540,37.814,4,1
16.278,t0_mnv2,147.734,47.009,3,1
16.326,t0_mnv2,192.469,47.308,2,1
16.376,t0_mnv2,220.656,50.243,1,1
