t_s,tenant,latency_ms,service_ms,qdepth,warmup
0.066,t2_squeezenet,47.202,45.589,0,1
0.185,t2_squeezenet,44.173,42.279,0,1
0.242,t2_squeezenet,47.108,46.943,1,1
0.289,t2_squeezenet,65.195,46.688,1,1
0.329,t2_squeezenet,49.726,40.793,1,1
0.368,t2_squeezenet,59.449,38.374,0,1
0.424,t2_squeezenet,48.433,45.928,1,1
0.463,t2_squeezenet,46.973,39.318,0,1
0.759,t2_squeezenet,35.388,32.136,2,1
0.792,t2_squeezenet,65.042,32.933,1,1
0.821,t2_squeezenet,77.128,29.019,0,1
0.887,t2_squeezenet,39.662,35.731,0,1
0.961,t2_squeezenet,36.548,34.312,0,1
1.077,t2_squeezenet,34.654,29.693,2,1
1.108,t2_squeezenet,56.403,30.661,1,1
1.143,t2_squeezenet,83.745,35.374,0,1
1.232,t2_squeezenet,39.109,38.016,0,1
1.438,t2_squeezenet,33.331,29.205,1,1
1.468,t2_squeezenet,46.416,30.200,2,1
1.503,t2_squeezenet,53.589,34.882,2,1
1.537,t2_squeezenet,83.479,33.901,1,1
1.573,t2_squeezenet,95.491,36.262,3,1
1.617,t2_squeezenet,79.206,43.180,2,1
1.660,t2_squeezenet,108.940,43.269,1,1
1.716,t2_squeezenet,159.344,56.397,1,1
1.771,t2_squeezenet,87.606,55.014,1,1
1.829,t2_squeezenet,72.135,57.552,1,1
1.883,t2_squeezenet,61.380,54.379,0,1
1.940,t2_squeezenet,47.437,46.329,0,1
1.999,t2_squeezenet,39.600,38.749,0,1
2.073,t2_squeezenet,66.319,63.441,1,1
2.117,t2_squeezenet,105.630,43.796,1,1
2.202,t2_squeezenet,107.364,85.577,0,1
2.273,t2_squeezenet,50.108,45.387,0,1
2.320,t2_squeezenet,42.905,41.804,1,1
2.400,t2_squeezenet,100.802,80.170,0,1
2.615,t2_squeezenet,45.603,42.234,0,1
2.673,t2_squeezenet,35.474,32.542,2,1
2.719,t2_squeezenet,70.891,46.351,3,1
2.806,t2_squeezenet,142.709,86.964,3,1
2.883,t2_squeezenet,209.182,77.232,3,1
2.929,t2_squeezenet,216.175,45.893,2,1
2.990,t2_squeezenet,242.895,60.787,1,1
3.072,t2_squeezenet,260.939,82.140,1,1
3.113,t2_squeezenet,52.258,41.028,1,1
3.190,t2_squeezenet,80.523,76.133,1,1
3.268,t2_squeezenet,88.056,78.831,1,1
3.316,t2_squeezenet,72.654,47.951,1,1
3.398,t2_squeezenet,127.894,81.175,1,1
3.478,t2_squeezenet,124.135,80.742,1,1
3.521,t2_squeezenet,90.287,42.621,0,1
3.719,t2_squeezenet,40.658,35.555,0,1
3.820,t2_squeezenet,35.423,35.364,0,1
3.877,t2_squeezenet,33.591,31.213,0,1
3.964,t2_squeezenet,36.821,36.534,3,1
3.999,t2_squeezenet,51.660,34.353,2,1
4.062,t2_squeezenet,105.782,63.626,2,1
4.097,t2_squeezenet,137.744,34.734,3,1
4.163,t2_squeezenet,125.290,65.718,3,1
4.199,t2_squeezenet,131.864,36.700,4,1
4.268,t2_squeezenet,179.350,68.556,3,1
4.305,t2_squeezenet,146.424,36.622,5,1
4.370,t2_squeezenet,201.951,65.366,4,1
4.411,t2_squeezenet,219.126,41.206,3,1
4.484,t2_squeezenet,189.785,72.747,3,1
4.527,t2_squeezenet,224.988,43.032,2,1
4.604,t2_squeezenet,300.728,76.789,1,1
4.676,t2_squeezenet,245.780,71.650,0,1
4.819,t2_squeezenet,47.613,47.233,0,1
4.877,t2_squeezenet,35.801,32.524,0,1
4.930,t2_squeezenet,46.406,42.648,0,1
5.136,t2_squeezenet,43.899,43.369,2,1
5.167,t2_squeezenet,39.471,30.956,2,1
5.204,t2_squeezenet,70.666,37.263,2,1
5.261,t2_squeezenet,110.192,57.049,1,1
5.293,t2_squeezenet,109.309,31.611,0,1
5.364,t2_squeezenet,32.422,30.560,1,1
5.393,t2_squeezenet,32.490,29.231,2,1
5.429,t2_squeezenet,60.506,35.382,1,1
5.477,t2_squeezenet,94.826,47.991,0,1
5.531,t2_squeezenet,33.988,29.045,1,1
5.562,t2_squeezenet,60.282,30.617,0,1
5.601,t2_squeezenet,29.761,29.546,1,1
5.636,t2_squeezenet,51.768,35.032,0,1
5.727,t2_squeezenet,31.633,29.919,1,1
5.756,t2_squeezenet,31.159,29.086,1,1
5.788,t2_squeezenet,51.480,32.098,2,1
5.825,t2_squeezenet,67.128,36.729,2,1
5.884,t2_squeezenet,119.708,58.552,1,1
5.916,t2_squeezenet,110.775,32.369,1,1
5.945,t2_squeezenet,58.158,28.991,0,1
6.293,t2_squeezenet,32.607,29.361,0,1
6.446,t2_squeezenet,49.854,46.104,0,1
6.535,t2_squeezenet,32.539,29.093,1,1
6.569,t2_squeezenet,36.929,33.198,0,1
6.664,t2_squeezenet,32.787,29.159,1,1
6.693,t2_squeezenet,35.263,29.028,0,1
6.728,t2_squeezenet,34.668,30.224,0,1
6.909,t2_squeezenet,35.594,34.345,0,1
6.949,t2_squeezenet,33.135,29.725,2,1
6.979,t2_squeezenet,57.989,30.105,1,1
7.008,t2_squeezenet,83.005,29.508,1,1
7.043,t2_squeezenet,54.743,34.355,1,1
7.091,t2_squeezenet,70.640,47.822,2,1
7.127,t2_squeezenet,73.398,36.736,2,1
7.171,t2_squeezenet,115.777,43.545,1,1
7.207,t2_squeezenet,92.185,35.619,0,1
7.254,t2_squeezenet,41.986,37.170,0,1
7.384,t2_squeezenet,44.105,44.039,0,1
7.481,t2_squeezenet,44.322,40.479,0,1
7.568,t2_squeezenet,44.021,41.691,2,1
7.602,t2_squeezenet,67.377,34.454,2,1
7.641,t2_squeezenet,77.291,38.631,1,1
7.686,t2_squeezenet,114.891,45.252,1,1
7.717,t2_squeezenet,55.934,30.828,0,1
7.766,t2_squeezenet,37.581,33.507,0,1
7.865,t2_squeezenet,41.045,37.974,1,1
7.902,t2_squeezenet,62.238,37.244,2,1
7.932,t2_squeezenet,44.228,30.061,1,1
7.961,t2_squeezenet,66.238,29.199,1,1
7.998,t2_squeezenet,63.997,36.340,0,1
8.042,t2_squeezenet,33.710,29.134,0,1
8.174,t2_squeezenet,43.323,40.140,1,1
8.206,t2_squeezenet,50.477,32.331,1,1
8.240,t2_squeezenet,58.052,34.023,0,1
8.324,t2_squeezenet,36.455,33.416,0,1
8.446,t2_squeezenet,31.176,30.344,0,1
8.529,t2_squeezenet,39.672,38.282,0,1
8.587,t2_squeezenet,35.198,31.691,1,1
8.620,t2_squeezenet,40.567,33.674,1,1
8.652,t2_squeezenet,37.954,31.834,2,1
8.691,t2_squeezenet,60.956,38.978,4,1
8.723,t2_squeezenet,92.220,32.318,4,1
8.764,t2_squeezenet,99.249,40.122,3,1
8.797,t2_squeezenet,120.293,33.650,3,1
8.841,t2_squeezenet,152.656,43.504,2,1
8.896,t2_squeezenet,193.647,55.315,1,1
8.941,t2_squeezenet,172.592,44.732,2,1
8.987,t2_squeezenet,86.195,45.960,1,1
9.033,t2_squeezenet,115.683,46.023,3,1
9.077,t2_squeezenet,64.697,44.030,4,1
9.124,t2_squeezenet,99.885,46.548,6,1
9.176,t2_squeezenet,144.472,51.938,6,1
9.221,t2_squeezenet,175.018,44.844,7,1
9.268,t2_squeezenet,201.626,47.364,6,1
9.312,t2_squeezenet,225.614,43.827,6,1
9.363,t2_squeezenet,272.435,51.145,5,1
9.403,t2_squeezenet,289.078,39.581,4,1
9.444,t2_squeezenet,305.510,40.959,3,1
9.480,t2_squeezenet,300.881,36.300,4,1
9.513,t2_squeezenet,328.155,32.775,4,1
9.546,t2_squeezenet,236.663,32.673,3,1
9.580,t2_squeezenet,132.814,34.731,3,1
9.609,t2_squeezenet,148.473,29.083,3,1
9.639,t2_squeezenet,150.701,29.555,2,1
9.674,t2_squeezenet,124.751,34.839,1,1
9.708,t2_squeezenet,103.761,34.113,0,1
9.763,t2_squeezenet,31.199,29.653,0,1
9.921,t2_squeezenet,38.528,36.976,0,1
10.069,t2_squeezenet,38.294,35.586,2,1
10.103,t2_squeezenet,47.680,34.226,2,1
10.135,t2_squeezenet,69.591,32.311,1,1
10.166,t2_squeezenet,72.522,30.400,0,1
10.207,t2_squeezenet,30.828,30.796,1,1
10.250,t2_squeezenet,63.659,43.382,0,1
10.314,t2_squeezenet,49.113,48.429,1,1
10.354,t2_squeezenet,54.919,39.984,0,1
10.406,t2_squeezenet,43.415,42.253,2,1
10.441,t2_squeezenet,72.533,34.770,1,1
10.473,t2_squeezenet,74.146,31.459,0,1
10.515,t2_squeezenet,35.605,32.721,1,1
10.546,t2_squeezenet,35.990,30.716,1,1
10.581,t2_squeezenet,34.947,34.865,1,1
10.612,t2_squeezenet,51.360,30.541,0,1
10.646,t2_squeezenet,32.539,29.032,1,1
10.675,t2_squeezenet,46.474,29.638,0,1
10.760,t2_squeezenet,38.082,33.729,0,1
10.857,t2_squeezenet,49.455,45.627,2,1
10.887,t2_squeezenet,69.113,30.131,1,1
10.917,t2_squeezenet,96.596,29.851,0,1
10.955,t2_squeezenet,37.661,32.740,0,1
11.046,t2_squeezenet,35.356,31.101,1,1
11.077,t2_squeezenet,51.185,30.437,0,1
11.260,t2_squeezenet,37.298,35.706,1,1
11.290,t2_squeezenet,58.881,30.700,1,1
11.320,t2_squeezenet,32.276,29.349,0,1
11.485,t2_squeezenet,31.363,29.267,0,1
11.728,t2_squeezenet,52.141,49.849,3,1
11.763,t2_squeezenet,67.924,35.339,2,1
11.801,t2_squeezenet,92.156,37.529,1,1
11.846,t2_squeezenet,120.403,44.998,1,1
11.890,t2_squeezenet,82.640,44.266,0,1
11.952,t2_squeezenet,50.597,46.800,1,1
12.000,t2_squeezenet,76.193,47.308,1,1
12.042,t2_squeezenet,76.759,42.630,2,1
12.090,t2_squeezenet,89.834,47.789,3,1
12.136,t2_squeezenet,113.170,45.650,3,1
12.182,t2_squeezenet,121.624,45.718,2,1
12.218,t2_squeezenet,155.836,36.723,2,1
12.260,t2_squeezenet,132.192,41.397,3,1
12.303,t2_squeezenet,118.919,43.037,3,1
12.347,t2_squeezenet,127.765,43.877,2,1
12.393,t2_squeezenet,145.413,46.520,1,1
12.440,t2_squeezenet,180.142,46.624,0,1
12.775,t2_squeezenet,30.668,30.510,1,1
12.810,t2_squeezenet,38.699,34.894,1,1
12.840,t2_squeezenet,62.473,29.771,0,1
12.900,t2_squeezenet,32.075,29.305,0,1
12.944,t2_squeezenet,37.416,33.616,0,1
13.015,t2_squeezenet,34.014,30.468,0,1
13.285,t2_squeezenet,40.334,36.380,0,1
13.399,t2_squeezenet,35.532,32.538,1,1
13.432,t2_squeezenet,57.142,32.958,0,1
13.480,t2_squeezenet,33.240,33.023,0,1
13.577,t2_squeezenet,33.487,30.751,0,1
13.640,t2_squeezenet,35.564,32.603,0,1
13.678,t2_squeezenet,34.887,32.819,2,1
13.709,t2_squeezenet,53.828,30.691,2,1
13.739,t2_squeezenet,72.022,30.252,2,1
13.775,t2_squeezenet,75.083,35.693,1,1
13.804,t2_squeezenet,84.652,29.783,1,1
13.833,t2_squeezenet,31.546,28.994,0,1
14.068,t2_squeezenet,46.652,42.086,0,1
14.119,t2_squeezenet,38.084,35.933,0,1
14.159,t2_squeezenet,39.364,34.953,2,1
14.193,t2_squeezenet,50.960,33.942,1,1
14.235,t2_squeezenet,88.572,42.177,0,1
14.365,t2_squeezenet,51.486,48.955,2,1
14.409,t2_squeezenet,87.425,43.835,1,1
14.445,t2_squeezenet,119.586,35.368,0,1
14.521,t2_squeezenet,48.273,45.882,0,1
14.577,t2_squeezenet,33.992,31.007,0,1
14.789,t2_squeezenet,37.507,34.190,0,1
14.940,t2_squeezenet,50.339,49.095,0,1
15.068,t2_squeezenet,45.115,41.920,1,1
15.115,t2_squeezenet,87.755,46.538,1,1
15.159,t2_squeezenet,70.029,43.816,0,1
15.317,t2_squeezenet,32.315,31.396,0,1
15.451,t2_squeezenet,46.414,43.073,0,1
15.506,t2_squeezenet,44.984,44.807,1,1
15.561,t2_squeezenet,80.905,55.247,0,1
15.663,t2_squeezenet,43.365,41.337,0,1
15.722,t2_squeezenet,33.765,32.942,0,1
15.818,t2_squeezenet,46.359,45.015,2,1
15.860,t2_squeezenet,77.992,42.708,1,1
15.907,t2_squeezenet,112.760,46.783,0,1
15.997,t2_squeezenet,45.835,44.066,0,1
16.097,t2_squeezenet,41.949,38.708,1,1
16.138,t2_squeezenet,73.072,41.149,0,1
16.190,t2_squeezenet,49.201,47.168,3,1
16.235,t2_squeezenet,78.802,45.125,4,1
16.282,t2_squeezenet,107.561,46.893,4,1
16.326,t2_squeezenet,147.316,43.676,3,1
16.357,t2_squeezenet,165.333,31.136,3,1
16.397,t2_squeezenet,181.340,39.886,3,1
16.448,t2_squeezenet,186.031,50.865,2,1
16.483,t2_squeezenet,139.408,34.971,1,1
16.516,t2_squeezenet,122.617,33.110,1,1
16.546,t2_squeezenet,36.533,29.876,1,1
16.587,t2_squeezenet,66.569,40.553,0,1
16.704,t2_squeezenet,49.052,46.840,3,1
16.734,t2_squeezenet,64.262,29.298,2,1
16.763,t2_squeezenet,69.747,29.185,1,1
16.792,t2_squeezenet,96.866,29.048,0,1
16.867,t2_squeezenet,33.413,29.224,1,1
16.896,t2_squeezenet,45.726,29.032,0,1
16.946,t2_squeezenet,32.128,30.068,1,1
16.977,t2_squeezenet,39.967,30.758,0,1
17.166,t2_squeezenet,33.865,31.582,0,1
17.221,t2_squeezenet,47.190,44.988,0,1
