t_s,tenant,latency_ms,service_ms,qdepth,warmup
1.029,t1_resnet18,180.756,176.206,1,1
1.272,t1_resnet18,311.145,243.275,1,1
1.444,t1_resnet18,273.004,171.568,3,1
1.723,t1_resnet18,449.321,279.240,4,1
2.015,t1_resnet18,681.393,291.571,4,1
2.317,t1_resnet18,893.951,302.656,5,1
2.607,t1_resnet18,1048.917,289.428,6,1
2.854,t1_resnet18,1165.343,247.366,6,1
3.163,t1_resnet18,1200.211,309.042,8,1
3.449,t1_resnet18,1326.646,285.750,10,1
3.809,t1_resnet18,1502.915,359.885,12,1
4.129,t1_resnet18,1787.242,319.923,12,1
4.412,t1_resnet18,2068.724,283.124,11,1
4.731,t1_resnet18,1877.064,318.472,11,1
5.049,t1_resnet18,2163.772,318.480,10,1
5.366,t1_resnet18,2466.990,316.510,10,1
5.653,t1_resnet18,2703.895,286.594,9,1
6.009,t1_resnet18,2770.227,356.401,11,1
6.316,t1_resnet18,2989.751,306.678,12,1
6.561,t1_resnet18,3119.272,245.602,14,1
6.922,t1_resnet18,3441.468,360.961,14,1
7.239,t1_resnet18,3718.156,316.061,13,1
7.518,t1_resnet18,3768.016,279.863,12,1
7.834,t1_resnet18,3948.107,315.003,12,1
8.146,t1_resnet18,3440.116,312.025,12,1
8.431,t1_resnet18,3128.711,285.196,13,1
8.741,t1_resnet18,3025.721,309.932,14,1
9.045,t1_resnet18,3132.217,304.258,14,1
9.356,t1_resnet18,3442.663,311.183,14,1
9.635,t1_resnet18,3427.836,278.204,14,1
9.944,t1_resnet18,3702.329,309.648,15,1
10.255,t1_resnet18,3899.479,310.358,15,1
10.527,t1_resnet18,4052.539,272.467,15,1
10.839,t1_resnet18,4295.345,311.793,17,1
11.146,t1_resnet18,4376.215,306.557,16,1
11.422,t1_resnet18,3594.800,276.386,17,1
11.734,t1_resnet18,3764.537,312.029,16,1
12.042,t1_resnet18,3772.810,307.928,16,1
12.352,t1_resnet18,3934.211,309.435,16,1
12.624,t1_resnet18,4169.678,271.940,16,1
12.938,t1_resnet18,4328.766,314.164,18,1
13.249,t1_resnet18,4505.545,310.960,21,1
13.530,t1_resnet18,4228.724,281.167,21,1
