step,t_s,T_c,T_pred_c,freq_mhz,util_pct,solver_ms,mode,agg_duty,duty0,duty1,duty2
0,0.00,54.55,54.00,2400,0.0,0.08,matched,1.8013,0.6004,0.6004,0.6004
1,1.00,53.45,54.00,2400,25.7,0.11,matched,1.8013,0.6004,0.6004,0.6004
2,2.00,54.00,54.13,2400,46.8,0.16,matched,1.8288,0.6096,0.6096,0.6096
3,3.00,54.00,54.25,2400,51.2,0.07,matched,1.8563,0.6188,0.6188,0.6188
4,4.00,54.55,54.25,2400,51.6,0.12,matched,1.8563,0.6188,0.6188,0.6188
5,5.00,54.55,54.25,2400,51.7,0.15,matched,1.8563,0.6188,0.6188,0.6188
6,6.00,53.45,54.25,2400,52.0,0.09,matched,1.8563,0.6188,0.6188,0.6188
7,7.00,53.45,54.25,2400,52.0,0.14,matched,1.8563,0.6188,0.6188,0.6188
8,8.00,54.00,54.13,2400,51.5,0.17,matched,1.8288,0.6096,0.6096,0.6096
9,9.00,54.55,54.38,2400,51.5,0.18,matched,1.8838,0.6279,0.6279,0.6279
10,10.00,54.00,54.25,2400,51.9,0.16,matched,1.8563,0.6188,0.6188,0.6188
11,11.00,54.55,54.00,2400,52.1,0.12,matched,1.8013,0.6004,0.6004,0.6004
12,12.00,55.10,53.87,2400,50.2,0.10,matched,1.7738,0.5913,0.5913,0.5913
13,13.00,54.55,53.87,2400,50.1,0.14,matched,1.7738,0.5913,0.5913,0.5913
14,14.00,55.10,53.87,2400,49.6,0.20,matched,1.7738,0.5913,0.5913,0.5913
15,15.00,54.55,53.87,2400,52.7,0.10,matched,1.7738,0.5913,0.5913,0.5913
16,16.00,55.10,53.75,2400,50.0,0.09,matched,1.7463,0.5821,0.5821,0.5821
17,17.00,55.10,53.75,2400,48.9,0.16,matched,1.7463,0.5821,0.5821,0.5821
18,18.00,55.10,53.75,2400,49.3,0.20,matched,1.7463,0.5821,0.5821,0.5821
19,19.00,55.10,53.37,2400,49.3,0.16,matched,1.6638,0.5546,0.5546,0.5546
20,20.00,55.10,53.24,2400,47.5,0.07,matched,1.6363,0.5454,0.5454,0.5454
