step,t_s,T_c,T_pred_c,freq_mhz,util_pct,solver_ms,mode,agg_duty,duty0,duty1,duty2
0,0.00,52.90,54.00,2400,0.0,1440.82,convex,1.8013,0.5974,0.6028,0.6012
1,1.44,53.45,54.13,2400,76.6,16.88,convex,1.8288,0.6065,0.6119,0.6103
2,2.44,53.45,54.25,2400,34.7,25.74,convex,1.8563,0.6157,0.6211,0.6195
3,3.44,52.90,54.50,2400,40.9,17.35,convex,1.9113,0.6341,0.6394,0.6378
4,4.44,51.80,55.01,2400,43.7,25.12,convex,2.0213,0.6707,0.6761,0.6745
5,5.44,52.90,55.26,2400,49.8,26.91,convex,2.0763,0.6891,0.6944,0.6929
6,6.44,53.45,55.39,2400,43.2,38.89,convex,2.1038,0.6982,0.7037,0.7020
7,7.44,53.45,55.51,2400,48.5,17.40,convex,2.1313,0.7074,0.7127,0.7112
8,8.44,52.90,55.76,2400,46.5,14.92,convex,2.1863,0.7257,0.7311,0.7295
9,9.44,53.45,55.89,2400,41.4,18.56,convex,2.2138,0.7349,0.7402,0.7387
10,10.44,53.45,56.02,2400,27.7,39.54,convex,2.2413,0.7440,0.7494,0.7479
11,11.44,52.90,56.27,2400,43.7,59.91,convex,2.2963,0.7676,0.7651,0.7636
12,12.44,54.55,56.14,2400,50.6,23.51,convex,2.2688,0.7583,0.7561,0.7544
13,13.44,52.90,56.39,2400,47.1,26.01,convex,2.3238,0.7767,0.7744,0.7727
14,14.44,53.45,56.52,2400,43.1,20.96,convex,2.3513,0.7859,0.7835,0.7819
15,15.44,54.55,56.39,2400,53.6,15.88,convex,2.3238,0.7767,0.7744,0.7727
16,16.44,54.55,56.27,2400,48.9,20.45,convex,2.2963,0.7676,0.7652,0.7635
17,17.44,54.55,56.14,2400,53.8,29.32,convex,2.2688,0.7584,0.7560,0.7544
18,18.44,53.45,56.27,2400,43.8,15.08,convex,2.2963,0.7676,0.7652,0.7635
19,19.44,54.00,56.27,2400,33.1,20.48,convex,2.2963,0.7676,0.7652,0.7635
20,20.44,54.00,56.27,2400,40.9,24.97,convex,2.2963,0.7676,0.7652,0.7635
21,21.44,54.55,56.14,2400,49.4,35.40,convex,2.2688,0.7584,0.7560,0.7544
22,22.45,54.55,56.02,2400,50.2,24.58,convex,2.2413,0.7440,0.7494,0.7479
23,23.45,55.10,55.76,2400,56.9,25.34,convex,2.1863,0.7257,0.7311,0.7296
24,24.45,54.55,55.64,2400,42.5,40.21,convex,2.1588,0.7164,0.7219,0.7204
25,25.45,54.55,55.51,2400,47.1,38.08,convex,2.1313,0.7074,0.7127,0.7112
26,26.45,54.55,55.39,2400,55.8,22.53,convex,2.1038,0.6982,0.7036,0.7020
27,27.45,54.55,55.26,2400,46.4,19.62,convex,2.0763,0.6890,0.6945,0.6928
28,28.45,54.55,55.13,2400,47.5,33.52,convex,2.0488,0.6799,0.6853,0.6836
29,29.45,54.00,55.13,2400,48.8,18.97,convex,2.0488,0.6799,0.6853,0.6836
30,30.45,55.10,54.88,2400,51.0,23.64,convex,1.9938,0.6615,0.6670,0.6653
31,31.45,55.10,54.63,2400,47.9,24.71,convex,1.9388,0.6432,0.6486,0.6470
32,32.45,55.10,54.38,2400,47.9,19.17,convex,1.8838,0.6249,0.6302,0.6287
33,33.45,55.10,54.13,2400,49.8,19.78,convex,1.8288,0.6065,0.6119,0.6103
34,34.45,53.45,54.25,2400,45.2,18.90,convex,1.8563,0.6157,0.6211,0.6195
35,35.45,54.55,54.13,2400,33.1,24.42,convex,1.8288,0.6065,0.6119,0.6103
36,36.45,54.55,54.00,2400,45.4,20.96,convex,1.8013,0.5974,0.6028,0.6012
37,37.45,54.55,53.87,2400,44.9,16.27,convex,1.7738,0.5882,0.5936,0.5920
38,38.45,54.55,53.75,2400,42.2,22.22,convex,1.7463,0.5791,0.5844,0.5829
39,39.45,54.00,53.75,2400,38.0,22.31,convex,1.7463,0.5791,0.5844,0.5829
