t_s,tenant,latency_ms,service_ms,qdepth,warmup
0.331,t1_resnet18,171.964,168.738,1,1
0.511,t1_resnet18,285.102,179.373,2,1
0.679,t1_resnet18,269.564,168.441,1,1
0.859,t1_resnet18,385.731,179.927,0,1
1.085,t1_resnet18,147.612,145.383,0,1
1.772,t1_resnet18,180.806,178.479,0,1
2.094,t1_resnet18,240.576,235.577,1,1
2.275,t1_resnet18,193.715,181.080,0,1
2.574,t1_resnet18,189.119,187.834,0,1
3.256,t1_resnet18,212.050,210.245,1,1
3.482,t1_resnet18,352.791,226.427,2,1
3.714,t1_resnet18,284.821,231.633,1,1
3.940,t1_resnet18,466.519,226.341,0,1
4.281,t1_resnet18,175.284,173.577,0,1
4.708,t1_resnet18,166.475,164.215,2,1
4.928,t1_resnet18,362.860,219.706,4,1
5.151,t1_resnet18,497.684,222.302,4,1
5.367,t1_resnet18,619.592,216.558,3,1
5.572,t1_resnet18,822.486,204.451,3,1
5.784,t1_resnet18,949.126,212.247,3,1
6.034,t1_resnet18,1065.827,249.916,3,1
6.238,t1_resnet18,811.170,204.391,2,1
6.467,t1_resnet18,757.957,228.693,6,1
6.684,t1_resnet18,656.898,216.898,6,1
6.878,t1_resnet18,624.163,194.022,5,1
7.130,t1_resnet18,846.421,251.590,5,1
7.329,t1_resnet18,1045.841,199.601,4,1
7.532,t1_resnet18,1204.660,202.451,4,1
7.727,t1_resnet18,1394.773,195.237,3,1
7.892,t1_resnet18,1332.877,164.803,2,1
8.140,t1_resnet18,1012.542,247.756,2,1
8.348,t1_resnet18,953.517,208.839,1,1
8.542,t1_resnet18,491.238,193.928,3,1
8.714,t1_resnet18,358.776,171.635,2,1
8.881,t1_resnet18,401.219,166.828,1,1
9.092,t1_resnet18,565.278,211.379,1,1
9.330,t1_resnet18,389.400,237.188,1,1
9.543,t1_resnet18,316.078,213.571,0,1
9.889,t1_resnet18,172.722,169.203,0,1
10.176,t1_resnet18,189.557,185.586,1,1
10.385,t1_resnet18,387.988,209.187,0,1
11.289,t1_resnet18,131.252,129.401,1,1
11.487,t1_resnet18,246.980,198.393,2,1
11.698,t1_resnet18,274.230,211.286,2,1
11.897,t1_resnet18,450.699,198.848,2,1
12.080,t1_resnet18,514.606,182.635,1,1
12.264,t1_resnet18,415.929,183.519,3,1
12.455,t1_resnet18,323.060,191.226,2,1
12.653,t1_resnet18,473.529,197.834,2,1
12.853,t1_resnet18,616.056,200.702,1,1
13.047,t1_resnet18,457.573,193.509,1,1
13.260,t1_resnet18,232.542,212.568,2,1
13.462,t1_resnet18,384.567,202.325,3,1
13.646,t1_resnet18,411.679,183.517,2,1
13.786,t1_resnet18,524.770,140.643,2,1
13.989,t1_resnet18,637.928,202.369,2,1
14.229,t1_resnet18,518.096,240.876,1,1
14.442,t1_resnet18,637.391,212.127,0,1
14.928,t1_resnet18,175.993,171.931,0,1
15.329,t1_resnet18,188.543,188.430,0,1
15.885,t1_resnet18,188.020,187.039,1,1
16.092,t1_resnet18,384.970,206.306,1,1
16.272,t1_resnet18,189.875,180.020,1,1
16.477,t1_resnet18,244.618,204.703,0,1
16.657,t1_resnet18,176.681,175.178,1,1
16.800,t1_resnet18,246.281,143.605,1,1
17.030,t1_resnet18,294.138,229.241,0,1
17.273,t1_resnet18,181.114,177.968,0,1
17.596,t1_resnet18,187.007,185.333,0,1
18.174,t1_resnet18,186.947,182.935,1,1
18.380,t1_resnet18,266.788,206.185,1,1
18.583,t1_resnet18,374.939,202.967,1,1
18.758,t1_resnet18,351.261,174.828,1,1
18.936,t1_resnet18,250.469,178.192,1,1
19.099,t1_resnet18,171.966,163.005,1,1
19.339,t1_resnet18,289.131,239.669,0,1
20.337,t1_resnet18,152.417,147.812,1,0
20.495,t1_resnet18,256.588,158.365,1,0
20.689,t1_resnet18,234.686,194.014,1,0
20.868,t1_resnet18,198.543,178.438,1,0
21.070,t1_resnet18,375.630,202.249,0,0
21.393,t1_resnet18,168.855,166.595,0,0
21.583,t1_resnet18,145.879,144.341,2,0
21.747,t1_resnet18,280.505,163.591,1,0
21.937,t1_resnet18,413.007,190.089,1,0
22.140,t1_resnet18,303.017,203.469,2,0
22.341,t1_resnet18,377.069,200.409,1,0
22.543,t1_resnet18,533.577,201.975,1,0
22.731,t1_resnet18,260.655,188.529,0,0
23.163,t1_resnet18,179.469,178.241,1,0
23.378,t1_resnet18,356.878,215.260,2,0
23.566,t1_resnet18,365.031,188.018,1,0
23.753,t1_resnet18,427.790,186.824,2,0
23.963,t1_resnet18,310.965,209.544,2,0
24.171,t1_resnet18,433.570,207.860,1,0
24.377,t1_resnet18,475.841,205.926,0,0
24.697,t1_resnet18,185.565,183.442,0,0
