t_s,tenant,latency_ms,service_ms,qdepth,warmup
0.094,t2_squeezenet,36.646,36.566,0,1
0.196,t2_squeezenet,39.523,36.209,0,1
0.324,t2_squeezenet,33.490,31.575,0,1
0.397,t2_squeezenet,46.085,42.522,0,1
0.462,t2_squeezenet,30.761,29.099,0,1
0.546,t2_squeezenet,33.561,29.055,2,1
0.577,t2_squeezenet,64.191,30.793,2,1
0.618,t2_squeezenet,80.246,40.991,2,1
0.652,t2_squeezenet,85.456,33.662,2,1
0.695,t2_squeezenet,112.331,43.163,2,1
0.741,t2_squeezenet,108.253,45.824,4,1
0.781,t2_squeezenet,119.748,40.530,5,1
0.819,t2_squeezenet,116.191,37.025,4,1
0.861,t2_squeezenet,145.475,42.243,5,1
0.907,t2_squeezenet,187.678,45.835,4,1
0.943,t2_squeezenet,190.690,36.461,3,1
0.983,t2_squeezenet,216.728,40.206,2,1
1.019,t2_squeezenet,197.908,36.014,1,1
1.065,t2_squeezenet,217.872,45.675,0,1
1.149,t2_squeezenet,45.379,43.288,3,1
1.194,t2_squeezenet,80.063,44.665,2,1
1.240,t2_squeezenet,109.132,46.351,2,1
1.274,t2_squeezenet,133.064,33.674,1,1
1.303,t2_squeezenet,88.752,29.069,1,1
1.333,t2_squeezenet,34.093,29.918,1,1
1.364,t2_squeezenet,51.687,31.200,1,1
1.395,t2_squeezenet,52.462,30.586,0,1
1.501,t2_squeezenet,40.021,35.450,1,1
1.534,t2_squeezenet,38.523,32.624,0,1
1.724,t2_squeezenet,42.143,38.011,0,1
1.809,t2_squeezenet,35.144,34.380,0,1
1.855,t2_squeezenet,34.804,31.111,1,1
1.895,t2_squeezenet,54.215,39.721,0,1
2.013,t2_squeezenet,38.559,37.144,5,1
2.048,t2_squeezenet,62.231,34.786,5,1
2.090,t2_squeezenet,102.475,42.563,6,1
2.140,t2_squeezenet,143.372,49.505,5,1
2.176,t2_squeezenet,175.660,36.385,4,1
2.207,t2_squeezenet,202.233,31.279,3,1
2.246,t2_squeezenet,228.364,38.455,2,1
2.297,t2_squeezenet,243.818,51.292,1,1
2.349,t2_squeezenet,272.073,51.698,1,1
2.402,t2_squeezenet,60.102,53.362,1,1
2.459,t2_squeezenet,65.991,56.689,1,1
2.512,t2_squeezenet,71.071,52.752,1,1
2.562,t2_squeezenet,76.119,49.886,0,1
2.905,t2_squeezenet,56.474,53.628,2,1
2.945,t2_squeezenet,96.273,40.211,2,1
2.993,t2_squeezenet,112.252,48.005,1,1
3.035,t2_squeezenet,121.938,42.074,0,1
3.081,t2_squeezenet,33.700,30.548,0,1
3.136,t2_squeezenet,33.948,29.212,0,1
3.231,t2_squeezenet,36.733,34.639,0,1
3.297,t2_squeezenet,63.085,60.669,0,1
3.398,t2_squeezenet,37.424,35.084,0,1
3.494,t2_squeezenet,45.114,40.582,0,1
3.542,t2_squeezenet,33.249,33.220,0,1
3.609,t2_squeezenet,40.533,36.029,0,1
3.759,t2_squeezenet,40.017,38.393,0,1
3.807,t2_squeezenet,41.160,38.161,0,1
3.948,t2_squeezenet,36.650,34.635,0,1
4.176,t2_squeezenet,38.937,38.754,1,1
4.211,t2_squeezenet,39.168,35.046,0,1
4.301,t2_squeezenet,39.852,38.542,0,1
4.371,t2_squeezenet,37.453,35.259,1,1
4.406,t2_squeezenet,59.593,35.167,0,1
4.447,t2_squeezenet,33.516,29.930,1,1
4.510,t2_squeezenet,88.411,63.655,1,1
4.542,t2_squeezenet,70.410,31.989,1,1
4.614,t2_squeezenet,80.692,71.783,1,1
4.646,t2_squeezenet,54.497,31.871,0,1
4.717,t2_squeezenet,56.928,55.687,1,1
4.751,t2_squeezenet,82.499,34.442,2,1
4.822,t2_squeezenet,104.742,70.757,3,1
4.853,t2_squeezenet,112.986,30.453,2,1
4.926,t2_squeezenet,151.522,73.502,3,1
4.997,t2_squeezenet,197.927,70.369,4,1
5.032,t2_squeezenet,172.038,35.618,5,1
5.095,t2_squeezenet,169.892,63.073,6,1
5.126,t2_squeezenet,189.987,31.168,5,1
5.194,t2_squeezenet,247.050,67.617,4,1
5.227,t2_squeezenet,222.043,33.298,4,1
5.303,t2_squeezenet,291.414,75.962,4,1
5.334,t2_squeezenet,284.587,30.557,4,1
5.405,t2_squeezenet,351.085,70.972,4,1
5.435,t2_squeezenet,234.322,30.028,3,1
5.511,t2_squeezenet,253.756,76.002,3,1
5.543,t2_squeezenet,214.993,31.549,2,1
5.609,t2_squeezenet,251.879,66.563,3,1
5.649,t2_squeezenet,176.939,39.530,3,1
5.715,t2_squeezenet,142.933,66.373,3,1
5.747,t2_squeezenet,147.284,31.869,2,1
5.817,t2_squeezenet,169.106,69.431,2,1
5.847,t2_squeezenet,154.481,30.388,1,1
5.912,t2_squeezenet,113.896,64.824,0,1
6.063,t2_squeezenet,41.502,39.773,2,1
6.103,t2_squeezenet,74.483,40.103,1,1
6.147,t2_squeezenet,103.575,43.950,1,1
6.215,t2_squeezenet,101.661,67.961,1,1
6.247,t2_squeezenet,54.481,31.573,0,1
6.315,t2_squeezenet,48.415,48.372,2,1
6.351,t2_squeezenet,59.104,35.837,1,1
6.415,t2_squeezenet,116.646,64.072,0,1
