t_s,tenant,latency_ms,service_ms,qdepth,warmup
0.118,t0_mnv2,56.099,55.007,2,1
0.154,t0_mnv2,53.449,36.405,1,1
0.204,t0_mnv2,93.364,49.655,1,1
0.256,t0_mnv2,87.998,51.537,1,1
0.303,t0_mnv2,50.075,47.417,2,1
0.343,t0_mnv2,71.234,40.116,1,1
0.387,t0_mnv2,113.042,43.470,1,1
0.433,t0_mnv2,51.624,45.877,1,1
0.483,t0_mnv2,89.256,50.694,1,1
0.529,t0_mnv2,54.295,46.143,0,1
0.595,t0_mnv2,51.798,49.965,1,1
0.639,t0_mnv2,74.931,43.898,1,1
0.674,t0_mnv2,73.875,35.424,0,1
0.715,t0_mnv2,38.084,36.062,0,1
0.784,t0_mnv2,47.891,43.545,0,1
0.926,t0_mnv2,54.538,50.656,2,1
0.979,t0_mnv2,106.955,53.346,1,1
1.026,t0_mnv2,104.633,47.102,0,1
1.117,t0_mnv2,53.320,50.006,0,1
1.215,t0_mnv2,48.167,47.011,1,1
1.264,t0_mnv2,71.965,48.820,2,1
1.315,t0_mnv2,99.557,51.780,4,1
1.365,t0_mnv2,123.757,49.069,4,1
1.407,t0_mnv2,141.126,42.857,3,1
1.455,t0_mnv2,163.125,47.695,2,1
1.504,t0_mnv2,199.863,49.105,3,1
1.552,t0_mnv2,233.090,47.903,2,1
1.600,t0_mnv2,114.509,48.205,4,1
1.662,t0_mnv2,167.845,60.989,3,1
1.731,t0_mnv2,160.024,69.133,5,1
1.794,t0_mnv2,209.085,63.521,6,1
1.857,t0_mnv2,262.899,63.081,6,1
1.923,t0_mnv2,252.532,65.811,6,1
1.984,t0_mnv2,312.890,60.814,6,1
2.045,t0_mnv2,317.718,60.454,5,1
2.105,t0_mnv2,369.586,59.904,5,1
2.174,t0_mnv2,427.010,69.576,6,1
2.235,t0_mnv2,419.327,60.863,5,1
2.297,t0_mnv2,410.302,61.910,4,1
2.360,t0_mnv2,381.593,62.880,6,1
2.436,t0_mnv2,341.287,75.876,6,1
2.505,t0_mnv2,368.340,68.888,5,1
2.567,t0_mnv2,423.904,61.847,5,1
2.617,t0_mnv2,318.102,50.811,4,1
2.682,t0_mnv2,346.637,64.434,3,1
2.731,t0_mnv2,389.876,49.341,3,1
2.781,t0_mnv2,369.495,50.120,3,1
2.844,t0_mnv2,322.492,62.654,3,1
2.909,t0_mnv2,187.589,64.491,2,1
2.952,t0_mnv2,189.427,43.403,1,1
2.994,t0_mnv2,172.170,42.239,0,1
3.199,t0_mnv2,67.978,63.222,0,1
3.253,t0_mnv2,51.807,48.562,0,1
3.455,t0_mnv2,54.639,54.407,3,1
3.517,t0_mnv2,115.645,62.371,2,1
3.582,t0_mnv2,167.512,64.656,4,1
3.638,t0_mnv2,189.442,56.528,3,1
3.696,t0_mnv2,143.887,57.744,3,1
3.756,t0_mnv2,184.191,59.794,4,1
3.820,t0_mnv2,243.825,64.617,3,1
3.881,t0_mnv2,241.333,60.045,2,1
3.941,t0_mnv2,211.657,60.081,3,1
4.006,t0_mnv2,259.705,65.374,2,1
4.071,t0_mnv2,155.264,64.578,2,1
4.130,t0_mnv2,211.782,59.132,2,1
4.181,t0_mnv2,150.730,51.379,2,1
4.263,t0_mnv2,183.196,81.922,3,1
4.348,t0_mnv2,199.201,84.259,4,1
4.383,t0_mnv2,140.560,35.690,3,1
4.466,t0_mnv2,212.281,82.263,3,1
4.547,t0_mnv2,260.701,81.416,2,1
4.582,t0_mnv2,279.291,35.208,3,1
4.667,t0_mnv2,240.926,85.003,3,1
4.754,t0_mnv2,206.136,86.342,4,1
4.792,t0_mnv2,241.209,37.909,3,1
4.878,t0_mnv2,239.416,86.464,6,1
4.961,t0_mnv2,291.581,82.927,6,1
5.046,t0_mnv2,303.343,84.498,6,1
5.086,t0_mnv2,291.150,40.212,6,1
5.149,t0_mnv2,351.049,63.140,6,1
5.190,t0_mnv2,346.925,40.572,6,1
5.278,t0_mnv2,411.319,87.973,7,1
5.367,t0_mnv2,487.102,89.174,6,1
5.455,t0_mnv2,480.262,88.090,5,1
5.544,t0_mnv2,461.317,88.580,5,1
5.581,t0_mnv2,493.474,37.681,4,1
5.670,t0_mnv2,495.462,88.855,5,1
5.757,t0_mnv2,564.931,86.751,5,1
5.842,t0_mnv2,637.952,85.314,5,1
5.879,t0_mnv2,415.764,36.250,5,1
5.965,t0_mnv2,365.733,85.977,4,1
